n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std,alpha_n_mean
200,CountSketch,7.305875203443986,0.41018998577281457,0.3915,0.14430504969827307,0.016920229539756342,0.0063848819273550905,0.014100439649993746,0.0016918223481885149,0.1414213562373095
200,Non-random,8.620496248741409,0.15489049987729306,0.2085,0.05537194805656514,0.009416808038231236,0.00460927874722512,0.032543524999999816,0.003275782181377752,0.1414213562373095
200,Random Projection,7.442480148031892,0.35525304671370067,0.398,0.1814735010378853,0.014967707907433367,0.006211176326715471,0.013462681099997553,0.0025379134914738414,0.1414213562373095
200,Random Sampling,9.13178427264252,0.39149000574142434,0.3985,0.12587692401707312,0.014312768381226878,0.011442349350114308,0.02529037079999341,0.004395941292881668,0.1414213562373095
200,SIGN Bidirectional,7.4510926920122085,0.3469509326106105,0.46399999999999997,0.16953186317497645,0.01769170833885722,0.006357424505002323,0.015229610349999234,0.001755506718007085,0.1414213562373095
400,CountSketch,7.729194644952342,0.32800466387507365,0.26075,0.07761705930230056,0.009004041847330804,0.002650379576318278,0.020573991650005043,0.002364734620985458,0.1
400,Non-random,10.497668866482837,0.09246334733331509,0.10200000000000001,0.02341839133312916,0.002775274971499599,0.0012626583342315594,0.07777753124999265,0.005255636276561701,0.1
400,Random Projection,7.799466211971156,0.5076946708547428,0.258,0.08784555825574313,0.00861217403110873,0.0027440048025003084,0.019896077149996926,0.002326019844934724,0.1
400,Random Sampling,10.164119272155114,0.3970127122971049,0.23625,0.04544733794531632,0.0052309657160221614,0.0031234841092113146,0.03444693114999211,0.0033337793610188067,0.1
400,SIGN Bidirectional,8.199633414108176,0.23884684783413865,0.36924999999999997,0.11155922429954321,0.011044778625274823,0.003465218525191582,0.023244150250010875,0.0026193174252014824,0.1
600,CountSketch,8.446729591176425,0.5206128856927756,0.19666666666666666,0.07680765069105004,0.007537361661260832,0.002401240685810453,0.027526975050000145,0.0062165458287285575,0.08164965809277261
600,Non-random,11.74482873759451,0.10505777829570252,0.06566666666666668,0.017904881885162982,0.002015060019082759,0.0011530953232138411,0.17195866040000282,0.002170257080313549,0.08164965809277261
600,Random Projection,8.29547219997158,0.7263593357619831,0.21383333333333332,0.12686630159160536,0.007782099174855362,0.0029049573894966074,0.026497420850006392,0.0028218443785426425,0.08164965809277261
600,Random Sampling,10.661525850259824,0.22984879236130928,0.15783333333333333,0.016268039919025822,0.0028949985067763884,0.0015355093431635943,0.05829751045000649,0.003912629235578843,0.08164965809277261
600,SIGN Bidirectional,8.559647960933605,0.34488253756590187,0.2846666666666667,0.07403492142660296,0.008856196706344518,0.0025434793610609884,0.03062555634999171,0.0028105931203446523,0.08164965809277261
800,CountSketch,8.712286719034406,0.3443898460852904,0.143,0.04644323076843951,0.005297415826618833,0.0015052311369267758,0.03165499574998876,0.002610973121228192,0.07071067811865475
800,Non-random,12.659792216235001,0.0928373686981669,0.045625,0.012324424829111542,0.0012811980696710054,0.0007182780418686119,0.2674243958499858,0.006015469288009569,0.07071067811865475
800,Random Projection,8.681198008050467,0.3384818372412006,0.13925,0.036921859165141284,0.005533690471718276,0.0011973074554818505,0.02815721040000767,0.002090677351662691,0.07071067811865475
800,Random Sampling,11.227889337624557,0.2809488514963136,0.12362500000000001,0.029216467508653587,0.0024173259980328045,0.001245386889248394,0.06561743734999936,0.0024435588537017783,0.07071067811865475
800,SIGN Bidirectional,8.867631624225007,0.24586425911076054,0.272,0.08305277333054409,0.007777384730691006,0.0020863466412112688,0.037024410399999395,0.003242952683072222,0.07071067811865475
1000,CountSketch,9.510662225518146,0.5888579682360913,0.1373,0.0535724791876929,0.004959839335528325,0.0017966130164971986,0.0343760250500111,0.003542629724283326,0.06324555320336758
1000,Non-random,13.466378244033612,0.08599445915566686,0.0325,0.00955592954524489,0.0009398941219954237,0.0004925976920256086,0.35040846450000346,0.00799547271825222,0.06324555320336758
1000,Random Projection,9.201915173969564,0.3593768670166968,0.1103,0.04040466361826643,0.004057934420180054,0.0014755648689727082,0.02925653545000273,0.0017586599591194053,0.06324555320336758
1000,Random Sampling,11.716726674014787,0.29914506928813583,0.0965,0.015271231984217563,0.0016923726727154542,0.0008015621746670078,0.07662396440000521,0.003676806649975443,0.06324555320336758
1000,SIGN Bidirectional,9.276708536013214,0.46893898261148886,0.2419,0.08347574498020369,0.006226841372066828,0.002004226052720465,0.03977014370001371,0.0031396806626474913,0.06324555320336758
1200,CountSketch,9.422904121790989,0.2877611658983026,0.08358333333333333,0.03452380736323561,0.003342322904894597,0.0007929558072088531,0.03419944574998226,0.003025622090621624,0.057735026918962574
1200,Non-random,14.117931308994113,0.07582621302213563,0.022916666666666665,0.006279899243055096,0.0007246895287845709,0.00028099780410892095,0.47919318524999993,0.014247700774944085,0.057735026918962574
1200,Random Projection,9.58758207228639,0.46106336601013354,0.09016666666666666,0.03573742775704568,0.003763659765248905,0.0011430180822401834,0.033019264650005195,0.005011521053998757,0.057735026918962574
1200,Random Sampling,11.990170361987841,0.242360092182089,0.06941666666666667,0.009960081142956068,0.0012861767148652098,0.0005268657539183951,0.08399920005000468,0.0036243831070819567,0.057735026918962574
1200,SIGN Bidirectional,9.90695548292884,1.1336818124921852,0.2564166666666666,0.12122700541589429,0.006326884055285956,0.0021180039708690312,0.045454937549988014,0.004968465247653428,0.057735026918962574
