n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,0.1414213562373095,1,Random Projection,7.681979539177215,0.77,0.027282788256641044,0.014679625000042051,0.0006002080000371279,0.011927375000027496,3.6207999983162154e-05,0.0004911670000069535,0.00043225000001712033,9.675000001152512e-05,0.00016375000001289663,0.0002557079999974121,8.874999991803634e-06,0.013187375000029533,0.014679625000042051,0.014672083000050407,7.541999991644843e-06,0.027207208000106675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,1,Random Sampling,9.331473627557582,0.57,0.024662652672103408,0.035497375000034026,0.0006002080000371279,0.010813792000021749,,,,,,,,,0.035497375000034026,0.03549212399991575,5.251000118278171e-06,0.0469113750000929,0.0002488750000111395,0.00025562499996567567,0.02062854099995093,9.608299995989e-05,8.625000003803507e-05,0.01417674999999008,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,1,Non-random,8.470528968003332,0.22,0.005621356237309499,0.029442000000017288,0.0006002080000371279,0.012329292000003989,,,,,,,,,0.029442000000017288,0.029438416999994388,3.583000022899796e-06,0.042371500000058404,,,,,,,0.019366917000013473,0.010057749999987209,1.3749999993706297e-05,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,1,CountSketch,7.319616892087495,0.69,0.016911980483769254,0.010903041000005942,0.0006002080000371279,0.010546125000018947,,,,,,,,,0.010903041000005942,0.011296582999932525,0.0,0.022049374000062016,,,,,,,,,,8.512499999824286e-05,12.0,9.0,23.0,0.0,0.00043162499997606574,0.00043162499997606574,0.0003212500000131513,0.00035816700000168566,0.00010945799999717565,0.00012987500002736851,0.00025625000000673026,8.624999964013114e-06,0.009164582999972026,,,,,,,,,
200,0.1414213562373095,1,SIGN Bidirectional,7.292098985431742,0.97,0.02160199153050718,0.014137874999960331,0.0006002080000371279,0.011920583000005536,,,,,,,,,0.014137874999960331,0.014132124000013846,5.7509999464855355e-06,0.026658666000002995,,,,,,,,,,,,,,,,,,,,,,,,3.24580000210517e-05,12.0,2.0,0.001670625000031123,0.0004949169999690639,0.0001325410000276861,0.00027562499997202394,9.707999993224803e-06,0.011516249999999673
200,0.1414213562373095,2,Random Projection,8.283128659355206,0.38,0.01732225754023728,0.01728595800000221,0.0008482089999688469,0.011899667000022873,4.683300005581259e-05,0.00044945899998083405,0.00034300000004350295,0.00011295800004518242,0.00011704199999940101,0.0002640000000155851,8.374999993066012e-06,0.01593866700000035,0.01728595800000221,0.017280334000133735,5.6239998684759485e-06,0.03003383399999393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,2,Random Sampling,8.974207851906026,0.41000000000000003,0.007245679377586661,0.024097124999968855,0.0008482089999688469,0.011315125000010084,,,,,,,,,0.024097124999968855,0.024093332999996164,3.7919999726909737e-06,0.03626045899994779,0.00024108299999170413,0.0002581250000162072,0.011551957999984097,4.429199998412514e-05,5.012500002976594e-05,0.011947749999990265,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,2,Non-random,8.880506500190801,0.33,0.017842512935282814,0.0300017920000073,0.0008482089999688469,0.012341540999955214,,,,,,,,,0.0300017920000073,0.029999916000008398,1.8759999989015341e-06,0.04319154199993136,,,,,,,0.02002883299996938,0.009957791000033467,1.3292000005549198e-05,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,2,CountSketch,7.862709631703179,0.71,0.023462872778686708,0.015191291999997247,0.0008482089999688469,0.012393000000031407,,,,,,,,,0.015191291999997247,0.015431084999931954,0.0,0.0284325009999975,,,,,,,,,,4.949999998871135e-05,12.0,8.0,26.0,0.0,0.0002620419999743717,0.0002620419999743717,0.00034499999998161,0.000265374999969481,9.362500003362584e-05,0.00010520900002575218,0.00022874999996247425,4.9580000336391095e-06,0.013814583999987917,,,,,,,,,
200,0.1414213562373095,2,SIGN Bidirectional,7.977398395030098,0.44000000000000006,0.028028748567587858,0.016371208000009574,0.0008482089999688469,0.012536374999967848,,,,,,,,,0.016371208000009574,0.01636337500008267,7.83299992690445e-06,0.02975579199994627,,,,,,,,,,,,,,,,,,,,,,,,5.454099999724349e-05,12.0,2.0,0.0017007920000082777,0.0004968750000102773,0.00010925000003680907,0.00028037499998845306,1.054200004091399e-05,0.013711000000000695
200,0.1414213562373095,3,Random Projection,7.281751599882418,0.34,0.01899070891200272,0.01884154099997204,0.0005675419999988662,0.010656000000039967,3.4666000033212185e-05,0.000579415999993671,0.0004191250000076252,0.00014299999998002022,0.0001465409999923395,0.00031666699999277625,1.0042000042176369e-05,0.017184374999999363,0.01884154099997204,0.018833832000041184,7.708999930855498e-06,0.030065083000010873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,3,Random Sampling,9.272020503358712,0.39,0.02071437184743702,0.030287458000032075,0.0005675419999988662,0.01188912499998196,,,,,,,,,0.030287458000032075,0.03028174799999306,5.71000003901645e-06,0.0427441250000129,0.00023387499999216743,0.000261791000014,0.012421208000034767,9.325000002036177e-05,8.70409999720323e-05,0.01718458299995973,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,3,Non-random,8.594218062696413,0.16,0.013600175681753951,0.028823791999968762,0.0005675419999988662,0.01064233299996431,,,,,,,,,0.028823791999968762,0.028822042999991027,1.748999977735366e-06,0.04003366699993194,,,,,,,0.01815679200001341,0.01065091699996401,1.4334000013604964e-05,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,3,CountSketch,7.1753392346482645,0.33,0.025438622648565765,0.012293416999966666,0.0005675419999988662,0.010707500000023629,,,,,,,,,0.012293416999966666,0.012515041000142446,0.0,0.02356845899998916,,,,,,,,,,4.524999997101986e-05,12.0,8.0,25.0,0.0,0.0002467910000518714,0.0002467910000518714,0.0003336249999961183,0.0002467079999632915,0.00011124999997491614,0.00017187500003501555,0.0003393340000457101,1.187500004107278e-05,0.01076154200001156,,,,,,,,,
200,0.1414213562373095,3,SIGN Bidirectional,7.724903086122861,0.48,0.02460881900612695,0.016221458000018174,0.0005675419999988662,0.011388291000002937,,,,,,,,,0.016221458000018174,0.016214167000043744,7.290999974429724e-06,0.028177291000019977,,,,,,,,,,,,,,,,,,,,,,,,5.2459000016824575e-05,12.0,2.0,0.0016578749999780484,0.00046516700001575373,0.00010612500000206637,0.0002461660000108168,1.0375000044859917e-05,0.013675999999975375
200,0.1414213562373095,4,Random Projection,7.595510364725248,0.32,0.01704935670340252,0.011654582999995,0.0008687920000056693,0.010805791999985104,4.899999998997373e-05,0.0005229169999552141,0.00036629100003438,0.0001061670000126469,0.0001377500000216969,0.00032791699999279444,1.1083999993388716e-05,0.010127042000021902,0.011654582999995,0.011648168000021997,6.414999973003432e-06,0.023329166999985773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
