dataset,rep,method,eval_mode,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
statisticians_citation,1,Random Projection,relative_to_non_random,0.724786620741508,0.364156821321631,0.407510804493881,NaN,0.022901625,0.0229139166666667
statisticians_citation,1,Random Sampling (p=0.7),relative_to_non_random,0.918753366679492,0.746140237542633,0.861950447091675,0.000105125,0.0218329166666667,0.0219544166666667
statisticians_citation,1,Random Sampling (p=0.8),relative_to_non_random,0.946670906810693,0.80852703206014,0.905091791387161,9.70833333333333e-05,0.0233277916666667,0.023435
statisticians_citation,1,CountSketch,relative_to_non_random,0.711302049125421,0.347920209951708,0.384492907747588,NaN,0.025341,0.0253573333333333
statisticians_citation,1,SIGN Bidirectional,relative_to_non_random,0.811783462857969,0.47421692581006,0.618535188240659,NaN,0.021065625,0.0210760416666667
statisticians_citation,2,Random Projection,relative_to_non_random,0.71433720820077,0.351097025268627,0.381993460937361,NaN,0.01885925,0.0188667916666667
statisticians_citation,2,Random Sampling (p=0.7),relative_to_non_random,0.9460971647929,0.828331094796623,0.916946178188641,7.54583333333333e-05,0.024492875,0.024582125
statisticians_citation,2,Random Sampling (p=0.8),relative_to_non_random,0.906496793758391,0.752504521352486,0.856759215303309,0.000101291666666667,0.0235196666666667,0.02362925
statisticians_citation,2,CountSketch,relative_to_non_random,0.982707969366643,0.931213940145893,0.968438213801228,NaN,0.021637625,0.0216479166666667
statisticians_citation,2,SIGN Bidirectional,relative_to_non_random,0.582864313020435,0.393548646777446,0.505762765156853,NaN,0.0311466666666667,0.0311585416666667
statisticians_citation,3,Random Projection,relative_to_non_random,0.970348490013378,0.926265133634454,0.963852310551495,NaN,0.018246125,0.01825225
statisticians_citation,3,Random Sampling (p=0.7),relative_to_non_random,0.68718491013572,0.304159847747087,0.380311732463084,0.000101041666666667,0.0204003333333333,0.02051275
statisticians_citation,3,Random Sampling (p=0.8),relative_to_non_random,0.939052190536743,0.807618204137636,0.904161509369752,7.68333333333333e-05,0.0250156666666667,0.0251051666666667
statisticians_citation,3,CountSketch,relative_to_non_random,0.95867141421097,0.911128196807162,0.951179812106838,NaN,0.0193093333333333,0.01931625
statisticians_citation,3,SIGN Bidirectional,relative_to_non_random,0.841079163075704,0.546130975673957,0.68120211765439,NaN,0.0249239166666667,0.0249332916666667
statisticians_citation,4,Random Projection,relative_to_non_random,0.989330621754304,0.947549044087941,0.979385146291223,NaN,0.02210775,0.0221195
statisticians_citation,4,Random Sampling (p=0.7),relative_to_non_random,0.936564117881322,0.79191086510453,0.899672245573938,7.67083333333333e-05,0.0249679583333333,0.0250571666666667
statisticians_citation,4,Random Sampling (p=0.8),relative_to_non_random,0.686227031392364,0.322424473349141,0.390943693618583,9.49166666666667e-05,0.0202685416666667,0.0203724583333333
statisticians_citation,4,CountSketch,relative_to_non_random,0.984357970252448,0.933975624247795,0.972164960691738,NaN,0.0201422083333333,0.0201516666666667
statisticians_citation,4,SIGN Bidirectional,relative_to_non_random,0.912876369764606,0.750128458323308,0.866657283874981,NaN,0.0247765416666667,0.024785375
statisticians_citation,5,Random Projection,relative_to_non_random,0.992301693350105,0.962847422883641,0.986275808961781,NaN,0.0203295416666667,0.0203395416666667
statisticians_citation,5,Random Sampling (p=0.7),relative_to_non_random,0.946722039823409,0.816232494592878,0.908360685635853,9.675e-05,0.021640625,0.0217489166666667
statisticians_citation,5,Random Sampling (p=0.8),relative_to_non_random,0.733739563226218,0.38280391304388,0.436907785241495,9.62083333333333e-05,0.0251395416666667,0.02524225
