method,Non-random,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),CountSketch,SIGN Bidirectional
Non-random,1,0.710801687943,0.791233516964,0.700235188293,0.823010034347,0.532251632171
Random Projection,0.710801687943,1,0.567512875901,0.617549749303,0.783368064158,0.470836088179
Random Sampling (p=0.7),0.791233516964,0.567512875901,1,0.676243804249,0.667052277021,0.507850381118
Random Sampling (p=0.8),0.700235188293,0.617549749303,0.676243804249,1,0.623014806569,0.494940980944
CountSketch,0.823010034347,0.783368064158,0.667052277021,0.623014806569,1,0.541360774685
SIGN Bidirectional,0.532251632171,0.470836088179,0.507850381118,0.494940980944,0.541360774685,1
