n,alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
200,0.1414213562373095,1,SIGN,0.04059566697105765,0.0004469167906790972,0.0018002090509980917,1.3667158782482147e-05,12,2,0.0002604159526526928,0.00013924995437264442,3.63329891115427e-05,2.950010821223259e-05,1.959037035703659e-06,0.04011150007136166,0.04059566697105765,0.04059262527152896,3.041699528694153e-06,0.04284279281273484
200,0.1414213562373095,2,SIGN,0.016875917091965675,0.0003654579631984234,0.001844916958361864,1.1667143553495407e-05,12,2,0.00023241713643074036,0.0007537498604506254,7.77500681579113e-05,7.158401422202587e-05,6.041023880243301e-06,0.01571949990466237,0.016875917091965675,0.016872709151357412,3.2079406082630157e-06,0.019086292013525963
200,0.1414213562373095,3,SIGN,0.0692842910066247,0.0005940420087426901,0.0027856670785695314,2.591707743704319e-05,12,2,0.0005215408746153116,0.0003470000810921192,7.229205220937729e-05,5.1167095080018044e-05,4.500150680541992e-06,0.06825808412395418,0.0692842910066247,0.06928050145506859,3.789551556110382e-06,0.07266400009393692
200,0.1414213562373095,4,SIGN,0.06157358316704631,0.00036383303813636303,0.0023986250162124634,1.1082971468567848e-05,12,2,0.00023604114539921284,0.00013558310456573963,3.104214556515217e-05,2.629193477332592e-05,2.0829029381275177e-06,0.06112954183481634,0.06157358316704631,0.06157166603952646,1.9171275198459625e-06,0.06433604122139513
200,0.1414213562373095,5,SIGN,0.023520583985373378,0.0011507919989526272,0.0018805409781634808,2.008303999900818e-05,12,2,0.00048104114830493927,0.0003028751816600561,7.670815102756023e-05,5.02921175211668e-05,4.542060196399689e-06,0.022582459030672908,0.023520583985373378,0.023518000729382038,2.5832559913396835e-06,0.026551916962489486
200,0.1414213562373095,6,SIGN,0.03083037491887808,0.0010533749591559172,0.002573625184595585,1.9999919459223747e-05,12,2,0.0004753340035676956,0.00019349996000528336,3.7833116948604584e-05,2.9582995921373367e-05,2.0831357687711716e-06,0.030069665983319283,0.03083037491887808,0.030827999114990234,2.3758038878440857e-06,0.03445737506262958
200,0.1414213562373095,7,SIGN,0.021833624923601747,0.0004854579456150532,0.0012995421420782804,1.1041993275284767e-05,12,2,0.00033358391374349594,0.0001680001150816679,3.5207951441407204e-05,2.8833048418164253e-05,2.125045284628868e-06,0.021252833073958755,0.021833624923601747,0.021831625141203403,1.9997823983430862e-06,0.02361862501129508
200,0.1414213562373095,8,SIGN,0.01776275015436113,0.0004600000102072954,0.0013175420463085175,1.1082971468567848e-05,12,2,0.00022962503135204315,0.0001342089381068945,3.179209306836128e-05,2.6209047064185143e-05,1.8749851733446121e-06,0.017326375003904104,0.01776275015436113,0.0177611680701375,1.5820842236280441e-06,0.01954029221087694
200,0.1414213562373095,9,SIGN,0.028548625065013766,0.0003703339025378227,0.002673917217180133,1.0708114132285118e-05,12,2,0.00022612512111663818,0.0001317090354859829,3.083399496972561e-05,2.4041160941123962e-05,1.9581057131290436e-06,0.028121708892285824,0.028548625065013766,0.02854708442464471,1.5406403690576553e-06,0.03159287618473172
200,0.1414213562373095,10,SIGN,0.024508375208824873,0.0009255420882254839,0.0034952089190483093,1.237494871020317e-05,12,2,0.00023170816712081432,0.00013758288696408272,3.295787610113621e-05,2.8291018679738045e-05,2.00001522898674e-06,0.024061542004346848,0.024508375208824873,0.02450645691715181,1.918291673064232e-06,0.028929126216098666
200,0.1414213562373095,11,SIGN,0.032468208111822605,0.0007239161059260368,0.003619167022407055,1.9459053874015808e-05,12,2,0.0004765409976243973,0.00029437500052154064,7.912516593933105e-05,5.337502807378769e-05,4.749977961182594e-06,0.03153670905157924,0.032468208111822605,0.03246433427557349,3.873836249113083e-06,0.0368112912401557
200,0.1414213562373095,12,SIGN,0.02371970796957612,0.0004365839995443821,0.002790834056213498,1.3416167348623276e-05,12,2,0.00024099997244775295,0.00013787508942186832,3.120885230600834e-05,2.733408473432064e-05,2.00001522898674e-06,0.02326466701924801,0.02371970796957612,0.02371750120073557,2.2067688405513763e-06,0.026947126025334
200,0.1414213562373095,13,SIGN,0.016437166137620807,0.001065041869878769,0.0026278330478817225,2.312520518898964e-05,12,2,0.0004946670960634947,0.0003195840399712324,7.64171127229929e-05,4.9584079533815384e-05,4.37488779425621e-06,0.01546545815654099,0.016437166137620807,0.01643321057781577,3.955559805035591e-06,0.020130041055381298
