dataset,method,F1_mean,F1_std,NMI_mean,NMI_std,ARI_mean,ARI_std,time_rand_mean,time_rand_std,time_post_mean,time_post_std,time_total_mean,time_total_std
statisticians_coauthor,Random Projection,0.9906292175815764,0.023196805496529582,0.9776481271038453,0.05064571236786696,0.9850835015507758,0.03603135385070464,,,,,0.05541095000808127,0.014033406629728459
statisticians_coauthor,Random Sampling (p=0.7),0.8160928605388549,0.24521891211165503,0.7664096987290316,0.15065733449166163,0.8100145058244321,0.17151807377750514,0.0009595062874723226,0.00014446328411560445,0.05117298951954581,0.014687770252188558,0.05214527702191844,0.014693683299146132
statisticians_coauthor,Random Sampling (p=0.8),0.7809579390256469,0.2982393657672021,0.7876773832888492,0.20882166696621576,0.8089417241203923,0.22621461035012497,0.0010583083552774043,9.356833222013006e-05,0.04435336666647345,0.012468451271072415,0.04541921464842744,0.012491413217192401
