dataset,alpha,tau_label,tau_value,group,group_n,method,rep,r,ell,k,q,test_matrix_scaling,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,rp_draw_omega_sec,rp_test_matrix_entry_std,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,eigen_decomposition_wall_sec,ARI_true,NMI_true,F1_macro_true,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
lastfm-asia-scaled-by-dim,0.5,0,0.0,all,7624,Gaussian RP,1,0,18,18,1,by_dim,0.01160024999990128,0.7005765829999291,0.7121768329998304,0.0005584579998867412,0.23570226039551587,0.0009135420000347949,0.0020954579999852285,0.0011362919999555743,0.0009554580001349677,0.00024337500008186908,0.005902583000079176,0.06415439960748817,0.14489067987217086,0.20687890977542292,,,,,,,,,,,
lastfm-asia-scaled-by-dim,0.5,0,0.0,low_deg_1_2,2942,Gaussian RP,1,0,18,18,1,by_dim,0.01160024999990128,0.7005765829999291,0.7121768329998304,0.0005584579998867412,0.23570226039551587,0.0009135420000347949,0.0020954579999852285,0.0011362919999555743,0.0009554580001349677,0.00024337500008186908,0.005902583000079176,0.022913940640245278,0.078062737636317,0.14715464428759206,,,,,,,,,,,
lastfm-asia-scaled-by-dim,0.5,0,0.0,mid_deg_3_8,2847,Gaussian RP,1,0,18,18,1,by_dim,0.01160024999990128,0.7005765829999291,0.7121768329998304,0.0005584579998867412,0.23570226039551587,0.0009135420000347949,0.0020954579999852285,0.0011362919999555743,0.0009554580001349677,0.00024337500008186908,0.005902583000079176,0.04585059889384176,0.13366506104080328,0.18212092381498607,,,,,,,,,,,
lastfm-asia-scaled-by-dim,0.5,0,0.0,high_deg_9_plus,1835,Gaussian RP,1,0,18,18,1,by_dim,0.01160024999990128,0.7005765829999291,0.7121768329998304,0.0005584579998867412,0.23570226039551587,0.0009135420000347949,0.0020954579999852285,0.0011362919999555743,0.0009554580001349677,0.00024337500008186908,0.005902583000079176,0.23960024687971707,0.38263935466730464,0.3358741731316206,,,,,,,,,,,
lastfm-asia-scaled-by-dim,0.5,0,0.0,all,7624,Degree-stratified RP,1,0,18,18,1,by_dim,0.009753792000083195,0.4846653750000769,0.4944191670001601,,,,,,,,0.00948404099972322,0.09688790557150072,0.1922545627870964,0.2338056516729868,0.00022866700010126806,0.0018817919999492005,0.002487624999957916,0.003182375000051252,0.0013107499999023275,0.00013466599966704962,0.00025816600009420654,8.0,1.0,3.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=2;[4,8):n=1786,ell=3;[8,16):n=1265,ell=3;[16,32):n=576,ell=3;[32,64):n=212,ell=2;[64,128):n=46,ell=2;[128,256):n=6,ell=1"
lastfm-asia-scaled-by-dim,0.5,0,0.0,low_deg_1_2,2942,Degree-stratified RP,1,0,18,18,1,by_dim,0.009753792000083195,0.4846653750000769,0.4944191670001601,,,,,,,,0.00948404099972322,0.017933270802143745,0.0863393387701651,0.1394914331744831,0.00022866700010126806,0.0018817919999492005,0.002487624999957916,0.003182375000051252,0.0013107499999023275,0.00013466599966704962,0.00025816600009420654,8.0,1.0,3.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=2;[4,8):n=1786,ell=3;[8,16):n=1265,ell=3;[16,32):n=576,ell=3;[32,64):n=212,ell=2;[64,128):n=46,ell=2;[128,256):n=6,ell=1"
lastfm-asia-scaled-by-dim,0.5,0,0.0,mid_deg_3_8,2847,Degree-stratified RP,1,0,18,18,1,by_dim,0.009753792000083195,0.4846653750000769,0.4944191670001601,,,,,,,,0.00948404099972322,0.08435486730235552,0.200390351987968,0.22525420490342332,0.00022866700010126806,0.0018817919999492005,0.002487624999957916,0.003182375000051252,0.0013107499999023275,0.00013466599966704962,0.00025816600009420654,8.0,1.0,3.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=2;[4,8):n=1786,ell=3;[8,16):n=1265,ell=3;[16,32):n=576,ell=3;[32,64):n=212,ell=2;[64,128):n=46,ell=2;[128,256):n=6,ell=1"
lastfm-asia-scaled-by-dim,0.5,0,0.0,high_deg_9_plus,1835,Degree-stratified RP,1,0,18,18,1,by_dim,0.009753792000083195,0.4846653750000769,0.4944191670001601,,,,,,,,0.00948404099972322,0.390103736746654,0.47994932190038697,0.3334703834938069,0.00022866700010126806,0.0018817919999492005,0.002487624999957916,0.003182375000051252,0.0013107499999023275,0.00013466599966704962,0.00025816600009420654,8.0,1.0,3.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=2;[4,8):n=1786,ell=3;[8,16):n=1265,ell=3;[16,32):n=576,ell=3;[32,64):n=212,ell=2;[64,128):n=46,ell=2;[128,256):n=6,ell=1"
lastfm-asia-scaled-by-dim,0.5,0,0.0,all,7624,Gaussian RP,2,0,18,18,1,by_dim,0.005282042000089859,0.6957211660001121,0.701003208000202,0.0005830830000377318,0.23570226039551587,0.0010419589998491574,0.002050459000201954,0.0012345000000095752,9.67080000009446e-05,0.00017312499994659447,0.0051798340000459575,0.06437322710396469,0.14788025409102173,0.20795235652384983,,,,,,,,,,,
lastfm-asia-scaled-by-dim,0.5,0,0.0,low_deg_1_2,2942,Gaussian RP,2,0,18,18,1,by_dim,0.005282042000089859,0.6957211660001121,0.701003208000202,0.0005830830000377318,0.23570226039551587,0.0010419589998491574,0.002050459000201954,0.0012345000000095752,9.67080000009446e-05,0.00017312499994659447,0.0051798340000459575,0.025624834391585295,0.08612986580701139,0.15039617990009335,,,,,,,,,,,
