method,F1_mean,F1_std,NMI_mean,NMI_std,ARI_mean,ARI_std,time_rand_mean,time_rand_std,time_post_mean,time_post_std,time_total_mean,time_total_std
Non-random,0.3251641753344038,0.015844497558750573,0.5558340897799617,0.008464697708644513,0.09221626791671786,0.005951281813079027,0.0,0.0,0.2306693165500005,0.006206137691003069,0.23066983750000034,0.006206168499109254
Random Projection,0.31494495373669573,0.01837309934904434,0.5481276098389584,0.009652380049343384,0.09074448294356037,0.008142377425916376,,,,,0.1817836521000002,0.02491491311702832
Random Sampling (p=0.7),0.27080394737066105,0.01381571784880994,0.5051163920720246,0.010855005434088877,0.07946008621730012,0.00825927801998734,0.0073583957999998175,0.0006760290192886501,0.23569238969999962,0.007852995807680422,0.24305816034999986,0.008079680591364772
Random Sampling (p=0.8),0.2866866490444993,0.015986696463844135,0.5256163842404655,0.009165598700418035,0.09052060799728107,0.009221395129725892,0.00722103334999995,7.723927876852252e-05,0.23315105835000013,0.008090517003456397,0.2403795290999998,0.008093678328872466
