,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),Non-random
Random Projection,1.0,0.7307661699189643,0.7635193934664304,0.8067048866646674
Random Sampling (p=0.7),0.7307661699189643,1.0,0.738509947606626,0.7200802889326646
Random Sampling (p=0.8),0.7635193934664304,0.738509947606626,1.0,0.7526625722084929
Non-random,0.8067048866646674,0.7200802889326646,0.7526625722084929,1.0
