K,rep,method,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
2,1,SIGN,0.040453249821439385,0.015847999835386872,0.19130345806479454,5.9499870985746384e-05,12,2,0.008234832901507616,0.006542375078424811,0.0010469581466168165,9.333295747637749e-05,1.4833873137831688e-05,0.024456416023895144,0.040453249821439385,0.040448248852044344,5.000969395041466e-06,0.2476047077216208
2,2,SIGN,0.06370500009506941,0.017412458080798388,0.12882916699163616,0.00010016607120633125,12,2,0.007032457971945405,0.006315500009804964,0.0007847920060157776,9.32919792830944e-05,1.5584053471684456e-05,0.04935533390380442,0.06370500009506941,0.06369712599553168,7.874099537730217e-06,0.20994662516750395
2,3,SIGN,0.07386037497781217,0.02537625003606081,0.2784044579602778,6.437511183321476e-05,12,2,0.01043875003233552,0.007174959173426032,0.0009175408631563187,6.554205901920795e-05,6.458023563027382e-06,0.05518437479622662,0.07386037497781217,0.07385200005955994,8.37491825222969e-06,0.3776410829741508
2,4,SIGN,0.05714262509718537,0.02006220817565918,0.1312178340740502,7.699988782405853e-05,12,2,0.004342125030234456,0.005438457941636443,0.004631208023056388,0.0013262499123811722,8.041039109230042e-06,0.04130879114381969,0.05714262509718537,0.05713187297806144,1.07521191239357e-05,0.20842266734689474
2,5,SIGN,0.06785587500780821,0.019014707999303937,0.16445995797403157,7.479195483028889e-05,12,2,0.009004916995763779,0.009101249976083636,0.00360195804387331,0.0001152500044554472,1.6249949112534523e-05,0.04593116696923971,0.06785587500780821,0.06784558389335871,1.0291114449501038e-05,0.2513305409811437
2,6,SIGN,0.0749675421975553,0.02237337501719594,0.178453833097592,0.0001139170490205288,12,2,0.004983959021046758,0.00536958291195333,0.01483195903711021,8.966703899204731e-05,9.124865755438805e-06,0.049560582963749766,0.0749675421975553,0.07495879288762808,8.749309927225113e-06,0.27579475031234324
2,7,SIGN,0.052572666900232434,0.025409500114619732,0.19740508287213743,6.345915608108044e-05,12,2,0.004269917029887438,0.009232459124177694,0.0025223749689757824,9.366613812744617e-05,1.3832934200763702e-05,0.03636941686272621,0.052572666900232434,0.052565126214176416,7.540686056017876e-06,0.2753872498869896
2,8,SIGN,0.04499716614373028,0.01825983403250575,0.22544787498191,0.00010837521404027939,12,2,0.006393417017534375,0.005329125095158815,0.0027203750796616077,0.00011983304284512997,7.58306123316288e-06,0.030308834044262767,0.04499716614373028,0.04498754255473614,9.623588994145393e-06,0.288704875158146
2,9,SIGN,0.1408021249808371,0.02201845799572766,0.15337858302518725,0.0001309579238295555,12,2,0.007633208995684981,0.006769541185349226,0.001625667093321681,7.179100066423416e-05,6.749993190169334e-06,0.12455358309671283,0.1408021249808371,0.14079149928875268,1.0625692084431648e-05,0.316199166001752
2,10,SIGN,0.07542512519285083,0.014097082894295454,0.10980883310548961,6.212503649294376e-05,12,2,0.007050582906231284,0.010311625199392438,0.002793041057884693,6.125005893409252e-05,6.707850843667984e-06,0.05513333389535546,0.07542512519285083,0.07541866600513458,6.459187716245651e-06,0.1993310411926359
