K,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
2,Non-random,23.91301083881215,0.12705704053189748,0.0,0.0,0.001174316406249965,0.0005048309344877616,0.31682820639980486,0.04783730176024896
2,Random Projection,13.62066051848123,0.24224354757106625,0.0,0.0,0.0012643859765412752,0.0005046837856898185,0.07235168749903093,0.022478829961731814
2,Random Sampling,17.267831450977045,0.43790035390049165,8.6805555555555e-05,0.00038820624609371094,0.00154242060071085,0.0007820730718444114,0.10440482294943645,0.03361879958850095
2,SIGN,15.55328882743691,0.48653540279275115,0.0,0.0,0.0013657796262224304,0.0005039453524795134,0.0645077041699551,0.022143351873734455
3,Non-random,22.832010062185525,0.15211635298235876,0.00091145833333332,0.001746928107421692,0.0020694622680477196,0.0008390029490033062,0.32819131054857276,0.06870970539567403
3,Random Projection,14.508762948758463,0.3394915673768742,0.00091145833333332,0.0019405203655484117,0.00406248634417865,0.0013195962697046789,0.08253590615204298,0.039857789377812945
3,Random Sampling,18.12703152478834,0.42254149418347736,0.009244791666666636,0.0053084538039911535,0.003546312586014735,0.0014006544594438496,0.12608037720056015,0.040914763654756714
3,SIGN,15.377713837814596,0.5127344352491182,0.00859375,0.006972371659415291,0.006141270203037484,0.0018563648537396685,0.07173377090366558,0.010618058555769864
4,Non-random,22.25373727479961,0.10938948825949908,0.00607638888888885,0.0043448440891698335,0.003125507410035525,0.0011523888567932248,0.333410864349571,0.03963097374112855
4,Random Projection,16.15271448813835,1.1130378614860814,0.07187499999999997,0.02881162703105707,0.020877990713271195,0.004651505730384743,0.11947198539710366,0.056133098831189235
4,Random Sampling,19.21809083852063,0.31291559441831035,0.06944444444444439,0.013137573651762742,0.0075358764313886595,0.0018105126212550893,0.14410459795180935,0.03846464199628924
4,SIGN,16.378664503882142,1.316326606812896,0.27534722222222224,0.08418259383588911,0.028415880471388065,0.00583966490993691,0.1312417376670055,0.041965495788638646
5,Non-random,21.796477539692127,0.11975375280695132,0.05815734989648028,0.014581149449886605,0.004753019675992635,0.001242913656691322,0.37961376460298196,0.07677331814211076
5,Random Projection,18.264498694581413,1.2231490844609316,0.5709777903256164,0.10348380094604533,0.04690692773955489,0.006514212551454773,0.15907519179891091,0.04287501280984616
5,Random Sampling,20.690023199228296,0.31808554855575794,0.28884716732542814,0.04093064098047166,0.013538456615253566,0.0030982633932093275,0.2065584000505623,0.07089754460571605
5,SIGN,17.21629444083778,1.0444722183525994,1.125205157161679,0.21155898455833916,0.05134628093293038,0.005557833135296729,0.18491321882465855,0.04107672897526257
6,Non-random,21.59685478249444,0.11929814124074674,0.1989583333333333,0.036696434288275,0.00698286246557442,0.0017782822290290888,0.36112877510458924,0.04136066830104598
6,Random Projection,18.02367457140727,0.5046354939130099,1.91953125,0.34814309311151076,0.06339814356601961,0.0044108422859967765,0.2654025563489995,0.03520001407951207
6,Random Sampling,22.275679657189986,0.36625771323388284,0.8388020833333334,0.10481534591295463,0.022636544773851124,0.004546503879624248,0.22925243129720907,0.054325753573117766
6,SIGN,16.714341512560384,0.5698133798040506,2.706770833333333,0.3142453998497899,0.0668432126031013,0.0032817134604216976,0.27357390003744514,0.028071766350294673
7,Non-random,21.4289139642409,0.15739140257953008,0.6273373983739837,0.0931479865508493,0.01491545157081369,0.005603832751604487,0.4443240792490542,0.08391267058020772
7,Random Projection,16.430799033766675,0.33465391009369805,3.9165872135994086,0.4330920537533461,0.07105067024476203,0.002971913887750826,0.31123967080056897,0.019181235637788775
7,Random Sampling,24.151780177736605,0.5800160337821434,1.968941241685144,0.16276466330717834,0.03314176885629018,0.004396227485127973,0.3516589728504186,0.06012885642920094
7,SIGN,15.54616892569839,0.388672940569597,4.557354028085736,0.29504017433315244,0.07386334041603464,0.002876399031860648,0.27373527908930556,0.022054919081624602
8,Non-random,21.282205321722348,0.10684406561138658,1.496875,0.23603020414627168,0.024369559766719732,0.007531520242522008,0.48723241465049794,0.04679627844204588
8,Random Projection,15.014930977676446,0.3808198466874716,5.579166666666667,0.3101511793643201,0.0754559708349675,0.003294573299087564,0.30666062705277,0.015539335222165256
8,Random Sampling,25.553841198131387,0.2715106274359139,4.233680555555556,0.5068732175789429,0.03890418654503401,0.004331324259987644,0.42504029385308967,0.03630221084327407
8,SIGN,15.134571285637657,0.5930791408833548,5.901041666666666,0.22634016938907947,0.07794186388048888,0.0034309908317156977,0.27971352080348877,0.025033697380788637
