K,reps,hyperedges_mean,hyperedges_std,misclassification_mean,misclassification_std,ari_mean,ari_std,nmi_mean,nmi_std,generation_wall_sec_mean,generation_wall_sec_std,zhou_laplacian_wall_sec_mean,zhou_laplacian_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std
2,10,43737.8,211.50770934202708,0.0002,0.00021081851067789194,0.9992001600000359,0.000843004188910644,0.9975339529633664,0.0025596855770135553,2.157189789999973,0.048284126728768396,0.13786525999998958,0.004330727001891611,0.012886090000017702,0.0020048778253026946,0.00011448000001337277,2.931021060489317e-05,0.1674927299999922,0.4377792391073989,0.18049908000003825,0.43980653427522837,0.02966705000001184,0.002394714132416658,2.4755483499999853,0.4854816001241796,3.1359375,0.09661423236683787,2.6866800300000024,0.48330817030639167,13.277074813842773,0.06317115348595229,1.151171875,3.245141752491076
3,10,31213.3,195.33620589469163,0.00642,0.0010768266135063505,0.9808337447245574,0.0031951193079361217,0.9613034288796927,0.005408225671072297,1.554796419999991,0.03634629106524272,0.09602961999997887,0.0022024822419887675,0.013689410000006319,0.0004015199412590653,0.00010068999997656647,1.9542116876838906e-05,0.038498570000001564,0.0024427089661849927,0.05229442999997218,0.002581124953283444,0.03168131999999559,0.002716608972709783,1.7031147099999544,0.034829793066744406,2.478125,0.06798820363366964,1.8611740099999792,0.03732980543455258,9.526594257354736,0.05937250894335583,-0.07265625,0.21646875977455343
4,10,25573.1,88.46901529160742,0.04018,0.004016023461640191,0.8957146499217347,0.010113949167414465,0.8476859261788441,0.012463998106751552,1.3030138500000135,0.021273618215972866,0.07931577000000516,0.001755564234798486,0.014733730000023116,0.0009713256977903591,0.00011124000003519541,1.8049450597739127e-05,0.04716996999998173,0.001578054528046541,0.06202038999998649,0.002181898926998576,0.02966356999996833,0.0022692242669011898,1.4443445600000586,0.020595316286903566,2.2390625,0.06590136911619433,1.5776616200000035,0.024788412236636977,7.906720542907715,0.02556035466714826,0.31484375,1.5629764898463765
5,10,22389.3,188.27583192988132,0.11683999999999999,0.007010341567205469,0.7293470552255745,0.014912239509163698,0.6774263973515691,0.014728472839478908,1.1967000500000153,0.05309147664634936,0.07293377000003147,0.0030330882996174604,0.01661951000000954,0.00124263352909418,0.00011444999998957427,1.379438292365265e-05,0.06999643000000333,0.0085265330222545,0.08673642999999628,0.008302523929936642,0.03441430999998829,0.004224567164827461,1.3563642100000493,0.055034795807364374,2.246875,0.06901778655615605,1.4913611599999854,0.05496383651602878,7.02062292098999,0.057345297117111164,-0.12109375,0.35351022958589895
6,10,20335.4,145.67635360620466,0.251,0.03237584833723366,0.4927984865630853,0.045229471404452465,0.46842336863264844,0.03684071870744286,1.0890087200000038,0.0257688323631811,0.06766443999998728,0.0029820033308012406,0.025735440000005383,0.0011204008649575267,0.00013507000001027335,1.8638791685370645e-05,0.09352181000002702,0.018579606971224544,0.11939784999997301,0.019267312441888937,0.029229449999991174,0.0028111529399396985,1.276065480000034,0.03318634456017199,2.2765625,0.1160067833565014,1.3940273799999887,0.03357998067005921,6.474219417572021,0.04225721199841721,-0.033203125,0.21118852411810643
8,10,17795.6,98.98843928010531,0.75076,0.014034497180558728,0.03977926762241974,0.00654038763778879,0.06058700695672494,0.007175718647259678,0.9484001700000135,0.012475824525662333,0.05957378999999037,0.0038987764620351194,0.06441749999999047,0.014044424620897751,0.00015880999999353662,2.9475468142491438e-05,0.2494595000000004,0.02105769728352628,0.31404123999999456,0.027617698182185325,0.02730176999999685,0.0030629360671302268,1.3220097699999882,0.031419732871542885,2.98125,0.10359216575376529,1.4254016800000158,0.030395413006991192,6.007736015319824,0.02021609994024586,-0.066015625,0.3770535227195546
10,10,16388.5,131.67742572075315,0.8439399999999999,0.008886469115083543,0.010307846938260267,0.002887774513747885,0.023176272467555985,0.0050244434292870946,0.8757058599999823,0.012533639580042813,0.053573049999988596,0.0020154554998057105,0.08925378000001274,0.009630135608588998,0.00020124000002397224,2.3107199458445482e-05,0.2828901499999915,0.021815077124232345,0.37235066000000644,0.023797854510738167,0.027148959999988165,0.003500959857019358,1.3016240799999992,0.02256877496045695,3.134375,0.1574950396044269,1.399109079999994,0.019503428522726116,5.985506343841553,0.02777538199081819,0.020703125,4.601131049530114
