method,Non-random,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),CountSketch,SIGN Bidirectional
Non-random,1,0.799635828648,0.763155013292,0.801374372858,0.787269783584,0.782225007964
Random Projection,0.799635828648,1,0.753659308605,0.775955698025,0.809749760646,0.803783255002
Random Sampling (p=0.7),0.763155013292,0.753659308605,1,0.758216696693,0.747943996814,0.738146955474
Random Sampling (p=0.8),0.801374372858,0.775955698025,0.758216696693,1,0.775060850371,0.77419918842
CountSketch,0.787269783584,0.809749760646,0.747943996814,0.775060850371,1,0.779686661066
SIGN Bidirectional,0.782225007964,0.803783255002,0.738146955474,0.77419918842,0.779686661066,1
