K,method,rep,seed,n,m,rho_n,rho_n_multiplier,rho_n_base_equivalent,density_regime,num_hyperedges_total,theta_nnz,theta_density,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
2,CountSketch random projection,1,20460507,5000,3,32.0,4.0,8.0,rho_n_x4,319218,1818208,0.07272832,0.0,1.0,1.0,13.741036458,1.372812208000001,1.071613457999998,0.018875291000000516,0,0.0,191.5308,243.0,319680.07680000004,63.936015360000006,191.80804608000003,0.2498499699939988,0.0010384580000000199,162,17,45,0,0.023949957999999327,0.6622802919999984,0.09506895799999882,0.08815204100000074,0.01047829199999839,0.0007238339999986465,0.8818169170000019,0.0004868749999999977,0.18930254200000007,0.9999998041116774,0.7798547787268256,16.185455000000005,4.608e-05,5.12e-06,sparse,24.053015000000002,18.713549375,179.03993701934814,146.76953125,462.5390625,315.76953125
2,CountSketch random projection,2,20460508,5000,3,32.0,4.0,8.0,rho_n_x4,318946,1816976,0.07267904,0.0,1.0,1.0,13.641617042000004,1.3873105000000052,0.9163582500000018,0.017464458999995713,0,0.0,191.3676,252.0,319680.07680000004,63.936015360000006,191.80804608000003,0.2498499699939988,0.0008437090000015246,162,15,48,0,0.024541749999997364,0.660105999999999,0.08499033399999689,0.0864575420000051,0.009917291999997246,0.001565333000002056,0.8685030839999968,0.00042483400000037363,0.04742362500000041,0.9999998446750307,0.7783703871136344,15.945279085000006,4.608e-05,5.12e-06,sparse,23.652872000000002,19.011162790999997,178.82740688323975,463.07421875,533.859375,70.78515625
2,CountSketch random projection,3,20460509,5000,3,32.0,4.0,8.0,rho_n_x4,319506,1820216,0.07280864,0.0,1.0,1.0,13.590224332999995,1.3669234580000023,1.0322210419999962,0.01846491699999575,0,0.0,191.7036,246.0,319680.07680000004,63.936015360000006,191.80804608000003,0.2498499699939988,0.014603042000004507,162,19,50,0,0.023217624999993802,0.7312980829999987,0.11055629199999828,0.09106612499999756,0.009287541999995597,0.00021920900000083066,0.9803462080000003,0.0003534999999956767,0.05149716700000084,0.9999998701483914,0.7794867219437243,15.989344665999994,4.608e-05,5.12e-06,sparse,23.542338,19.226717875,179.15277767181396,533.859375,612.2265625,78.3671875
2,CountSketch random projection,4,20460510,5000,3,32.0,4.0,8.0,rho_n_x4,320779,1826222,0.07304888,0.0,1.0,1.0,13.871951416000002,1.4124715000000094,0.9325054169999873,0.017588416000009488,0,0.0,192.4674,243.0,319680.07680000004,63.936015360000006,191.80804608000003,0.2498499699939988,0.0009430830000098922,162,17,43,0,0.023077665999991837,0.6808369170000077,0.08877866600001028,0.08596183299999893,0.008548375000003716,0.00017200000000627824,0.8883798330000019,0.00020004200000300898,0.04391108400000121,0.9999998240072049,0.7789330406131163,16.216913875000017,4.608e-05,5.12e-06,sparse,23.931443,19.347229208,179.77798748016357,612.2265625,656.9375,44.7109375
2,CountSketch random projection,5,20460511,5000,3,32.0,4.0,8.0,rho_n_x4,319285,1819490,0.0727796,0.0,1.0,1.0,13.584020750000008,1.3910587090000064,0.9117268749999994,0.01726649999999097,0,0.0,191.571,255.0,319680.07680000004,63.936015360000006,191.80804608000003,0.2498499699939988,0.0008169160000051079,162,16,46,0,0.023852750000003198,0.6624839579999957,0.08421870799999454,0.08593233300000236,0.007787915999998063,0.0001671659999971098,0.8653177080000063,0.000212167000000818,0.04619250000000363,0.9999998659482473,0.7781527421605776,15.886801834000025,4.608e-05,5.12e-06,sparse,23.635016000000007,19.02537554099999,179.05966091156006,655.9375,629.29296875,-26.64453125
2,CountSketch random projection,6,20460512,5000,3,32.0,4.0,8.0,rho_n_x4,320061,1823142,0.07292568,0.0,1.0,1.0,13.935185542,1.3456192080000022,0.9243914169999954,0.017882332999988648,0,0.0,192.0366,241.0,319680.07680000004,63.936015360000006,191.80804608000003,0.2498499699939988,0.0007605840000053377,162,18,50,0,0.022991415999996434,0.6682826669999997,0.09183929199998886,0.0870862499999987,0.008554708000005462,0.0003378749999995989,0.8799199159999915,0.00023025000000131968,0.044235708000002205,0.9999998467759542,0.7790922868225432,16.205190623999997,4.608e-05,5.12e-06,sparse,23.729463999999993,19.322565041999994,179.43295192718506,628.29296875,635.37109375,7.078125
2,CountSketch random projection,7,20460513,5000,3,32.0,4.0,8.0,rho_n_x4,320293,1824420,0.0729768,0.0,1.0,1.0,13.739907167000013,1.3598579169999994,0.9161860419999925,0.01814166599999112,0,0.0,192.1758,248.0,319680.07680000004,63.936015360000006,191.80804608000003,0.2498499699939988,0.0008610000000146556,162,18,47,0,0.022903667000008454,0.6655136249999885,0.08568079199997669,0.08662437499998532,0.009516207999979542,0.00022308299998030634,0.871386374999986,0.00022391699999957382,0.044571041000011746,0.9999998590281847,0.779688971295783,16.01594641700001,4.608e-05,5.12e-06,sparse,23.715126999999995,19.135238083000004,179.55446910858154,634.37109375,667.03515625,32.6640625
2,CountSketch random projection,8,20460514,5000,3,32.0,4.0,8.0,rho_n_x4,319098,1817848,0.07271392,0.0,1.0,1.0,13.652589333000009,1.3141496670000095,0.9730624999999975,0.018391624999992473,0,0.0,191.4588,247.0,319680.07680000004,63.936015360000006,191.80804608000003,0.2498499699939988,0.0008184159999871099,162,19,49,0,0.02252979200000027,0.7156424590000086,0.09149487499999509,0.08662283300000695,0.009133499999990136,0.0003219590000185235,0.9266387090000023,0.00024629199998571494,0.04617283399997518,0.9999998349298782,0.7803559827713136,15.939796834999981,4.608e-05,5.12e-06,sparse,23.171605,19.050838499999998,178.90463542938232,666.03515625,668.43359375,2.3984375
2,CountSketch random projection,9,20460515,5000,3,32.0,4.0,8.0,rho_n_x4,319941,1822038,0.07288152,0.0,1.0,1.0,14.014124958999986,1.3522387920000085,0.9168351250000057,0.020784457999980077,0,0.0,191.9646,246.0,319680.07680000004,63.936015360000006,191.80804608000003,0.2498499699939988,0.0008681670000214581,162,19,47,0,0.0226662919999967,0.664685999999989,0.08567450000001031,0.08678045900001052,0.009341874999989841,0.00024333300001444513,0.8703368750000209,0.00025333300001761927,0.04623916599999234,0.9999998572121196,0.7805434946220744,16.283193125000025,4.608e-05,5.12e-06,sparse,23.598782999999997,19.422243541,179.3587188720703,667.45703125,680.61328125,13.15625
2,CountSketch random projection,10,20460516,5000,3,32.0,4.0,8.0,rho_n_x4,320927,1827332,0.07309328,0.0,1.0,1.0,13.821287084000005,1.3500424579999901,0.9289405419999923,0.01760162499999751,0,0.0,192.5562,240.0,319680.07680000004,63.936015360000006,191.80804608000003,0.2498499699939988,0.0007992919999821879,162,18,47,0,0.02327254200000084,0.6814358329999948,0.08394929199999979,0.08645729200000574,0.009008458000010933,0.0002004170000020622,0.885186458999982,0.00021908300001882708,0.043529791999986855,0.9999998083664038,0.779360805705039,16.100264875999983,4.608e-05,5.12e-06,sparse,23.74655899999999,19.194049999999976,179.88921642303467,679.61328125,730.5703125,50.95703125
