K,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,cs_draw_hash_sec_mean,cs_draw_hash_sec_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_small_eig_sec_mean,cs_small_eig_sec_std,cs_lift_sec_mean,cs_lift_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,cs_bucket_min_load_mean,cs_bucket_min_load_std,cs_bucket_max_load_mean,cs_bucket_max_load_std,cs_empty_buckets_mean,cs_empty_buckets_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2,CountSketch random projection,10,319805.4,704.8904091338604,1821589.2,3622.02597696066,0.072863568,0.00014488103907843092,191.88324,0.42293424548030134,246.1,4.72463990397387,191.80804608000003,0.0,0.2498499699939988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.759194408400003,0.1481964135392874,1.3652484417000035,0.027626195426352716,0.891783208399999,0.035702222916129185,0.000285029300002293,0.000100607414502773,0.06030754589999745,0.04538299935725241,0.9523840667999967,0.05604603954096824,0.018246128999994227,0.0010257739094771698,16.076818633700004,0.13927957244304426,23.6776222,0.23503898472135212,19.144896995599996,0.20701779844390353,179.29977617263793,0.36335682102136363,58.92421875,95.8837339903335,0.00223526670000318,0.004346312051666718,0.023300345799998824,0.0006301676977339342,0.679256583399998,0.02471471476069963,0.09022517089999696,0.008078465377084742,0.08711410830000119,0.0015230031202085029,0.009157416599996892,0.0007552992875747114,0.00041742090000198575,0.0004351683072976967,162.0,0.0,17.6,1.3498971154211057,47.2,2.2010098692292237,0.0,0.0,0.9999998415203093,2.322678940324506e-08,0.7793839211774631,0.0007779442992921425
3,CountSketch random projection,10,201188.9,427.89807976510696,1171279.0,2464.2200929840237,0.046851159999999996,9.856880371936333e-05,120.71333999999999,0.2567388478590637,162.5,2.4152294576982403,120.74814861312002,0.0,0.11097779555911183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.995556829199998,0.03337375363320916,0.814775712499997,0.007673736992588682,0.6700469209000033,0.005639120861553624,0.0002694246999993766,5.192746056138338e-05,0.05352593749999244,0.002228096177440211,0.7238475709000085,0.006971452189546471,0.017983658599993645,0.0006041282723294193,10.53417482479999,0.034479644380920764,16.9243404,0.06816484988809668,12.452178458399995,0.04346320048867266,114.44276485443115,0.2417325548441845,1.457421875,1.9039142911624063,0.0007813333999990846,4.667755775370663e-05,0.017681095800006118,0.00017173702474850128,0.48977575849999366,0.005683953091211194,0.08735091689999877,0.0013765365020049648,0.06494907499999555,0.0005885526786219369,0.009151208400004407,0.0008844488870363384,0.0002857542999947782,6.947533023982829e-05,163.0,0.0,17.1,1.6633299933166201,48.0,2.788866755113586,0.0,0.0,0.999999748436627,2.7657511566782897e-08,0.652179591507337,0.0008727484970642366
4,CountSketch random projection,10,159799.6,519.9169164395395,939862.2,3002.04470319813,0.037594487999999995,0.00012008178812792512,95.87976,0.31195014986372366,133.2,2.820559440174162,95.88484608,0.0,0.0623875075135075,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.401944437600008,0.06233595162707486,0.6456331957999965,0.011189780465508519,0.5099309083000036,0.004793923008475444,0.0003108834000101979,7.47939864517006e-05,0.06127069989998404,0.0022176038848904832,0.5715180998999927,0.005113104065169896,0.018851637600005234,0.0015024215810548558,8.619090125000003,0.06463894400352048,14.385452500000003,0.22688424813119898,10.134242358399996,0.07124365541732135,91.58006439208984,0.2932483667610008,1.03671875,1.6385653821260036,0.0007604792000108773,5.7235226748008326e-05,0.014787379099993813,0.00022951594642865912,0.3489578749999964,0.002004756628197514,0.08848513330000288,0.002677965385644512,0.04782164589999525,0.0008309594148783158,0.008731575200005181,0.001239710189983611,0.00030860010000424156,0.00011385610464170528,164.0,0.0,16.9,1.286683937707919,45.3,2.1108186931983424,0.0,0.0,0.9999996480161277,3.6420159259392345e-08,0.562237983388081,0.0008836928066979458
5,CountSketch random projection,10,140546.2,402.3480527547692,831050.8,2352.526622827234,0.033242032,9.410106491308942e-05,84.32772,0.24140883165286253,119.9,2.2827858224351867,84.38020608000001,0.0,0.03990401921920999,0.0,0.0,0.0,0.00804,0.0015457468529268732,0.9800004657060842,0.0038236021934516676,0.9656226013278421,0.005944247850908548,6.6613690126,0.055702087094120965,0.5637320623999983,0.020975956445603662,0.5236264331000029,0.027390193576508143,0.0003053707000049144,6.429348586695916e-05,0.08369598349999592,0.0023674712345366053,0.6076336959000059,0.02826811246652005,0.0189083710000034,0.001018368186255079,7.8327288623000015,0.0932767391482364,13.660619899999972,0.11735493741109335,9.167162324900005,0.10930340894224244,80.90248765945435,0.2274719326362861,-1.35,5.1422886798344445,0.0007571581999968657,5.0564216255949216e-05,0.012823753999998643,0.00022481543399590517,0.3610691542999973,0.025251533537810088,0.09083214989999533,0.002975152090845103,0.04820256670000163,0.000939017890043606,0.009552929199992377,0.001397631630859657,0.000315424900003336,7.986048025902115e-05,165.0,0.0,16.5,1.7795130420052185,45.9,2.4244128727957572,0.0,0.0,0.9999996006023311,4.367292627663808e-08,0.4980341747225013,0.0020561686391987414
6,CountSketch random projection,10,130461.0,359.63314641450893,773727.6,2017.5769405678684,0.030949103999999998,8.0703077622714e-05,78.2766,0.21577988784870508,112.6,2.796823595120402,78.13268194099201,0.0,0.027694498899779957,0.0,0.0,0.0,0.11756,0.011426596654783575,0.7379967329815817,0.023626944057866913,0.6954294577538926,0.02323215244115259,6.357832791500004,0.31635190785520184,0.533642525200014,0.01895657427795855,0.46874532070000896,0.03212629480925429,0.0003805042000180947,8.906802314599563e-05,0.13681938729999957,0.009283954106286118,0.605951525100022,0.03619694202659408,0.018409441699986928,0.0008617589384842338,7.4974205289000455,0.343206154974478,13.477064900000006,0.22383267732959816,8.74574406260001,0.3705016851182345,75.30510807037354,0.19948772485226557,-1.628125,3.957573340555641,0.0007606749000046876,4.769423570853109e-05,0.012237966900011088,0.0007664528623369493,0.31025353750000023,0.027681586953524594,0.09312155840000287,0.003766106953394045,0.0426116332000106,0.002057144364496238,0.009210445799988065,0.0013313196008736033,0.0004552830999955404,0.00013839852930936332,166.0,0.0,16.2,1.0327955589886444,45.9,3.034981237357343,0.0,0.0,0.999999590815016,3.771580897391584e-08,0.45414667944719955,0.0019894826379067507
8,CountSketch random projection,10,119734.9,337.20401012509143,712263.6,1850.7401042105678,0.028490544,7.402960416842191e-05,71.84094,0.20232240607505356,105.4,3.272783388968955,71.92324608,0.0,0.015559414403889183,0.0,0.0,0.0,0.6837799999999999,0.04015076587065311,0.06625047113219934,0.016097274017393137,0.09031520476739288,0.01607000610490188,5.838481691700008,0.036674641657655355,0.49835996240000213,0.02000554028114967,0.4281567252999935,0.012594434147670768,0.0003335874999834232,8.967542293775391e-05,0.6965365917000327,0.055577502110141,1.1250328167000134,0.05611947823888446,0.01913293340001019,0.0019062099085367062,7.4618685586000195,0.07436738383245853,18.2972071,0.5525703363159623,8.59720850839999,0.08630918926160404,69.36158695220948,0.18432755556115205,-10.509375,31.02809517232385,0.0007692582000345283,0.00010768175983172898,0.010889487599979476,0.00040197176709673665,0.27394151249999366,0.003171254686642093,0.09322253310000406,0.008048675721377631,0.03910690809998414,0.001878096612611292,0.009718874999998661,0.0015972501035309598,0.0004254125999977987,5.7288890696715545e-05,168.0,0.0,16.5,2.0682789409984763,44.9,2.84604989415154,0.0,0.0,0.9999994574734252,8.035125972647438e-08,0.4302300291108513,0.00029189839872868594
10,CountSketch random projection,10,115120.9,212.62928093541288,685843.6,1272.0090146431103,0.027433744,5.0880360585724014e-05,69.07254,0.12757756856124755,102.4,2.9514591494904874,69.05092608000001,0.0,0.009946046832415702,0.0,0.0,0.0,0.85982,0.006387105064981385,0.004831181635681392,0.0015190582333499158,0.01290306870474312,0.0027438016421759957,5.651655858300001,0.027091948615090507,0.4713527792999798,0.015741592026097283,0.4307500208999954,0.02123803436382467,0.0003228540000236535,5.4929083577215714e-05,0.8328052210999886,0.04135951802708541,1.2638840166999898,0.039522160811810134,0.020156304299985096,0.0018264584892345216,7.386886733599988,0.0444732162987138,19.243672200000002,0.6949566796388505,8.475607195900022,0.05371504403579246,66.8494951248169,0.12275321718520657,0.9703125,2.122098809737645,0.0007434794999994665,4.8439633274841686e-05,0.010234929199987164,0.00043421196994256815,0.27716740830001074,0.01791990241121339,0.09335412090001682,0.0020954074924825193,0.03896037080000951,0.003882975565635656,0.009747520799999165,0.0015971185307613067,0.0004611706000105187,8.07784394935813e-05,170.0,0.0,16.7,1.766981104093143,46.0,2.1081851067789197,0.0,0.0,0.9999994343075647,5.697113993754868e-08,0.4308234880874836,0.00028026297218577994
12,CountSketch random projection,10,112281.7,282.4661434972712,669435.2,1692.956966047545,0.026777408000000003,6.77182786419015e-05,67.36902,0.16947968609836486,99.5,3.064129385141706,67.49161525248,0.0,0.0068986897019259795,0.0,0.0,0.0,0.88896,0.0023716848207316387,0.001693822737873545,0.00025785578195849175,0.008651464755975715,0.0004991245866554535,5.637197691500001,0.0683842559097684,0.4642792667999743,0.014241517860369538,0.44293987099998733,0.03779790790922955,0.0004125958999907198,0.00018769803723023667,0.9605767748000063,0.08275668502079257,1.403935925000019,0.09692681378509473,0.019067491699991022,0.0011613174764535036,7.505406199999959,0.10976018689257343,20.065995500000053,0.7521085712425075,8.582045954300009,0.12789436559044248,65.32559213638305,0.1609112935677808,-6.316015625,22.468152558706578,0.0007753123999805211,8.142069504625651e-05,0.010621191699999599,0.0015994277238008535,0.2807150957999852,0.02872334930132392,0.09753716250000935,0.005689220636835834,0.041941854100014095,0.0064299800989337155,0.010709366599985514,0.0014497959885876996,0.0005468417000088266,0.00010660246649738108,172.0,0.0,15.8,1.8135294011647263,44.3,0.9486832980505137,0.0,0.0,0.9999994401973457,6.223292001412491e-08,0.43174311055888814,0.00035664446998762215
