method,Non-random,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),CountSketch,SIGN Bidirectional
Non-random,1,0.97722794378,0.89653630027,0.914872902268,0.977101415411,0.628893503257
Random Projection,0.97722794378,1,0.889399191308,0.913292328954,0.963471148662,0.631032758312
Random Sampling (p=0.7),0.89653630027,0.889399191308,1,0.869479990915,0.892352442254,0.610540542852
Random Sampling (p=0.8),0.914872902268,0.913292328954,0.869479990915,1,0.913552848438,0.630558611182
CountSketch,0.977101415411,0.963471148662,0.892352442254,0.913552848438,1,0.63217320084
SIGN Bidirectional,0.628893503257,0.631032758312,0.610540542852,0.630558611182,0.63217320084,1
