dataset,sign_draw_omega_sec_median,sign_draw_omega_sec_mean,sign_subspace_iter_sec_median,sign_subspace_iter_sec_mean,sign_build_core_sec_median,sign_build_core_sec_mean,sign_small_eig_sec_median,sign_small_eig_sec_mean,sign_lift_sec_median,sign_lift_sec_mean,time_sec_median,time_sec_mean
DBLP,0.023071083494869526,0.023056978999375134,0.5673576874978608,0.5784021583982394,0.06068924999999581,0.05958557499834569,7.081250078044832e-05,8.434985065832734e-05,0.002226687502115965,0.002790893649216741,0.6610926244975417,0.6649395791500865
Internet,0.13619333300448488,0.13341102710037375,3.418804832996102,3.4479730456987454,0.38512087499839254,0.3835378188974573,7.052100409055129e-05,7.337084898608736e-05,0.015012062998721376,0.016364499999326654,3.963133666504291,3.985912856199866
Youtube,0.10876974999700906,0.1089835270489857,2.6995487500025774,2.6926957748495624,0.20714243700058432,0.21310584169987123,7.708300836384296e-05,8.690215327078477e-05,0.015907250002783258,0.017955112399795324,3.0188053125020815,3.036913881252258
