dataset,n_nodes,n_edges,target_rank,random_projection_median_sec,countsketch_median_sec,sign_median_sec,random_sampling_median_sec,random_sampling_excl_sampling_median_sec,non_random_median_sec,partial_eigen_median_sec,sign_vs_random_projection,sign_vs_non_random,sign_vs_partial_eigen,random_sampling_display
DBLP,317080,1049866,3,0.6176806460000019,0.6354108334999999,1.253230437000001,3.118911624999995,0.39091481199999834,0.398284603999997,0.398284603999997,2.028929423506653,3.1465701270240674,3.1465701270240674,3.119(0.391)
Youtube,1134890,2987624,7,5.517443042000025,5.498427937500011,10.264540645499984,11.660224978999992,1.8188958130000117,1.446429395999985,1.446429395999985,1.8603799925733675,7.0964684995243905,7.0964684995243905,11.660(1.819)
Internet,1696415,11095298,4,4.172358291499961,4.120752124999967,9.44690700000001,12.229347728999983,1.6838375625000026,1.8216146249999383,1.8216146249999383,2.2641648535423,5.186007441063627,5.186007441063627,12.229(1.684)
