n,rep,seed,K,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
1000,1,120260507,3,3,4.0,4968,30198,0.030198,0.07527704099999255,0.012110290999999052,0,0.0,14.904,30.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.000144,1.6e-05,sparse,Non-random,non_random,0.019,0.9438989108092121,0.9064108230581046,0.006282957999985683,0.013525958999991872,0.00010208300000158488,0.04183266699999422,0.05546849999996084,1.0000000000000002,0.6887313488749418,0.14284804099997928,0.5958180000002358,0.06286554199999728,1.047760009765625,639.95703125,640.00390625,0.046875,,,,,,,,,,,,,,,,,,,,,,,
1000,1,120260507,3,3,4.0,4968,30198,0.030198,0.07527704099999255,0.012110290999999052,0,0.0,14.904,30.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.000144,1.6e-05,sparse,Gaussian random projection,gaussian_random_projection,0.019,0.9438989108092121,0.9064108230581045,0.0067563750000090295,0.09804979199998343,0.00022979099998110541,0.0453092920000131,0.14359650000000101,0.9999992260229927,0.6883736719479078,0.23097620699996924,1.5357600000002094,0.15136699999999337,5.734156608581543,640.00390625,640.03125,0.02734375,0.001823124999987158,0.01433654100003423,0.05792358299999023,0.003135416000020541,0.02061191700005338,0.00016037500000720684,,,,,,,,,,,,,,,,,
1000,1,120260507,3,3,4.0,4968,30198,0.030198,0.07527704099999255,0.012110290999999052,0,0.0,14.904,30.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.000144,1.6e-05,sparse,Random sampling,random_sampling,0.052,0.8500258710106823,0.7828753818760359,0.006058583000026374,0.026450207999971553,9.045799998830262e-05,0.05071587500003716,0.07726162500000555,1.0612408746260724,0.7848549825305414,0.16464387299998862,0.8634830000000875,0.08422966699998824,1.4137563705444336,640.03125,640.09765625,0.06640625,,,,,,,0.0017985839999710151,0.024628250000034768,15599.0,10885.0,0.7,21075.0,,,,,,,,,,,
1000,1,120260507,3,3,4.0,4968,30198,0.030198,0.07527704099999255,0.012110290999999052,0,0.0,14.904,30.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.000144,1.6e-05,sparse,CountSketch random projection,countsketch_random_projection,0.017,0.9497386082986314,0.9147569532216503,0.006050334000008206,0.07944824999998445,0.00011283300000286545,0.03721216700000696,0.11677762499999744,0.9999991501878246,0.6884320560387124,0.20416058199998588,1.2798009999996793,0.12378504199995177,4.508676528930664,640.09765625,640.18359375,0.0859375,,,,,,,,,,,,,0.0005396250000444525,163.0,2.0,15.0,0.0,0.0005352090000201315,0.012504458000023533,0.04496900000003734,0.0026631250000264117,0.01810424999996485,9.000000000014552e-05
1000,2,120260508,3,3,4.0,4967,30186,0.030186,0.0736592920000021,0.011959790999981124,0,0.0,14.901,28.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.000144,1.6e-05,sparse,Non-random,non_random,0.016,0.9525114045223751,0.9182996215353963,0.0060247079999840025,0.016683000000000447,8.391599999413302e-05,0.041739000000006854,0.05851145799999813,1.0000000000000002,0.6930865556100215,0.14412499899998465,0.6440050000001065,0.06547750000004271,1.0473480224609375,640.18359375,640.18359375,0.0,,,,,,,,,,,,,,,,,,,,,,,
1000,2,120260508,3,3,4.0,4967,30186,0.030186,0.0736592920000021,0.011959790999981124,0,0.0,14.901,28.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.000144,1.6e-05,sparse,Gaussian random projection,gaussian_random_projection,0.017,0.9495632915702318,0.9143830693711054,0.006005832999960603,0.08027266699997426,0.00011416699999244884,0.04069883299996491,0.12108983299998499,0.9999992367496022,0.692819099069369,0.20670474999991484,1.3461950000000797,0.12796195799995758,5.7340192794799805,640.18359375,640.18359375,0.0,0.0018407910000064476,0.013991000000032727,0.04397733299998663,0.0026252920000047197,0.017691916999979185,0.00011324999996986662,,,,,,,,,,,,,,,,,
1000,2,120260508,3,3,4.0,4967,30186,0.030186,0.0736592920000021,0.011959790999981124,0,0.0,14.901,28.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.000144,1.6e-05,sparse,Random sampling,random_sampling,0.062,0.8220312820482895,0.7534337119724595,0.006060291999972378,0.02496629199998779,8.133300002555188e-05,0.04543762500003368,0.07048979199998939,1.0680268595965863,0.7955282182436882,0.15610433300003024,0.7992530000001352,0.07743670799999336,1.4185724258422852,640.18359375,640.21875,0.03515625,,,,,,,0.0017613750000009532,0.02318437499997117,15593.0,10961.0,0.7,21218.0,,,,,,,,,,,
1000,2,120260508,3,3,4.0,4967,30186,0.030186,0.0736592920000021,0.011959790999981124,0,0.0,14.901,28.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.000144,1.6e-05,sparse,CountSketch random projection,countsketch_random_projection,0.015,0.9554289174694511,0.922738969615184,0.00618316700001742,0.0794813750000003,0.00013229099999989558,0.03856212499999856,0.11818070900000066,0.999999396509648,0.6927444758557397,0.20379487399998197,1.2259109999999964,0.12528716699995357,4.507974624633789,640.21875,640.21875,0.0,,,,,,,,,,,,,0.0005193750000103137,163.0,1.0,12.0,0.0,0.0005172500000298896,0.012394083000003775,0.04469887499999459,0.002674249999984113,0.018520916999989367,0.00011254200001076242
1000,3,120260509,3,3,4.0,5001,30384,0.030384,0.07643254199996363,0.016018499999972846,0,0.0,15.003,28.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.000144,1.6e-05,sparse,Non-random,non_random,0.015,0.9554609506642902,0.9212426980776469,0.006019790999971519,0.016134042000032878,8.183299996744609e-05,0.04118329199997106,0.057405584000036924,1.0000000000000007,0.6882610500914537,0.14985020899990786,0.6408879999999044,0.06435320899998942,1.0541458129882812,640.265625,640.3125,0.046875,,,,,,,,,,,,,,,,,,,,,,,
1000,3,120260509,3,3,4.0,5001,30384,0.030384,0.07643254199996363,0.016018499999972846,0,0.0,15.003,28.0,5007.765888,5.007765888,15.023297664,0.11044488977955912,0.000144,1.6e-05,sparse,Gaussian random projection,gaussian_random_projection,0.016,0.9524899350082872,0.9167858608160878,0.00634604100002889,0.08457091700000774,0.0001188339999771415,0.04256404099999145,0.12725875000000997,0.9999992069794225,0.68793880483466,0.2197048339999128,1.4157350000000406,0.13450070899995126,5.736285209655762,640.3125,640.3125,0.0,0.0018725420000009763,0.018460000000004584,0.04363970800000061,0.003176333999988401,0.017264291000003595,0.00011799999998629573,,,,,,,,,,,,,,,,,
