method,pairwise_ari_mean,pairwise_ari_std,num_pairs
Gaussian RP,0.5133593590191499,0.022002404081316106,45
Random sampling,0.3425608562300484,0.017994616309649707,45
Degree-stratified RP,0.52124336086291,0.021584482257509367,45
