dataset,rep,method,n,m_edges,k,r,ell,q,sampling_p,rs_eigensolver,clustering_wall_sec,residual_rel_fro,eigenvalue_rel_l2_vs_general,subspace_distance_vs_general,rayleigh_abs_sum_ratio,ARI_true,NMI_true,F1_macro_true,dense_convert_sec,dense_general_eigh_sec,eigen_decomposition_wall_sec,total_method_wall_sec,ARI_vs_general_clustering,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,rs_sampling_probability,rs_sample_matrix_sec,rs_sampled_edges,rs_sampled_density,rs_dense_convert_sec,rs_dense_general_eigh_sec,rs_eigen_decomposition_wall_sec,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
email-eu-core,0,General eigensolver,986,16064,42,20,62,1,0.7,general,2.1679388000047766,9.891443880625276e-16,0.0,0.0,1.0000000000000002,0.42686168231037713,0.6738493398229473,0.4257734808880862,0.0014661000022897497,0.0999450999952387,0.10141119999752846,2.269350000002305,1.0,,,,,,,,,,,,,,,,,,,,,,,,
email-eu-core,1,Gaussian RP,986,16064,42,20,62,1,0.7,general,0.15547389999846928,0.15631019199682883,0.5362100215662281,0.4728097538125222,0.9180774453325917,0.3941472698134514,0.6494515019260932,0.3707423566161386,,,0.006827799996244721,0.162301699994714,0.5532406369518511,0.0005117999971844256,0.0019616999925347045,0.0026639999996405095,0.0008897000079741701,0.000716800001100637,8.379999781027436e-05,,,,,,,,,,,,,,,,,,
email-eu-core,1,Random sampling,986,16064,42,20,62,1,0.7,general,0.1669943000015337,0.2813562484676117,0.9441263080708482,0.5843234933244087,0.8614219903831998,0.3610695984902484,0.6052085563718557,0.3297901984740435,,,0.40002639999147505,0.5670206999930087,0.42437899920255584,,,,,,,0.7,0.0014479999954346567,11163.0,0.022964505099794693,0.0020315000001573935,0.396546899995883,0.3985783999960404,,,,,,,,,,,
email-eu-core,1,Degree-stratified RP,986,16064,42,20,62,1,0.7,general,0.15971550000540446,0.16782404283085708,0.6094181090589876,0.5198325242369418,0.9001952732682832,0.41999618416451057,0.674395179988743,0.39575473706412306,,,0.009416799977771007,0.16913229998317547,0.5417735201154502,,,,,,,,,,,,,,0.0003572999994503334,0.0016469999973196536,0.003320300005725585,0.002477499991073273,0.0008949999901233241,0.000643899998976849,7.579999510198832e-05,9.0,2.0,13.0,"[1,2):n=95,ell=2;[2,4):n=70,ell=3;[4,8):n=101,ell=4;[8,16):n=127,ell=5;[16,32):n=235,ell=10;[32,64):n=219,ell=13;[64,128):n=105,ell=12;[128,256):n=33,ell=10;[256,512):n=1,ell=3"
email-eu-core,2,Gaussian RP,986,16064,42,20,62,1,0.7,general,0.15781289999722503,0.15883951431983712,0.555337390996716,0.4868372548703817,0.9142834626120043,0.3638276314965345,0.6413056569588454,0.3651332431948199,,,0.007238799982587807,0.16505169997981284,0.5467219371503698,0.0005625999910989776,0.002345700006117113,0.0027193999994779006,0.0008480999968014657,0.0006781999982194975,8.47999908728525e-05,,,,,,,,,,,,,,,,,,
email-eu-core,2,Random sampling,986,16064,42,20,62,1,0.7,general,0.1570992000051774,0.28234414187996515,1.0326206715421211,0.5793620421321615,0.8619666204434326,0.33162948070032994,0.6110477058903302,0.3671431661870522,,,0.12901149998651817,0.2861106999916956,0.4355967129541679,,,,,,,0.7,0.0010301999864168465,11214.0,0.023069422215273465,0.0019934000010835007,0.12598789999901783,0.12798130000010133,,,,,,,,,,,
email-eu-core,2,Degree-stratified RP,986,16064,42,20,62,1,0.7,general,0.15550599999551196,0.16023848779261435,0.6211697073704431,0.4964480689817261,0.9106207877751421,0.3786461685087187,0.6394925956822877,0.3878783337110877,,,0.010038799999165349,0.1655447999946773,0.5550915754423964,,,,,,,,,,,,,,0.00027889999910257757,0.0018822999991243705,0.004047599999466911,0.0025784000026760623,0.000573799989069812,0.0005899000097997487,8.789999992586672e-05,9.0,2.0,13.0,"[1,2):n=95,ell=2;[2,4):n=70,ell=3;[4,8):n=101,ell=4;[8,16):n=127,ell=5;[16,32):n=235,ell=10;[32,64):n=219,ell=13;[64,128):n=105,ell=12;[128,256):n=33,ell=10;[256,512):n=1,ell=3"
email-eu-core,3,Gaussian RP,986,16064,42,20,62,1,0.7,general,0.15215880000323523,0.15485633048420624,0.5352502512764238,0.48449042795250574,0.9177254901305211,0.3856964860522038,0.6534698743037635,0.3760247865583004,,,0.0067629999975906685,0.1589218000008259,0.5924798883271988,0.0005537999968510121,0.0019241999980295077,0.002758899994660169,0.0008302000060211867,0.0006119000026956201,8.399999933317304e-05,,,,,,,,,,,,,,,,,,
email-eu-core,3,Random sampling,986,16064,42,20,62,1,0.7,general,0.1570345000072848,0.2766252453506307,0.9397143834373197,0.5671797729853025,0.8695584470917406,0.3129906145817617,0.6145766608231037,0.3575143222487781,,,0.12351660001149867,0.2805511000187835,0.4162886734008923,,,,,,,0.7,0.0014069000026211143,11329.0,0.023306000024686382,0.002135000002454035,0.11997470000642352,0.12210970000887755,,,,,,,,,,,
email-eu-core,3,Degree-stratified RP,986,16064,42,20,62,1,0.7,general,0.1564189000055194,0.16481107571020367,0.5444189711917733,0.4997551935988663,0.9073610185266553,0.39590143320781557,0.6501332088796372,0.3684711008788454,,,0.00991480000084266,0.16633370000636205,0.5698761456064606,,,,,,,,,,,,,,0.0002652000111993402,0.0018731000018306077,0.003925199998775497,0.0023469000007025898,0.0008039999956963584,0.000609799986705184,9.06000059330836e-05,9.0,2.0,13.0,"[1,2):n=95,ell=2;[2,4):n=70,ell=3;[4,8):n=101,ell=4;[8,16):n=127,ell=5;[16,32):n=235,ell=10;[32,64):n=219,ell=13;[64,128):n=105,ell=12;[128,256):n=33,ell=10;[256,512):n=1,ell=3"
email-eu-core,4,Gaussian RP,986,16064,42,20,62,1,0.7,general,0.1621817999985069,0.15755002158892464,0.5315780664522897,0.4840963242888699,0.9147476246708929,0.40821420949148607,0.6545249938736327,0.37876232737393645,,,0.006569000019226223,0.16875080001773313,0.5970534208356599,0.0005036000075051561,0.0019262999994680285,0.0026191000069957227,0.0008151999936671928,0.0006234000029508024,8.140000863932073e-05,,,,,,,,,,,,,,,,,,
email-eu-core,4,Random sampling,986,16064,42,20,62,1,0.7,general,0.17097269999794662,0.2790910243793722,0.7135150923507442,0.5734996338489912,0.8651154182920409,0.3301341502676196,0.6101179320963729,0.3450653330948807,,,0.1200098999979673,0.2909825999959139,0.41976799681209365,,,,,,,0.7,0.0014109000039752573,11281.0,0.02320725450423577,0.0021616000012727454,0.11643739999271929,0.11859899999399204,,,,,,,,,,,
email-eu-core,4,Degree-stratified RP,986,16064,42,20,62,1,0.7,general,0.15680989999964368,0.16301689390907578,0.6601909805005118,0.4965953047290102,0.9090368472629085,0.39965088715926755,0.6616570246787511,0.4041805195748089,,,0.010215500020422041,0.16702540002006572,0.6151500002076025,,,,,,,,,,,,,,0.00026980000257026404,0.0018844000005628914,0.004004700007499196,0.0024776000063866377,0.0008284000068670139,0.0006601999921258539,9.040000441018492e-05,9.0,2.0,13.0,"[1,2):n=95,ell=2;[2,4):n=70,ell=3;[4,8):n=101,ell=4;[8,16):n=127,ell=5;[16,32):n=235,ell=10;[32,64):n=219,ell=13;[64,128):n=105,ell=12;[128,256):n=33,ell=10;[256,512):n=1,ell=3"
email-eu-core,5,Gaussian RP,986,16064,42,20,62,1,0.7,general,0.15652449999470264,0.15740794548629145,0.6390054890504264,0.49592310919326293,0.9129084915626361,0.39519897941003007,0.65450412620094,0.38974201165506955,,,0.006240999995497987,0.16276549999020062,0.5429134891141424,0.0005134999955771491,0.0018999000021722168,0.002514599997084588,0.0005254999996395782,0.0006896999984746799,9.780000254977494e-05,,,,,,,,,,,,,,,,,,
email-eu-core,5,Random sampling,986,16064,42,20,62,1,0.7,general,0.16368049998709466,0.27778483929161896,0.8929477041712902,0.5891188960916337,0.8628982167834721,0.3346141799737103,0.6240873252526044,0.3506787100463733,,,0.13532739999936894,0.2990078999864636,0.4068339036446236,,,,,,,0.7,0.0011201000015717,11316.0,0.02327925644623101,0.0022456000006059185,0.13196169999719132,0.13420729999779724,,,,,,,,,,,
email-eu-core,5,Degree-stratified RP,986,16064,42,20,62,1,0.7,general,0.15518100000917912,0.16532979749801657,0.40095327319236707,0.5052699521440659,0.9050554635867021,0.3923977422419239,0.6497718379882819,0.3793949497609179,,,0.009206400005496107,0.16438740001467522,0.5980962812131754,,,,,,,,,,,,,,0.00025150000874418765,0.0014974999940022826,0.0034025999921141192,0.0025034999998752028,0.0008067000017035753,0.0006549000099767,8.969999908003956e-05,9.0,2.0,13.0,"[1,2):n=95,ell=2;[2,4):n=70,ell=3;[4,8):n=101,ell=4;[8,16):n=127,ell=5;[16,32):n=235,ell=10;[32,64):n=219,ell=13;[64,128):n=105,ell=12;[128,256):n=33,ell=10;[256,512):n=1,ell=3"
email-eu-core,6,Gaussian RP,986,16064,42,20,62,1,0.7,general,0.14973940000345465,0.155259230504303,0.531554239182328,0.4777166326343523,0.9175826907124607,0.3818420876461636,0.6558588288413449,0.37420438286840224,,,0.0065162999962922186,0.15625569999974687,0.546783007349102,0.0005038999952375889,0.001917800007504411,0.002478900001733564,0.0008211999956984073,0.0007023999933153391,9.210000280290842e-05,,,,,,,,,,,,,,,,,,
