model,n,rep,method,error_P,error_Theta,error_B,time_sec
4,200,1,Random Projection,6.55932287733902,0.855947535052013,0.507334598518578,0.018778125
4,200,1,Random Sampling,7.51820978477073,0.960877431026685,0.48936580387582,0.0130200833333333
4,200,1,Non-random,6.66097633309561,0.705563093622795,0.501872583357236,0.00883125
4,200,1,CountSketch,6.52692035055162,0.751017639077341,0.510904087912465,0.003790875
4,200,1,SIGN Bidirectional,6.07289654263321,1.02035278154681,0.515080162095406,0.00377333333333333
4,200,2,Random Projection,5.71224472028219,0.569651741293532,0.46386585745778,0.001485625
4,200,2,Random Sampling,6.72365918372385,0.795341474445952,0.443079780896159,0.00357966666666667
4,200,2,Non-random,6.24347379730457,0.555178652193578,0.457905470808713,0.001803375
4,200,2,CountSketch,5.88897316642661,0.539800995024876,0.462277979713503,0.00132066666666667
4,200,2,SIGN Bidirectional,6.01151083433074,0.659430122116689,0.45728465527915,0.00183645833333333
4,200,3,Random Projection,5.18946503835924,0.914744459520579,0.477999519639608,0.001385125
4,200,3,Random Sampling,6.50719048224843,0.882858435097241,0.477573467437076,0.00273041666666667
4,200,3,Non-random,5.64327568785003,0.794663048394392,0.480008738977768,0.00175895833333333
4,200,3,CountSketch,5.24317588330749,0.764133876074174,0.484347324017765,0.001102125
4,200,3,SIGN Bidirectional,5.07830310890867,0.973993668023519,0.484328897132789,0.00140545833333333
4,200,4,Random Projection,5.84655800297269,0.883763003165988,0.399948706499121,0.00152245833333333
4,200,4,Random Sampling,8.02917725566446,1.70940750791497,0.409695510233501,0.00219058333333333
4,200,4,Non-random,6.48176161093174,0.825644504748982,0.406126031884502,0.00192483333333333
4,200,4,CountSketch,6.41980827426698,1.03550429669833,0.408357712998014,0.00160408333333333
4,200,4,SIGN Bidirectional,6.1548213852774,1.16915422885572,0.397365223270476,0.00170758333333333
4,200,5,Random Projection,5.43217884406116,1.36589778380823,0.47131438414007,0.00135720833333333
4,200,5,Random Sampling,7.71719961939545,1.50158299412031,0.482767998189966,0.002561875
4,200,5,Non-random,6.26478185099827,1.44210764360018,0.516864299640754,0.00155245833333333
4,200,5,CountSketch,5.49065274677246,1.3835368611488,0.487923175562849,0.001397125
4,200,5,SIGN Bidirectional,5.40424383500571,1.32180009045681,0.521677091762859,0.00182958333333333
4,200,6,Random Projection,5.1742317486845,0.209859791949344,0.514044790303924,0.000943333333333333
4,200,6,Random Sampling,5.45681770153256,0.360470375395749,0.523481691892222,0.00154795833333333
4,200,6,Non-random,5.40828000763069,0.209859791949344,0.512049660221235,0.00121291666666667
4,200,6,CountSketch,5.11768503879733,0.209859791949344,0.514068826313141,0.000871708333333333
4,200,6,SIGN Bidirectional,5.13445131198868,0.210085933966531,0.513807160089307,0.000972416666666667
4,200,7,Random Projection,6.34300086686245,1.24513794663048,0.515577347888543,0.00130641666666667
4,200,7,Random Sampling,7.26594576498582,1.5307553143374,0.528558297307095,0.002497
4,200,7,Non-random,6.48384006879492,1.33423790140208,0.50432492628306,0.00166608333333333
4,200,7,CountSketch,6.17852555373472,1.35165083672546,0.521025042775968,0.00132016666666667
4,200,7,SIGN Bidirectional,6.29594535649734,1.30687471732248,0.518091768605954,0.00179179166666667
4,200,8,Random Projection,4.71342652003264,0.404341926729986,0.519882721770338,0.00089675
4,200,8,Random Sampling,5.20353605468203,0.55427408412483,0.509801278831138,0.001657
4,200,8,Non-random,5.38191454764367,0.359791949344188,0.523907123884329,0.00115708333333333
4,200,8,CountSketch,4.89208804012428,0.404568068747173,0.521363324391027,0.000954541666666667
4,200,8,SIGN Bidirectional,4.82501652054059,0.390999547715966,0.52537656811979,0.00105829166666667
4,200,9,Random Projection,5.82017573654359,0.616010854816825,0.516447680142057,0.00117791666666667
4,200,9,Random Sampling,6.30431571155172,0.83989145183175,0.535647293831706,0.001914375
4,200,9,Non-random,5.96947802730472,0.571008593396653,0.523222052662487,0.001482
4,200,9,CountSketch,5.77854741419668,0.630257801899593,0.52815118056587,0.00142370833333333
4,200,9,SIGN Bidirectional,5.69930642165611,0.63048394391678,0.522047510330823,0.00141633333333333
4,200,10,Random Projection,5.71752976437607,0.690637720488467,0.454106591375411,0.001196
4,200,10,Random Sampling,6.42200066346696,0.990049751243781,0.461538890129843,0.001893625
4,200,10,Non-random,5.90669544181322,0.674807779285391,0.444488690982624,0.00128766666666667
4,200,10,CountSketch,5.69104619945676,0.659882406151063,0.446775023641041,0.00109891666666667
4,200,10,SIGN Bidirectional,5.55222993407143,0.779737675260063,0.455284360333705,0.00154095833333333
4,200,11,Random Projection,5.58595163089815,1.0513342379014,0.392140410961312,0.00143575
4,200,11,Random Sampling,6.17103566282364,1.20149253731343,0.378302653215009,0.002400625
4,200,11,Non-random,5.8259013175265,0.930348258706468,0.371913174824791,0.002198125
4,200,11,CountSketch,5.44802343366106,0.975576662143826,0.377936509782635,0.001617625
4,200,11,SIGN Bidirectional,5.34522504304788,1.06535504296698,0.387154819514669,0.00183241666666667
4,200,12,Random Projection,5.82272998652566,1.06693803708729,0.441937295485929,0.00142629166666667
4,200,12,Random Sampling,8.30509259225558,1.17254635911352,0.43353885515381,0.00174245833333333
