K,rep,seed,n,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eigensolver,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_hash_seed,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_core_eigensolver,cs_lift_sec
2,1,20460507,5000,3,16.0,159614,936800,0.037472,2.5905108998995274,0.4930432001128793,0,0.0,95.7684,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0426169999409467,eigsh,0.0180911999195814,9.66000370681286e-05,0.8595539999660105,0.877751599997282,1.0000000000000002,0.7820498586511729,3.9612958999350663,0.8125,0.9363508000969888,32.203402519226074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,20460507,5000,3,16.0,159614,936800,0.037472,2.5905108998995274,0.4930432001128793,0,0.0,95.7684,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.0344189000315964,,0.5302192000672221,0.0001725000329315,0.0378348999656736,0.5682341998908669,0.9999996752608282,0.7820299301207739,3.651780700078234,1.15625,0.6215687000658363,35.86293125152588,,,,0.0073917999397963,0.4252578997984528,0.0425303999800235,0.0499205000232905,0.0032507001888006,eigsh,0.000730900093913,,,,,,,,,,,,,,,,,,,,,
2,1,20460507,5000,3,16.0,159614,936800,0.037472,2.5905108998995274,0.4930432001128793,0,0.0,95.7684,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0339203001931309,,0.0447402999270707,8.979998528957367e-05,0.0394892999902367,0.0843262998387217,1.050363839833892,0.8498454933955852,3.167873499915004,0.78125,0.1404316001571715,41.305057525634766,,,,,,,,,,,0.031542700016871,eigsh,0.0126900000032037,470900.0,329453.0,0.7,655457.0,,,,,,,,,,,,,,
2,1,20460507,5000,3,16.0,159614,936800,0.037472,2.5905108998995274,0.4930432001128793,0,0.0,95.7684,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.0363799999468028,,0.4906079000793397,0.0001779000740498,0.0407036999240517,0.5314962000120431,0.9999996830317196,0.7820326285698679,3.615043600089848,1.390625,0.5911083000246435,36.1122636795044,,,,,,,,,,,,,,,,,,0.0004038999322801,2295358039.0,162.0,18.0,46.0,0.0,0.0228598001413047,0.0228598001413047,0.3713914998807013,0.0419963002204895,0.0492405002005398,0.0029245000332593,eigsh,0.0004602000117301
2,2,20460508,5000,3,16.0,158185,928528,0.03714112,2.7952974000945687,0.4481482999399304,0,0.0,94.911,136.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0369039999786764,eigsh,0.0173879000358283,9.729992598295212e-05,0.0392036999110132,0.0566962999291718,1.0,0.7832360419896309,3.300134599907324,0.515625,0.1116359999869018,31.919230461120605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,20460508,5000,3,16.0,158185,928528,0.03714112,2.7952974000945687,0.4481482999399304,0,0.0,94.911,136.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.0378630999475717,,0.5581207000650465,0.0002395999617874,0.0469806999899446,0.6053488000761718,0.9999996380672502,0.7832210655288814,3.848786700051278,1.296875,0.6665565001312643,35.768309593200684,,,,0.0079632000997662,0.4421154998708516,0.0496119000017643,0.0518299001269042,0.0043272001203149,eigsh,0.0007040998898446,,,,,,,,,,,,,,,,,,,,,
2,2,20460508,5000,3,16.0,158185,928528,0.03714112,2.7952974000945687,0.4481482999399304,0,0.0,94.911,136.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0340148999821394,,0.0521084000356495,0.0001286000479012,0.0406905999407172,0.0929366000927984,1.058130566503376,0.8562240156081751,3.336373300058767,0.9375,0.1450162997934967,40.93736457824707,,,,,,,,,,,0.0378666000906378,eigsh,0.0133686000481247,466764.0,326539.0,0.7,649517.0,,,,,,,,,,,,,,
2,2,20460508,5000,3,16.0,158185,928528,0.03714112,2.7952974000945687,0.4481482999399304,0,0.0,94.911,136.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.0349699000362306,,0.5146705999504775,0.0004173999186605,0.0421257999259978,0.5572278001345694,0.9999997163002672,0.7832168988137994,3.800659499829635,1.546875,0.6151259001344442,35.97525882720947,,,,,,,,,,,,,,,,,,0.0004283001180738,2807627918.0,162.0,17.0,49.0,0.0,0.0260387000162154,0.0260387000162154,0.3894561000633985,0.0409224999602884,0.0515353998634964,0.0044428000692278,eigsh,0.0007672999054193
2,3,20460509,5000,3,16.0,159817,937708,0.03750832,2.629249500110745,0.4502193999942392,0,0.0,95.8902,133.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0342259998433291,eigsh,0.0179927002172917,8.210004307329655e-05,0.0424438000191003,0.0605262001045048,1.0000000000000002,0.7818156431584288,3.13998750038445,0.859375,0.1124867000617086,32.23440074920654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,20460509,5000,3,16.0,159817,937708,0.03750832,2.629249500110745,0.4502193999942392,0,0.0,95.8902,133.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.0366823999211192,,0.5322183999232948,0.0002472000196576,0.0404900000430643,0.5729660000652075,0.9999997314985608,0.7817976261453147,3.6524245000910014,1.3125,0.6314489999786019,35.87311840057373,,,,0.0078262998722493,0.4309448997955769,0.0375868999399244,0.0502525998745113,0.0042256000451743,eigsh,0.0005520000122487,,,,,,,,,,,,,,,,,,,,,
