K,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std,cs_draw_hash_sec_mean,cs_draw_hash_sec_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_reconstruct_sec_mean,cs_reconstruct_sec_std,cs_small_eig_sec_mean,cs_small_eig_sec_std,cs_lift_sec_mean,cs_lift_sec_std,cs_kmeans_sec_mean,cs_kmeans_sec_std,sign_draw_omega_sec_mean,sign_draw_omega_sec_std,sign_subspace_iter_sec_mean,sign_subspace_iter_sec_std,sign_reconstruct_sec_mean,sign_reconstruct_sec_std,sign_build_core_sec_mean,sign_build_core_sec_std,sign_small_eig_sec_mean,sign_small_eig_sec_std,sign_lift_sec_mean,sign_lift_sec_std,sign_kmeans_sec_mean,sign_kmeans_sec_std
2,CountSketch,0.02708784580000696,0.0013666395075383204,0.014982297799994626,0.00037060186156045197,0.2142954792000026,0.01403669489612986,,,,,,,,,,,,,,,,,0.02708784580000696,0.0013666395075383204,0.029640481499997408,0.0013890843437507148,0.0,0.0,0.2563656228000042,0.014814683118101813,,,,,,,,,,,,,,,,,,,8.83500500037826e-05,2.4516545699538705e-05,0.0025895084000012504,0.0002647708968898751,0.0025895084000012504,0.0002647708968898751,0.002609449999989977,0.00017602688742368288,0.0015028832500064483,0.00019853332881304974,0.0008895874000018012,0.00011073568217588157,0.001001135549991261,0.00016897241536288412,0.00018581460000319794,6.184647955335848e-05,2.2129300003825846e-05,8.403510546347487e-06,0.018162114549994612,0.0011703825632171745,,,,,,,,,,,,,,
2,Non-random,0.47685720630000505,0.0593140770872478,0.014982297799994626,0.00037060186156045197,0.227313775049997,0.011799603292333403,,,,,,,,,,,,,,,,,0.47685720630000505,0.0593140770872478,0.4768527292500139,0.05931386471029562,4.477049991180593e-06,8.514355213686229e-07,0.7191532791499966,0.061066513602922194,,,,,,,,,,,,,0.45774852500000235,0.059054743156507175,0.01865032295000617,0.0008779353632173051,0.000453881300005321,0.000126632379302279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Random Projection,0.026665472850000073,0.0038952000694821628,0.014982297799994626,0.00037060186156045197,0.21766123759999373,0.03244094571776004,0.00017178139999600716,7.4120296673556705e-06,0.0032916083999936065,0.00042784855804022117,0.0015892082499973982,0.00018041909576161968,0.000886612400005049,0.00020020283375533793,0.0010450812499868789,0.00019536095607290005,0.00021854999999817437,6.80667735943364e-05,2.258960000034449e-05,7.511746096290713e-06,0.019429377050006736,0.0037107169036644963,0.026665472850000073,0.0038952000694821628,0.026654808349984193,0.0038945072697504864,1.066450001587782e-05,2.588617029907646e-06,0.2593090082499884,0.03280673161280095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Random Sampling,0.06251433114999969,0.004088982123113413,0.014982297799994626,0.00037060186156045197,0.23677253550000046,0.018293327113368,,,,,,,,,,,,,,,,,0.06251433114999969,0.004088982123113413,0.06250332719998682,0.004088256872221766,1.1003950012877794e-05,2.7975685528993076e-06,0.31426916444999475,0.01958963621292214,0.005260808399992811,0.0001110221550081167,0.00923776034999264,0.00010671727796238523,0.02094564364999769,0.0032223677143225276,0.0009015251000008106,0.0002243161063061732,0.003036804250004366,0.00018623791964310707,0.023120785449998495,0.0013603221641749538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIGN Bidirectional,0.03351455200000686,0.0017692784716841583,0.014982297799994626,0.00037060186156045197,0.21480371454998845,0.014154032860239652,,,,,,,,,,,,,,,,,0.03351455200000686,0.0017692784716841583,0.03350414604998804,0.0017688056735449755,1.0405950018821385e-05,1.5618025601704006e-06,0.26330056434998994,0.01472341361967582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001865185999989194,2.685482653566191e-05,0.008512977149995039,0.0006374880930283959,0.004801191699999663,0.0003262900749291578,0.0009305293000082315,0.00016083119178804576,0.00017443125000227155,5.171099319323923e-05,2.1631349994777338e-05,6.78763103437553e-06,0.018876866699989135,0.0013429645542544447
3,CountSketch,0.03285303119999696,0.0017285383813141991,0.01494709159999843,0.00026854678509147456,0.20232350014998984,0.020121526186141683,,,,,,,,,,,,,,,,,0.03285303119999696,0.0017285383813141991,0.035357787649996905,0.0018148328713322114,0.0,0.0,0.25012362294998525,0.02081201967466054,,,,,,,,,,,,,,,,,,,8.682295000710383e-05,2.506289766285395e-05,0.0025433416999987913,0.0002104282056925332,0.0025433416999987913,0.0002104282056925332,0.002726749999999356,0.0002056474135837773,0.001664391650001562,0.00019738985669960507,0.0009215291499998557,0.00011308789537426559,0.001004050100007703,0.0001700588654642508,0.0002158250499917358,6.95620278660179e-05,2.655619999245573e-05,8.890646534277077e-06,0.023625179149999554,0.0016058211804590387,,,,,,,,,,,,,,
3,Non-random,0.4661181644999971,0.015065004488290575,0.01494709159999843,0.00026854678509147456,0.22442448325000158,0.015281452552990123,,,,,,,,,,,,,,,,,0.4661181644999971,0.015065004488290575,0.46611385820000634,0.015064783500370842,4.306299990730622e-06,8.091415978595275e-07,0.705489739349997,0.019431891834281113,,,,,,,,,,,,,0.4419723311999945,0.014974362297798409,0.023674358250008253,0.00242221408275969,0.00046716875000356594,0.00013591476760447664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Random Projection,0.030540587500001947,0.004568119773121091,0.01494709159999843,0.00026854678509147456,0.19607540825000172,0.021306715689822328,0.00018788340000526206,1.1604068919156775e-05,0.003456887599992342,0.00022063738309109076,0.0017523977999928774,0.0002148131492696671,0.0008539626000072075,0.00012513086223188234,0.0009637937499945793,0.00015211998222749908,0.0002527937500019561,9.43916418619608e-05,2.589375000070504e-05,8.51506854925808e-06,0.023037935349998408,0.004572671596792881,0.030540587500001947,0.004568119773121091,0.030531547999993337,0.004567643161576314,9.039500008611867e-06,2.105677337545847e-06,0.2415630873500021,0.02216085360927324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Random Sampling,0.07370590209999364,0.004693389519010739,0.01494709159999843,0.00026854678509147456,0.22802500424999722,0.019231879222079605,,,,,,,,,,,,,,,,,0.07370590209999364,0.004693389519010739,0.07369692254997347,0.00469311116822563,8.979550020171701e-06,1.6080914291923106e-06,0.3166779979499893,0.023825939731974954,0.0051629729499950375,0.0001246284691225563,0.009219672750003838,8.237342222078726e-05,0.027065179049998278,0.003056237782844945,0.0008472436999937827,0.00018875545398740998,0.0029661916499861716,0.00017301091305795105,0.028435662449996357,0.002123263086379883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SIGN Bidirectional,0.03985043545000053,0.0021866733478191724,0.01494709159999843,0.00026854678509147456,0.19557667919999916,0.02193331368268343,,,,,,,,,,,,,,,,,0.03985043545000053,0.0021866733478191724,0.039840749649997065,0.0021868868064106825,9.685800003467194e-06,1.306777740844483e-06,0.2503742062499981,0.022957469894649037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019320214998970188,2.463622893901033e-05,0.009505249949995687,0.0006825319107798893,0.004809399850006457,0.00018541466277086972,0.0008729914999975108,9.369685006727652e-05,0.00019768534999968778,7.809591568420998e-05,2.3437550001403907e-05,5.860543327594693e-06,0.024238783300006617,0.0023701206482503296
