rho_n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
0.25,Non-random,10,1556.7,44.58462614947994,12365.4,319.21716745814285,0.000494616,1.2768686698325699e-05,0.93402,0.026750775689687922,6.1,1.1005049346146119,0.9433449110400002,0.0,0.11097779555911183,0.0,0.39428,0.01070501440136039,0.6537,0.005960797858601724,0.00036186560273946224,0.0005366570936686584,0.0007674318830988692,0.00047866198909514684,0.023512208199991846,0.0007702880706581592,0.005853975300004777,9.680701293760834e-05,0.4849468793000028,0.13313969080292998,0.00012503320000405437,1.1955807288388017e-05,0.0870642873999941,0.007216911527250432,0.5721424416000047,0.12889833859411248,0.01729652910000823,0.00028293829861660355,0.6015023833999976,0.1281877888798265,5.991904799999929,1.2897510687500573,0.5904314874999841,0.128850016704121,1.886167335510254,0.0036531505675294015,0.01015625,0.026824180795454355,,,,,,,,,,,,,,,0.9999999999999998,2.0448072544149235e-15,0.9966811539206422,0.0005438841965266876
0.25,Gaussian random projection,10,1556.7,44.58462614947994,12365.4,319.21716745814285,0.000494616,1.2768686698325699e-05,0.93402,0.026750775689687922,6.1,1.1005049346146119,0.9433449110400002,0.0,0.11097779555911183,0.0,0.39428,0.01070501440136039,0.6545799999999999,0.0045611402083250855,0.00042614682951452415,0.0004887056230936229,0.0009447230804225673,0.0006490466444369027,0.023512208199991846,0.0007702880706581592,0.005853975300004777,9.680701293760834e-05,0.15232430400000113,0.0019065376244221243,0.00034166670000104207,7.331613254347342e-05,0.2583018875999983,0.02100740665456863,0.4109735955999952,0.02100495213841871,0.017474741699999186,0.0004462244029005983,0.4403340417999971,0.02104295876588569,4.331517499999881,0.3503077551485083,0.4294375083000091,0.021137869552658884,25.44279842376709,0.0036531505675294353,0.00234375,0.007855782879686643,0.009413637599999447,0.0005421847794913591,,,,,,,,,,,,,0.9953023186585742,0.0005828382531062413,0.9946702136477243,0.0005536205597420582
0.25,Random sampling,10,1556.7,44.58462614947994,12365.4,319.21716745814285,0.000494616,1.2768686698325699e-05,0.93402,0.026750775689687922,6.1,1.1005049346146119,0.9433449110400002,0.0,0.11097779555911183,0.0,0.39428,0.01070501440136039,0.6514800000000001,0.008577075388628834,0.0006464015700938053,0.0010537424858828041,0.0011967926866581337,0.0010545846992259112,0.023512208199991846,0.0007702880706581592,0.005853975300004777,9.680701293760834e-05,0.18076375840001332,0.04409913132850174,0.0001637499999958436,3.866428748289189e-05,0.059620562500003874,0.009307045440149719,0.24055379150000816,0.042030655808297096,0.01745233329999678,0.0008286586612330193,0.26991425440000966,0.04247937746440391,2.6699292999998763,0.42956960272269284,0.25895670009999777,0.04222669078211665,2.0059839248657227,0.00660697813627289,0.003125,0.005764568651348608,,,0.0013713081999981113,3.1245009015352934e-05,0.17936993349999283,0.044083038866458445,,,,,,,,,1.4285714285714284,2.0079730420989924e-15,1.3674756518610982,0.017701148417061607
0.25,CountSketch random projection,10,1556.7,44.58462614947994,12365.4,319.21716745814285,0.000494616,1.2768686698325699e-05,0.93402,0.026750775689687922,6.1,1.1005049346146119,0.9433449110400002,0.0,0.11097779555911183,0.0,0.39428,0.01070501440136039,0.65152,0.006295818718271121,0.00038500697105653013,0.00042538694889486127,0.0009375054343497147,0.000591548826929964,0.023512208199991846,0.0007702880706581592,0.005853975300004777,9.680701293760834e-05,0.14822494980000442,0.001826348143981196,0.0003184372000021085,7.317557605134007e-05,0.2642822125999942,0.04419213691903869,0.4128307876000122,0.04450366817749946,0.017273645900002067,0.00018198221082533456,0.44219178309999735,0.04456521965513668,4.433604899999954,0.4294512727881142,0.43109184589999927,0.04463777943706283,19.3034236907959,0.0036531505675294353,0.628515625,1.9642395991737462,,,,,,,0.008848408200015001,0.0023626844035301445,0.11522637070000315,0.0008711701565224707,0.0055505582000023425,0.0003299074755976526,163.0,0.0,0.9955964618008556,0.0005324013335803675,0.9948666868867833,0.00044992797206934145
0.5,Non-random,10,3141.8,40.19894968224366,23081.6,263.0209962045697,0.000923264,1.0520839848182784e-05,1.8850799999999999,0.024119369809346203,8.5,0.5270462766947298,1.8866898220800004,0.0,0.11097779555911183,0.0,0.15211999999999998,0.005100936733145748,0.65288,0.012904503951032835,0.0008619652872580068,0.0021561914769620966,0.0014766848063711012,0.002055860699979714,0.04694882919999941,0.0014694849218664405,0.009235312499993143,0.0010858252835110726,0.20588334590000273,0.053309295208993066,0.00012863740000170764,1.934109805925431e-05,0.09460975419999614,0.035777541524026284,0.3006282581999926,0.05979777839968859,0.017184917000003,0.0003290171458216111,0.3568058791999931,0.060668707454998555,3.2614927999999055,0.6183846203548036,0.31885718749999226,0.05972019824267799,2.008804512023926,0.0030100364250705966,0.0,0.0,,,,,,,,,,,,,,,0.9999999999999997,9.923238288701875e-16,0.9760296296821718,0.010909232934371715
0.5,Gaussian random projection,10,3141.8,40.19894968224366,23081.6,263.0209962045697,0.000923264,1.0520839848182784e-05,1.8850799999999999,0.024119369809346203,8.5,0.5270462766947298,1.8866898220800004,0.0,0.11097779555911183,0.0,0.15211999999999998,0.005100936733145748,0.6516,0.00430193754797378,0.0005771256572461038,0.0004237248736957888,0.0008887037306914769,0.0003613827460534859,0.04694882919999941,0.0014694849218664405,0.009235312499993143,0.0010858252835110726,0.1569935624999914,0.009355199078159935,0.0002919497000050342,5.708287332806891e-05,0.2646662544000037,0.047272491139791546,0.42195697929998915,0.044288024964724254,0.017559625199993434,0.0003516609843974366,0.4781359082999927,0.04341455812828089,4.503511800000024,0.5015781665839767,0.44054476670000325,0.04410532260609922,25.56543560028076,0.003010036425070709,0.621875,1.966541419917211,0.017323425099993982,0.004682733107790119,,,,,,,,,,,,,0.9866211611843564,0.0012580395007805733,0.9835627975434658,0.0016216896016621866
0.5,Random sampling,10,3141.8,40.19894968224366,23081.6,263.0209962045697,0.000923264,1.0520839848182784e-05,1.8850799999999999,0.024119369809346203,8.5,0.5270462766947298,1.8866898220800004,0.0,0.11097779555911183,0.0,0.15211999999999998,0.005100936733145748,0.6584,0.006939740629158979,0.0003413218063075795,0.00115041363414064,0.0008264813725603149,0.0009979893025343959,0.04694882919999941,0.0014694849218664405,0.009235312499993143,0.0010858252835110726,0.16430314589999853,0.02933268596006554,0.00012796649999700094,1.8755501254342255e-05,0.06682448719999456,0.015279807373179157,0.23126024159999475,0.03294493146242601,0.01711656250000715,0.00015696394668883419,0.2874397412999826,0.03308893317187078,2.491474799999969,0.3497246496866598,0.24941449990002412,0.032928497428909034,2.213837242126465,0.005012213322105507,0.002734375,0.0052245840228486665,,,0.0018449041000053513,8.78342794740349e-05,0.16243564169999444,0.02932490895870399,,,,,,,,,1.3970747629328355,0.05139703507346432,1.3070108359275157,0.017633838645888623
0.5,CountSketch random projection,10,3141.8,40.19894968224366,23081.6,263.0209962045697,0.000923264,1.0520839848182784e-05,1.8850799999999999,0.024119369809346203,8.5,0.5270462766947298,1.8866898220800004,0.0,0.11097779555911183,0.0,0.15211999999999998,0.005100936733145748,0.6465799999999999,0.01210709617446636,0.0012469805707311422,0.0013593104885312498,0.0015066308449354863,0.001237350656973309,0.04694882919999941,0.0014694849218664405,0.009235312499993143,0.0010858252835110726,0.1529176039999811,0.005062341140093259,0.00028741269999272846,5.0417867810379474e-05,0.24059041689998822,0.03726600610799319,0.3938006916999939,0.03609454573360838,0.01800166219998687,0.0012679181196355897,0.4499795752999546,0.03679149649058392,4.233825599999728,0.3664128104636432,0.412821970799979,0.03655399339980317,19.42606086730957,0.003010036425070709,0.0,0.0,,,,,,,0.013521570899996505,0.0022792340498618965,0.11704643319999378,0.004554984218633102,0.005883333400021229,0.00029075588807803913,163.0,0.0,0.9868400960083609,0.0016611262172024769,0.9837438839363701,0.0016309212662651918
1.0,Non-random,10,6319.8,63.2855960441761,42763.1,387.1994748619033,0.0017105240000000002,1.5487978994476045e-05,3.79188,0.037971357626505726,13.7,1.8885620632287055,3.7733796441600007,0.0,0.11097779555911183,0.0,0.023219999999999998,0.0023160310878742553,0.62992,0.04284195244020619,0.012426336976031606,0.020446055281096602,0.015061728420973045,0.022178235317560357,0.09715964189999796,0.0045842248144302026,0.01560452499999201,0.001300652264854873,0.13771042910000234,0.06548278506281151,0.00011976649999496658,8.385253835327263e-06,0.13438255419999906,0.04301976815664034,0.27221950409998497,0.09519190670888969,0.017957766599988646,0.001590433570451055,0.3849769166999863,0.09469179623594577,2.9741710999999666,0.9673255336197346,0.2913446498999974,0.09493809915511889,2.2340414047241213,0.004431146334021386,0.0,0.0,,,,,,,,,,,,,,,0.9999999999999997,8.014480866997859e-16,0.868817615138112,0.019395837352367364
1.0,Gaussian random projection,10,6319.8,63.2855960441761,42763.1,387.1994748619033,0.0017105240000000002,1.5487978994476045e-05,3.79188,0.037971357626505726,13.7,1.8885620632287055,3.7733796441600007,0.0,0.11097779555911183,0.0,0.023219999999999998,0.0023160310878742553,0.63266,0.01485756073893395,0.005382907893945624,0.0054743800114502115,0.005514344815780224,0.00498197858983159,0.09715964189999796,0.0045842248144302026,0.01560452499999201,0.001300652264854873,0.15842662910001765,0.004148305246467113,0.00030119170002080865,6.631767708724964e-05,0.20930712899997844,0.03380252125460359,0.36804055809999453,0.03721421523863314,0.017811670599985518,0.0009678249051480677,0.48079911670000686,0.03731628035322041,3.977561799999967,0.38445742531118854,0.3870753207999996,0.03717410690435119,25.790672492980956,0.004431146334021558,0.0,0.0,0.02586519159999625,0.0034775372560543775,,,,,,,,,,,,,0.9962970249887793,0.0005523880217656986,0.8520698994839467,0.0201734937698768
1.0,Random sampling,10,6319.8,63.2855960441761,42763.1,387.1994748619033,0.0017105240000000002,1.5487978994476045e-05,3.79188,0.037971357626505726,13.7,1.8885620632287055,3.7733796441600007,0.0,0.11097779555911183,0.0,0.023219999999999998,0.0023160310878742553,0.6597,0.0037169282419163775,0.00013571285064571626,0.0002730403568978251,0.0017649910973122512,0.0011333937086756539,0.09715964189999796,0.0045842248144302026,0.01560452499999201,0.001300652264854873,0.15734224569999924,0.038457940622596186,0.00012570840001444595,2.4468797849985186e-05,0.09737019599999712,0.02471537369693046,0.2548429998000074,0.0414357820094902,0.017349100099988846,0.0009744532252715811,0.3676023170000008,0.04206517483620796,2.8177235000001017,0.4362905816582866,0.2733415544000309,0.04098550598174135,2.5970109939575194,0.007293124156137937,0.0,0.0,,,0.002515649800011488,1.6203101813984243e-05,0.15480407909998348,0.038453062614294396,,,,,,,,,1.159494664619839,0.056641507357909626,1.099528851273313,0.024961812093022215
1.0,CountSketch random projection,10,6319.8,63.2855960441761,42763.1,387.1994748619033,0.0017105240000000002,1.5487978994476045e-05,3.79188,0.037971357626505726,13.7,1.8885620632287055,3.7733796441600007,0.0,0.11097779555911183,0.0,0.023219999999999998,0.0023160310878742553,0.6273799999999999,0.02154384676266826,0.007848494354233146,0.006951005474418687,0.008429381259384458,0.0071716375521740355,0.09715964189999796,0.0045842248144302026,0.01560452499999201,0.001300652264854873,0.15474606680000988,0.003601093930818557,0.00026430010001377013,5.2527562857906503e-05,0.2181790417000002,0.042153032239005475,0.3731946123999933,0.04200752023298927,0.01742377490003264,0.00034429530661445116,0.48595357550001383,0.04126486976078898,4.031478799999877,0.4315124157978066,0.3917613458000119,0.04194046523876298,19.651297760009765,0.004431146334021558,0.0,0.0,,,,,,,0.02234820410001248,0.0023389364740981473,0.11297458740000366,0.004016242906603404,0.006839625099996738,0.00043384780105337387,163.0,0.0,0.9957916381919485,0.00030143706294313843,0.8515693527108974,0.02118670254853065
2.0,Non-random,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736964e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.546759288320001,0.0,0.11097779555911183,0.0,0.00066,0.0004812021982031624,0.10329999999999999,0.006830161865659634,0.7141167618968602,0.017405293925635137,0.633135322278377,0.01831082334542311,0.1941900040000064,0.00982593060190517,0.02896214139998392,0.003249361382965907,0.07556817500000079,0.0011122124939842357,0.00012417100000448045,6.7672476836087436e-06,0.085858733200007,0.007841503493477666,0.1615577541999869,0.00816300857110788,0.01735192090002329,0.00028452414692054347,0.3847032246000026,0.018327378263516936,1.7654287999997904,0.05412131363625634,0.18037533329999178,0.008290907761028015,2.8069385528564452,0.021415675149310257,0.0,0.0,,,,,,,,,,,,,,,0.9999999999999998,5.114529156149129e-16,0.740575071114743,0.0027927398686002822
2.0,Gaussian random projection,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736964e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.546759288320001,0.0,0.11097779555911183,0.0,0.00066,0.0004812021982031624,0.14842,0.011502830569521188,0.6045995596300836,0.02666890464481625,0.5252794232434896,0.025288822695241926,0.1941900040000064,0.00982593060190517,0.02896214139998392,0.003249361382965907,0.17535069159998784,0.0018928926763030574,0.00028899569999794037,6.773443369338058e-05,0.08939887910001972,0.003121051766517765,0.2650443751000239,0.0036713456714025645,0.017567458099983925,0.0008905471158490747,0.48819071179999585,0.01397941451389411,2.884885299999951,0.04211139012991648,0.28415570010002966,0.004318445793062875,26.223096656799317,0.007138558383103376,0.001171875,0.0037057941330098194,0.043924437399994076,0.002443874879292661,,,,,,,,,,,,,0.9997492641749695,2.563162719193413e-05,0.7253911412284377,0.004510017363045063
2.0,Random sampling,10,12618.6,104.53197278026165,80548.9,623.7767495934199,0.003221956,2.4951069983736964e-05,7.571160000000001,0.06271918366815699,19.3,1.3374935098492584,7.546759288320001,0.0,0.11097779555911183,0.0,0.00066,0.0004812021982031624,0.36576,0.11050561775563973,0.24853039744026995,0.1361224055758781,0.22635199245345242,0.10729719828476189,0.1941900040000064,0.00982593060190517,0.02896214139998392,0.003249361382965907,0.1897010749999822,0.022605310816590306,0.000133562600001369,3.185528258950997e-05,0.1444873667000138,0.01686023064694253,0.33432700000003024,0.020245793230963097,0.018183424900018962,0.0012674896127151628,0.5574741496999878,0.028209773566839347,3.5684774999999718,0.2178843939202707,0.353993850300003,0.020083942290835082,3.7120147705078126,0.02827724801659978,0.0,0.0,,,0.004091787599986674,0.0004137915559982695,0.18558197090000023,0.02256811642344015,,,,,,,,,1.0769317634619515,0.0037340302004976386,0.8750695771416709,0.0036519571984725413
