rho_n,rep,seed,n,K,m,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eigensolver,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_hash_seed,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_core_eigensolver,cs_lift_sec
2.0,1,220260507,5000,3,3,12385,79147,0.00316588,0.1828685998916626,0.0235590999945998,1,0.0002,7.431,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Non-random,non_random,0.1018,0.7178532670602344,0.6366806377320954,0.0340245000552386,eigsh,0.0134879001416265,9.569991379976273e-05,0.0667693000286817,0.0803604000248014,1.000000000000001,0.7438616954635352,0.2867805999703705,1.03125,0.1165351998060941,2.768369674682617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1,220260507,5000,3,3,12385,79147,0.00316588,0.1828685998916626,0.0235590999945998,1,0.0002,7.431,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Gaussian random projection,gaussian_random_projection,0.1376,0.6299550169818419,0.5498006253030229,0.0391968002077192,,0.1157039999961853,0.0002780000213533,0.0974141999613493,0.2134066000580787,0.9997230795454972,0.7327277984863029,0.4198238998651504,1.40625,0.2546326001174748,26.2052640914917,,,,0.0079308999702334,0.0494039000477641,0.0438027000054717,0.0094265998341143,0.0037531000562012,eigsh,0.0006533002015203,,,,,,,,,,,,,,,,,,,,,
2.0,1,220260507,5000,3,3,12385,79147,0.00316588,0.1828685998916626,0.0235590999945998,1,0.0002,7.431,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Random sampling,random_sampling,0.2976,0.3163054037783102,0.2715438790735514,0.0571135999634861,,0.0356602000538259,0.0001197000965476,0.2002652999944985,0.2360530002042651,1.0829248318237377,0.8823320869689033,0.4424729000311345,1.546875,0.2952792998403311,3.660078048706055,,,,,,,,,,,0.0030856998637318,eigsh,0.0325525999069213,42073.0,29614.0,0.7,55659.0,,,,,,,,,,,,,,
2.0,1,220260507,5000,3,3,12385,79147,0.00316588,0.1828685998916626,0.0235590999945998,1,0.0002,7.431,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,CountSketch random projection,countsketch_random_projection,0.1462,0.6095293122606676,0.5299040674511971,0.038898600032553,,0.1317294999025762,0.0003444999456405,0.198668599827215,0.3307519999798387,0.9997784139377264,0.7296511963658323,0.5371702995616943,1.28125,0.3719152000267058,20.927998542785645,,,,,,,,,,,,,,,,,,0.0004034999292343,3189182342.0,163.0,16.0,43.0,0.0,0.0054049000609666,0.0054049000609666,0.0628937999717891,0.0428673999849706,0.0134022999554872,0.0051156999543309,eigsh,0.0009137999732047
2.0,2,220260508,5000,3,3,12686,80926,0.00323704,0.3026501999702304,0.0582613002043217,4,0.0008,7.6116,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Non-random,non_random,0.098,0.7274887701318632,0.6465547321063757,0.0352115998975932,eigsh,0.0134036999661475,0.0001238000113517,0.1113198001403361,0.1248564999550581,1.0,0.7406933508054796,0.4857588002923876,0.875,0.1620283999945968,2.819125175476074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2,220260508,5000,3,3,12686,80926,0.00323704,0.3026501999702304,0.0582613002043217,4,0.0008,7.6116,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Gaussian random projection,gaussian_random_projection,0.1342,0.6377626737691671,0.5567966788641787,0.041181500069797,,0.1802999000065028,0.000281199812889,0.1856275999452918,0.3662191000767052,0.9997508163828588,0.7267588481135333,0.727120199939236,1.15625,0.4096998001914471,26.225821495056152,,,,0.0083385000471025,0.0830923998728394,0.0691554001532495,0.0140611000824719,0.004240000154823,eigsh,0.0006860999856144,,,,,,,,,,,,,,,,,,,,,
2.0,2,220260508,5000,3,3,12686,80926,0.00323704,0.3026501999702304,0.0582613002043217,4,0.0008,7.6116,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Random sampling,random_sampling,0.2564,0.3799886859833307,0.3235222189733584,0.0343313000630587,,0.0304402001202106,0.0001213999930769,0.1529059000313282,0.1834756999742239,1.0737559049885264,0.8710901955442918,0.544379000319168,1.125,0.220164299942553,3.723897933959961,,,,,,,,,,,0.0033098000567406,eigsh,0.0271036000922322,42961.0,29982.0,0.7,56524.0,,,,,,,,,,,,,,
2.0,2,220260508,5000,3,3,12686,80926,0.00323704,0.3026501999702304,0.0582613002043217,4,0.0008,7.6116,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,CountSketch random projection,countsketch_random_projection,0.1386,0.6273231440409257,0.5465376011628233,0.0346876999828964,,0.1857348000630736,0.0003798999823629,0.1491233000997454,0.3352502000052482,0.999739530920032,0.7284729391662296,0.6961495003197342,1.46875,0.3718846999108791,20.96632480621338,,,,,,,,,,,,,,,,,,0.0004519000649452,1848652628.0,163.0,17.0,45.0,0.0,0.0063122999854385,0.0063122999854385,0.0728448999579995,0.0907477000728249,0.0103989001363515,0.0036567000206559,eigsh,0.000680899946019
2.0,3,220260509,5000,3,3,12797,81615,0.0032646,0.3096516001969576,0.0307314998935908,7,0.0014,7.6782,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Non-random,non_random,0.1102,0.6966203361752926,0.6148148414197822,0.046102900058031,eigsh,0.0103269999381154,0.0001143000554293,0.0737602999433875,0.0842093999963253,1.0000000000000009,0.7378033580706385,0.4245847000274807,0.921875,0.1319987999740988,2.842780113220215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,3,220260509,5000,3,3,12797,81615,0.0032646,0.3096516001969576,0.0307314998935908,7,0.0014,7.6782,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Gaussian random projection,gaussian_random_projection,0.169,0.5571499269956821,0.4802701935407065,0.0539041999727487,,0.2266334001906216,0.000250699929893,0.2193161000031978,0.4462091000750661,0.9997822243340176,0.7201694738846081,0.7865833002142608,1.6875,0.5022330000065267,26.2337064743042,,,,0.0077691001351922,0.0824575000442564,0.0947236998472362,0.0370276998728513,0.0032307999208569,eigsh,0.0006502000615,,,,,,,,,,,,,,,,,,,,,
2.0,3,220260509,5000,3,3,12797,81615,0.0032646,0.3096516001969576,0.0307314998935908,7,0.0014,7.6782,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Random sampling,random_sampling,0.5644,0.021140733669017,0.0353785984540941,0.0342707999516278,,0.0294747001025825,0.0001381998881697,0.3350339999888092,0.364655600162223,1.0753572062711307,0.876411443392287,0.70503000007011,2.234375,0.400886399904266,3.762871742248535,,,,,,,,,,,0.004203800112009,eigsh,0.0252431000117212,43304.0,30374.0,0.7,57242.0,,,,,,,,,,,,,,
2.0,3,220260509,5000,3,3,12797,81615,0.0032646,0.3096516001969576,0.0307314998935908,7,0.0014,7.6782,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,CountSketch random projection,countsketch_random_projection,0.1512,0.597672212146197,0.5183350364476359,0.0374071998521685,,0.1214777000714093,0.0003345001023262,0.0774734001606702,0.1992956998292356,0.9997719627356714,0.7240669613298613,0.5396687004249543,1.1875,0.2388310998212546,20.98191547393799,,,,,,,,,,,,,,,,,,0.0003853999078273,4158739.0,163.0,19.0,49.0,0.0,0.0048046000301837,0.0048046000301837,0.0546967000700533,0.0452938999515026,0.0119976999703794,0.0031859998125582,eigsh,0.0005133999511599
2.0,4,220260510,5000,3,3,12666,80835,0.0032334,0.1978165998589247,0.0227779999841004,1,0.0002,7.5996,21.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Non-random,non_random,0.1082,0.7016401885346546,0.6198785939877373,0.0401739999651908,eigsh,0.0109923998825252,0.0001336000859737,0.0760757001116871,0.0872108999174088,0.9999999999999996,0.739148498232313,0.3077962999232113,0.984375,0.1291871999856084,2.816000938415528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,4,220260510,5000,3,3,12666,80835,0.0032334,0.1978165998589247,0.0227779999841004,1,0.0002,7.5996,21.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Gaussian random projection,gaussian_random_projection,0.153,0.5937998843437502,0.5149790494744895,0.0364011002238839,,0.1803093999624252,0.0003062000032514,0.2287576000671833,0.4093826001044363,0.9996979409856956,0.7230182444291615,0.6299677998758852,1.3125,0.4477439001202583,26.224432945251465,,,,0.0074794001411646,0.0872513998765498,0.0509512999560684,0.0280357999727129,0.0047379999887198,eigsh,0.0010583999101072,,,,,,,,,,,,,,,,,,,,,
2.0,4,220260510,5000,3,3,12666,80835,0.0032334,0.1978165998589247,0.0227779999841004,1,0.0002,7.5996,21.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Random sampling,random_sampling,0.4672,0.13906187352868,0.1392720178252199,0.057570100063458,,0.0372507001738995,0.0001829001121222,0.2887442999053746,0.3261868001427501,1.0798417825200857,0.8791927775101376,0.5467725000344217,1.484375,0.4012206001207232,3.734945297241211,,,,,,,,,,,0.0041259999852627,eigsh,0.0330962999723851,42917.0,30182.0,0.7,56882.0,,,,,,,,,,,,,,
2.0,4,220260510,5000,3,3,12666,80835,0.0032334,0.1978165998589247,0.0227779999841004,1,0.0002,7.5996,21.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,CountSketch random projection,countsketch_random_projection,0.146,0.60991688402216,0.5300365781595174,0.0340289999730885,,0.1302925001364201,0.0002629999071359,0.0714791000355035,0.202046199934557,0.9997395384457006,0.7270626521596055,0.4226291999220848,1.203125,0.2384283000137657,20.96370410919189,,,,,,,,,,,,,,,,,,0.0004618999082595,1433331240.0,163.0,17.0,48.0,0.0,0.0044907999690622,0.0044907999690622,0.0678405999206006,0.0422714999876916,0.0110831998754292,0.0031397999264299,eigsh,0.0004555999767035
2.0,5,220260511,5000,3,3,12571,80272,0.00321088,0.1977811998222023,0.0219729000236839,2,0.0004,7.5426,22.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Non-random,non_random,0.1042,0.7117116739099262,0.6303170930567413,0.037442100001499,eigsh,0.0108615001663565,0.0001121000386774,0.0669523000251501,0.0779338001739233,0.9999999999999992,0.7410274530589468,0.2976800000760704,1.25,0.1169332999270409,2.796671867370605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,5,220260511,5000,3,3,12571,80272,0.00321088,0.1977811998222023,0.0219729000236839,2,0.0004,7.5426,22.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Gaussian random projection,gaussian_random_projection,0.1454,0.6112053952649584,0.5309238308981933,0.0358825998846441,,0.1470658998005092,0.0003611000720411,0.1537532000802457,0.3011899997945875,0.9997429227538844,0.7263532296410805,0.5209342997986823,1.421875,0.338897000066936,26.218138694763184,,,,0.0072660001460462,0.0738637000322341,0.0420385999605059,0.0166714999359101,0.0051831000018864,eigsh,0.0009271001908928,,,,,,,,,,,,,,,,,,,,,
2.0,5,220260511,5000,3,3,12571,80272,0.00321088,0.1977811998222023,0.0219729000236839,2,0.0004,7.5426,22.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Random sampling,random_sampling,0.4168,0.2035786434157294,0.2078222684418486,0.0354832999873906,,0.0255434999708086,0.0001262000296264,0.2263653001282364,0.2520433999598026,1.0725641708090694,0.8725693612156534,0.4717890999745577,1.359375,0.2906458000652492,3.689715385437012,,,,,,,,,,,0.0029694000259041,eigsh,0.0225488999858498,42635.0,29689.0,0.7,55900.0,,,,,,,,,,,,,,
2.0,5,220260511,5000,3,3,12571,80272,0.00321088,0.1977811998222023,0.0219729000236839,2,0.0004,7.5426,22.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,CountSketch random projection,countsketch_random_projection,0.1576,0.5828692838600384,0.5043264562701671,0.0342244999483227,,0.1844607000239193,0.0003203998785465,0.0750829000025987,0.259872900089249,0.9997697206728304,0.7250903359010191,0.4796180997509509,1.0,0.2959177999291569,20.95032501220703,,,,,,,,,,,,,,,,,,0.000442299991846,2731340753.0,163.0,18.0,44.0,0.0,0.0040678000077605,0.0040678000077605,0.1144908000715076,0.0469901000615209,0.0131886000744998,0.003986099967733,eigsh,0.0006639000494033
2.0,6,220260512,5000,3,3,12611,80517,0.00322068,0.2035534000024199,0.0259654999244958,3,0.0006,7.5666,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Non-random,non_random,0.1016,0.7182534646235871,0.6379052707907849,0.0348372999578714,eigsh,0.0104755000211298,7.819989696145058e-05,0.0730199001263827,0.083580199861899,1.0000000000000009,0.7420538998747699,0.3130924999713897,0.78125,0.119952900102362,2.8050832748413086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,6,220260512,5000,3,3,12611,80517,0.00322068,0.2035534000024199,0.0259654999244958,3,0.0006,7.5666,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Gaussian random projection,gaussian_random_projection,0.1624,0.5724677873157767,0.4953452928379855,0.0359533999580889,,0.1695075000170618,0.0003124000504612,0.2136733001098036,0.3835024000145495,0.9997694487053974,0.7227095149072942,0.6130121001042426,1.703125,0.4216141998767853,26.220942497253414,,,,0.0081907999701797,0.0804005998652428,0.0547988999169319,0.0194214000366628,0.005056400084868,eigsh,0.0007768000941723,,,,,,,,,,,,,,,,,,,,,
2.0,6,220260512,5000,3,3,12611,80517,0.00322068,0.2035534000024199,0.0259654999244958,3,0.0006,7.5666,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Random sampling,random_sampling,0.2234,0.4420484759278485,0.3766600866882922,0.0390411999542266,,0.0399035001173615,0.0001495000906288,0.2040504000615328,0.244116999907419,1.0829838173518995,0.8731459501174178,0.473622300196439,1.25,0.2864516000263393,3.725323677062988,,,,,,,,,,,0.0034957998432219,eigsh,0.0363595001399517,42757.0,30141.0,0.7,56780.0,,,,,,,,,,,,,,
2.0,6,220260512,5000,3,3,12611,80517,0.00322068,0.2035534000024199,0.0259654999244958,3,0.0006,7.5666,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,CountSketch random projection,countsketch_random_projection,0.1332,0.6403563264517875,0.5594802074164398,0.0342841001693159,,0.2199562999885529,0.0003442999441176,0.0809939000755548,0.3013065000995993,0.9997844109307428,0.7304218265547234,0.5308133999351412,1.140625,0.3381519999820739,20.95811939239502,,,,,,,,,,,,,,,,,,0.000414100009948,4158453344.0,163.0,17.0,46.0,0.0,0.0073090998921543,0.0073090998921543,0.1293990002013743,0.0630588000640273,0.0152364000678062,0.0034412001259624,eigsh,0.0005336999893188
2.0,7,220260513,5000,3,3,12581,80324,0.00321296,0.2170371001120656,0.0244143998716026,8,0.0016,7.5486,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Non-random,non_random,0.1052,0.7093277267101243,0.6285287252113615,0.0352595997974276,eigsh,0.0119388999883085,0.0001181999687105,0.0716344001702964,0.0836988999508321,0.9999999999999988,0.7407613414762582,0.3251430001109838,0.6875,0.1204095999710261,2.798457145690918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,7,220260513,5000,3,3,12581,80324,0.00321296,0.2170371001120656,0.0244143998716026,8,0.0016,7.5486,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Gaussian random projection,gaussian_random_projection,0.1398,0.624525502254811,0.5439300289717882,0.0458955999929457,,0.1846011001616716,0.0003594001755118,0.212640699930489,0.3976116999983787,0.9997554416691824,0.728486266400026,0.6390527002513409,1.359375,0.4454908999614417,26.21853542327881,,,,0.0080355999525636,0.0787548997905105,0.065047999843955,0.0266768999863415,0.0043649000581353,eigsh,0.0007669001352041,,,,,,,,,,,,,,,,,,,,,
2.0,7,220260513,5000,3,3,12581,80324,0.00321296,0.2170371001120656,0.0244143998716026,8,0.0016,7.5486,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Random sampling,random_sampling,0.3716,0.2319826683164422,0.2260796288480314,0.0371081999037414,,0.0264541001524776,8.979998528957367e-05,0.2269621999002993,0.2535135999787599,1.074300907675216,0.8752569974980432,0.4949576000217348,1.265625,0.2922980000730604,3.689014434814453,,,,,,,,,,,0.0038841001223772,eigsh,0.0225496999919414,42658.0,29675.0,0.7,55846.0,,,,,,,,,,,,,,
