rho_n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,zhou_theta_build_wall_sec_mean,zhou_theta_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,rs_original_upper_nnz_mean,rs_original_upper_nnz_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,rs_sampled_theta_nnz_mean,rs_sampled_theta_nnz_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
0.25,Random sampling,10,1563.5,35.29636430757893,0.9381,0.02117781858454736,6.2,0.6324555320336759,0.9433449110400002,0.0,0.11097779555911183,0.0,0.39318,0.009208908730137355,0.6550800000000001,0.005097450343063693,0.0002540806027817217,0.00043600747590763305,0.0007299184871562496,0.000558930071102045,0.06972989171044901,0.007762108652311959,0.008748945908155292,0.0017288601634605047,0.01540857928339392,0.0038820632762384096,0.0001441792002879083,4.905329116472334e-05,0.11459841660689563,0.10347243883950515,0.13015608760761097,0.10232441750284173,0.02241749190725386,0.0036235739679456513,0.20863001270918174,0.09520088583686304,1.7894092000000001,0.3873702093237307,0.2486405957955867,0.09310692802735318,2.8726540565490724,0.014101710478890441,1.7921875,2.362586918778804,0.0013000083970837295,0.0003780481418907365,0.01409361258847639,0.0037369673772557157,7723.6,146.1583616036615,5395.8,87.93027540803757,8676.6,165.83472361226256,1.4285714285714293,1.6400599253607846e-15,1.3651928975144418,0.016688069638898385
0.5,Random sampling,10,3145.0,46.64046883698037,1.887,0.02798428130218818,8.8,0.7888106377466156,1.8866898220800004,0.0,0.11097779555911183,0.0,0.15188,0.006366020909659522,0.65198,0.006488588273097464,0.0009270646954451395,0.0009430538940861837,0.001788229552302231,0.0012341687748302157,0.13082417910918592,0.012009995606247095,0.010243333328980952,0.0016665791130433857,0.014662666723597794,0.003730873787856107,0.00010348360519856215,3.1576674574210195e-05,0.09154158751480282,0.04209717965239014,0.1063121834071353,0.04428432329463946,0.019790962687693536,0.00210774072084084,0.24737525028176605,0.05041046822131403,1.979269400000001,0.36303621218771104,0.29983762921765444,0.0491169822663743,3.5554885864257812,0.01962973326185126,0.790625,0.6993610675307697,0.0012560165952891112,0.0002295269598356487,0.013392954203300177,0.0037766858318652907,13670.5,164.8570087479853,9557.0,121.76206305742357,16148.6,245.02389906111438,1.386537972046566,0.05784646517064499,1.303804989757525,0.014394931590999131
1.0,Random sampling,10,6268.2,72.35836740373142,3.76092,0.043415020442238654,12.3,0.8232726023485648,3.7733796441600007,0.0,0.11097779555911183,0.0,0.02364,0.002345302633871468,0.6606799999999999,0.003498825199660277,9.398674972190194e-05,0.00012844500391487868,0.0021704626009809475,0.001705874167547428,0.22005542900878935,0.00861119258042777,0.01570857100887224,0.00040237723391235074,0.010800408304203302,0.0006714047996707911,8.501679403707385e-05,3.0363827355016912e-05,0.12381222918629646,0.04030573278252963,0.13470170840155332,0.04029896189339745,0.022547970910090954,0.002127327641074502,0.37046165430219846,0.03771737397594473,2.4453506999999988,0.3365273626319406,0.4528718541958369,0.03598283287810829,4.8527556419372555,0.030148041573186814,0.6484375,0.8121410131089374,0.0015957580762915313,0.00010847392825352955,0.009190921008121222,0.0006928443791411721,23667.2,217.67549752377312,16539.3,184.91382377264887,29662.0,369.06940027889374,1.167375051202852,0.04999449162175405,1.1038243962343464,0.016853088291347948
2.0,Random sampling,10,12621.1,96.04796255575177,7.572660000000001,0.057628777533450845,19.9,0.9944289260117531,7.546759288320001,0.0,0.11097779555911183,0.0,0.00056,0.00029514591494904873,0.36858,0.13949411616424703,0.2645262809421577,0.14994782671122528,0.2326084047483244,0.12241121645617488,0.4201318293809891,0.013022188122390234,0.028705929417628794,0.0005981927138647535,0.015809633606113493,0.003313323381546804,0.00010010423138737679,4.097937948309744e-05,0.19910312939900904,0.07273534578680341,0.2150173502159305,0.0719415052264159,0.02112594587961212,0.004056949127135552,0.6638506260351278,0.07439289351132865,3.3980570000000014,0.42290129868879356,0.7991452415823005,0.06276432503783694,7.830046558380127,0.05358262700243557,0.8515625,1.1735809342356363,0.002488766610622406,0.00021599092922069678,0.013294958393089473,0.00337496988239155,42778.5,292.8830824749018,29876.8,219.5524741124293,56275.8,416.27896629277075,1.0739668626273091,0.0034320224513770176,0.8749571145593181,0.0070352442461343485
4.0,Random sampling,10,25165.7,164.36683228545724,15.09942,0.0986200993712741,31.3,1.8287822299126937,15.093518576640003,0.0,0.11097779555911183,0.0,0.0,0.0,0.05252,0.003156932406977099,0.8486343889090012,0.0087095044270586,0.7800511136774112,0.010076819732344247,0.8249056084081531,0.02984658867268027,0.057040404120925814,0.0055319645093436605,0.011782049911562353,0.0010993152351210706,8.855441119521856e-05,6.517439156879946e-05,0.10042637512087822,0.018819058335700863,0.11230093729682267,0.01912039069879436,0.023039203975349663,0.002944791254859996,0.9942429919727147,0.04346663993982138,3.361581100000001,0.2929434869532329,1.2472969166003167,0.044554017875615165,14.780578994750977,0.08964656527534597,-1.184375,13.38690977405208,0.004262158228084445,0.0008107294044767956,0.0074987001135014,0.0004669711697914937,80178.8,479.0603766170228,56077.7,350.1304677465893,108681.1,686.9786427215596,1.0617552825449068,0.0027888618289086935,0.7937150190836297,0.0016951562038945997
8.0,Random sampling,10,50272.0,246.14178389249108,30.1632,0.14768507033549444,52.0,1.6996731711975954,30.187037153280006,0.0,0.11097779555911183,0.0,0.0,0.0,0.00412,0.0010422198531126832,0.9876767095744853,0.0031081213511170744,0.973526280501329,0.005959724337459848,1.611072820913978,0.028572610035606932,0.11142067500622943,0.007039440494389667,0.014239854051265866,0.0007390989953078645,0.0001261542085558176,9.932641146664791e-05,0.0714630460832268,0.01242589983285019,0.08583399570779875,0.012677352428668527,0.020620354195125402,0.001584243627564075,1.8083225502632558,0.030768011437018208,4.334631199999999,0.14098877294767242,2.253401183290407,0.0317942753100418,28.615577507019044,0.13544409857350348,5.1390625,5.504804019763733,0.007127441687043756,0.0005280248015941677,0.006994116597343236,0.00043548402866837744,154504.8,729.0308330623308,108125.3,552.4382418977787,212746.5,1103.1872259755187,1.0580196173401444,0.0020517192285885847,0.7613775764997873,0.0018950196245402595
16.0,Random sampling,10,100616.5,350.5393463412248,60.369899999999994,0.21032360780473536,92.2,3.7357135269658404,60.37407430656001,0.0,0.11097779555911183,0.0,0.0,0.0,2e-05,6.324555320336759e-05,0.9999399819940018,0.00018979359957596646,0.9998467378951454,0.0004846573303318017,3.245536079397425,0.046765114836424745,0.22738578743301333,0.002820898803672527,0.026045887696091084,0.0007500469419267051,0.00014962919522076845,9.481446747913108e-05,0.06195087080122903,0.00681825370179722,0.0881514627370052,0.006974272762880523,0.021839016606099902,0.0030428052464286596,3.5610682545229793,0.04797456099428472,6.4453723,0.062260913281749666,4.419793258293066,0.05578567340178399,56.10231990814209,0.18776519892602275,9.2359375,12.078459528032226,0.014112329180352389,0.0005713375665984456,0.011712862597778439,0.00027923279187593285,301674.3,984.3050622421698,211061.6,728.9741955500035,418615.8,1461.1970587311084,1.0554671408079597,0.0014711669573470526,0.7440605154991337,0.0021458539201698887
