rho_n,method,rep,seed,n,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
0.5,Random sampling,1,70260428,5000,3,3,3182,0.6574,0.00010274205044146795,0.0004924097277019434,0.1324845829512924,0.009451832971535623,0.0735247079282999,0.02259691699873656,773,0.1546,1.9092,9.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.0012695000041276217,0.011674124980345368,13770,9601,0.7,16228,0.012954749981872737,8.37499974295497e-05,0.06048208405263722,1.428571428571429,1.3229629963134473,0.21545699995476753,7.2e-07,8e-08,sparse,1.691034000000002,0.271667042048648,3.5694618225097656,275.828125,276.5625,0.734375
0.5,Random sampling,2,70260429,5000,3,3,3063,0.6464,0.001283094372181645,0.003034402111027044,0.1382067920640111,0.009878250071778893,0.11453362507745624,0.020814792020246387,795,0.159,1.8378,8.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.0011438339715823531,0.011295084026642144,13390,9397,0.7,15819,0.012449916917830706,8.558400440961123e-05,0.10199437499977648,1.428571428571428,1.3138440891659253,0.2626149180578068,7.2e-07,8e-08,sparse,1.9752740000000024,0.309625166002661,3.522430419921875,276.5625,278.171875,1.609375
0.5,Random sampling,3,70260430,5000,3,3,3114,0.655,0.0005139145959233335,0.0016176593763545077,0.12420762504916638,0.010149375069886446,0.0753270419081673,0.020643291994929314,782,0.1564,1.8684,9.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.0012014169478788972,0.011091332999058068,13556,9467,0.7,15987,0.01230291707906872,8.316710591316223e-05,0.06293795898091048,1.428571428571427,1.3254753644143913,0.2096810432849452,7.2e-07,8e-08,sparse,1.7016420000000032,0.2594535000389442,3.5426130294799805,278.171875,278.375,0.203125
0.5,Random sampling,4,70260431,5000,3,3,3152,0.651,0.0008319659719936432,0.0018978850872407359,0.13542887498624623,0.010280332993716002,0.06436345796100795,0.018331500003114343,769,0.1538,1.8912,10.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.0011251249816268682,0.010295749991200864,13685,9661,0.7,16365,0.011454959050752223,0.00017200002912431955,0.05272937496192753,1.3750781835353487,1.2937238017952295,0.2100655420217663,7.2e-07,8e-08,sparse,1.703876000000001,0.26304891705513,3.5605344772338867,278.375,279.984375,1.609375
0.5,Random sampling,5,70260432,5000,3,3,3234,0.647,0.0013490722674192154,0.0016116121403878883,0.14177754102274776,0.00996100006159395,0.16635408299043775,0.01767833298072219,709,0.1418,1.9404,9.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.0011892500333487988,0.015034458017908037,13985,9813,0.7,16670,0.016234625014476478,8.412497118115425e-05,0.15003041608724743,1.3123117236580222,1.293624846101603,0.31808770715724677,7.2e-07,8e-08,sparse,2.4748680000000007,0.3681308750528842,3.5939064025878906,279.984375,281.859375,1.875
0.5,Random sampling,6,70260433,5000,3,3,3157,0.6476,0.001685880804242888,0.004102150782793496,0.12065708299633116,0.009366667014546692,0.1803024170221761,0.018823667080141604,754,0.1508,1.8942,9.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.0013959161005914211,0.01604508305899799,13709,9613,0.7,16264,0.01745116605889052,0.0001294170506298542,0.16271845798473805,1.3009765750327986,1.2820547102929982,0.3103227911051363,7.2e-07,8e-08,sparse,2.4875490000000013,0.35817683406639844,3.5615482330322266,281.859375,282.015625,0.15625
0.5,Random sampling,7,70260434,5000,3,3,3131,0.664,-0.00010492135290704034,0.00017741947409941826,0.11223929200787097,0.00954466697294265,0.06583733402658254,0.017379124998115003,764,0.1528,1.8786,8.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.001158250030130148,0.012382208951748908,13625,9475,0.7,16025,0.013550583040341735,8.170900400727987e-05,0.05220104206819087,1.4285714285714315,1.3078112947530274,0.1876172930933535,7.2e-07,8e-08,sparse,1.7111429999999999,0.24536758300382644,3.5472211837768555,282.015625,282.0625,0.046875
0.5,Random sampling,8,70260435,5000,3,3,3175,0.6552,0.0002678005968030453,0.0006821989270559837,0.1497269170358777,0.014889166108332574,0.1224916250212118,0.0235252499114722,697,0.1394,1.905,8.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.001858582952991128,0.011193040991201997,13821,9576,0.7,16146,0.013067375053651631,0.00013758393470197916,0.10928000009153038,1.428571428571427,1.308136364229821,0.28710104222409427,7.2e-07,8e-08,sparse,1.9338479999999976,0.34199200000148267,3.567898750305176,282.0625,282.09375,0.03125
0.5,Random sampling,9,70260436,5000,3,3,3112,0.6544,0.0003179402027042569,0.00142837352780218,0.11634574993513525,0.009639792027883232,0.06322700006421655,0.018065666896291077,781,0.1562,1.8672,10.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.0011360408971086144,0.012098917039111257,13551,9469,0.7,15957,0.01324720901902765,8.437503129243851e-05,0.049891957896761596,1.4285714285714293,1.2894398554760174,0.18920908391010016,7.2e-07,8e-08,sparse,1.6323349999999976,0.24120658391620964,3.5416336059570312,282.09375,282.953125,0.859375
0.5,Random sampling,10,70260437,5000,3,3,3130,0.6418,0.0030231574456489403,0.002838184368559111,0.1371673330431804,0.009272249997593462,0.13716054207179695,0.020051083993166685,770,0.154,1.878,8.0,3144.4830368000003,0.6288966073600001,1.8866898220800001,0.11097779555911182,0.001082250033505261,0.02281954197678715,13613,9498,0.7,16025,0.023913166020065546,9.312492329627275e-05,0.11315020802430809,1.3055846668109208,1.3009765750327904,0.2835960820084438,7.2e-07,8e-08,sparse,2.481125000000006,0.3397077909903601,3.547637939453125,282.953125,283.734375,0.78125
