method,Non-random,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),CountSketch,SIGN Bidirectional
Non-random,1,-0.0142399877978,0.90319077003,0.931999536954,-0.0153075885274,0.693118850879
Random Projection,-0.0142399877978,1,-0.0133098104934,-0.0161872220395,0.943193250847,0.0945562532469
Random Sampling (p=0.7),0.90319077003,-0.0133098104934,1,0.88176706369,-0.0138490027135,0.685175011561
Random Sampling (p=0.8),0.931999536954,-0.0161872220395,0.88176706369,1,-0.0173948688433,0.682794583115
CountSketch,-0.0153075885274,0.943193250847,-0.0138490027135,-0.0173948688433,1,0.0892146212761
SIGN Bidirectional,0.693118850879,0.0945562532469,0.685175011561,0.682794583115,0.0892146212761,1
