n,rep,seed,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,rho_n,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
1000,1,1020263427,3,3,5028,0.023,0.9319262919648938,0.8926089586384794,0.16063841595314443,0.013344583101570606,0.21842787496279925,0.0066367919789627194,0,15.084,26.0,30538,0.0019640420796349645,4.195899236947298e-05,0.21641512494534254,0.392404125072062,4.0,0.000144,1.6e-05,sparse,1.6209339999999997,0.4204454580321908,2.533346176147461,260.921875,265.34375,4.421875
1000,2,1020263428,3,3,4841,0.016,0.9525659417726555,0.9200372602168914,0.1778093749890104,0.012230583000928164,0.04120650002732873,0.006631291937083006,0,14.523,28.0,29398,0.0019537919433787465,4.5749940909445286e-05,0.03920337499585003,0.23124287487007678,4.0,0.000144,1.6e-05,sparse,1.6911079999999998,0.25537387502845377,2.4258079528808594,265.34375,267.1875,1.84375
1000,3,1020263429,3,3,5101,0.02,0.9407746634346817,0.9011989845660793,0.18868458294309676,0.013140124967321754,0.0417041250038892,0.008083250024355948,0,15.303,29.0,30874,0.002014000085182488,4.1958061046898365e-05,0.03964379208628088,0.24352445814292878,4.0,0.000144,1.6e-05,sparse,1.9324650000000005,0.2705012910300866,2.547311782836914,267.1875,268.234375,1.046875
1000,4,1020263430,3,3,4913,0.017,0.9495318053301219,0.912640690652267,0.18473204202018678,0.012705583008937538,0.045169917051680386,0.006096999975852668,0,14.739,27.0,29776,0.0019479580223560333,4.5082997530698776e-05,0.04317291593179107,0.24260358198080212,4.0,0.000144,1.6e-05,sparse,1.8234120000000011,0.2662211249116808,2.457827568054199,268.234375,268.609375,0.375
1000,5,1020263431,3,3,4986,0.013,0.9613086030152109,0.9292864135779049,0.2282353329937905,0.014401082997210324,0.0391093340003863,0.008847333025187254,0,14.958,28.0,30304,0.0020591249922290444,5.0709000788629055e-05,0.0369958330411464,0.2817420830251649,4.0,0.000144,1.6e-05,sparse,1.462339,0.31492933398112655,2.4974708557128906,268.609375,268.765625,0.15625
1000,6,1020263432,3,3,5085,0.017,0.9495243108533195,0.9155565219121535,0.20285624999087304,0.013309375033713877,0.040836957981809974,0.008618583087809384,0,15.255,30.0,30830,0.002046833047643304,3.9792037568986416e-05,0.0387470000423491,0.2569992501521483,4.0,0.000144,1.6e-05,sparse,1.8016349999999992,0.28352883306797594,2.544126510620117,268.765625,269.125,0.359375
1000,7,1020263433,3,3,5164,0.014,0.9584000090997538,0.9251564886664244,0.2125577919650823,0.013295917073264718,0.04332833306398243,0.007912291097454727,0,15.492,30.0,31320,0.0019174170447513461,3.7082936614751816e-05,0.04136933293193579,0.2691775419516489,4.0,0.000144,1.6e-05,sparse,1.8117469999999969,0.2956050840439275,2.580535888671875,269.125,269.4375,0.3125
1000,8,1020263434,3,3,5102,0.018,0.9466677642129371,0.9082789946864038,0.2438904580194503,0.015095583046786487,0.042673957999795675,0.005282208090648055,0,15.306,31.0,30918,0.002268292009830475,9.333400521427393e-05,0.04030774999409914,0.3016554170753807,4.0,0.000144,1.6e-05,sparse,1.6684909999999995,0.3242694999789819,2.548818588256836,269.4375,269.484375,0.046875
1000,9,1020263435,3,3,5131,0.012,0.9642978827390968,0.9350020082585458,0.20733562507666647,0.013135917019098997,0.03908379201311618,0.0061833750223740935,0,15.393,27.0,31130,0.0018815830117091537,3.9041973650455475e-05,0.037160165957175195,0.2595523330383003,4.0,0.000144,1.6e-05,sparse,1.9121570000000006,0.2867824169807136,2.5651798248291016,269.484375,270.046875,0.5625
1000,10,1020263436,3,3,4934,0.016,0.9524843506320537,0.9162521648789105,0.194103957968764,0.012769334018230438,0.03894566697999835,0.00506162503734231,0,14.802,28.0,29986,0.0019005000358447433,3.808399196714163e-05,0.03700437501538545,0.24581625103019178,4.0,0.000144,1.6e-05,sparse,1.8884380000000007,0.2660796669078991,2.469721794128418,270.046875,270.046875,0.0
