Methods,F 1,NMI,ARI
Random Projection,0.315(0.018),0.548(0.010),0.091(0.008)
Random Sampling (p= 0.7),0.312(0.014),0.527(0.010),0.071(0.006)
Random Sampling (p= 0.8),0.325(0.014),0.540(0.007),0.074(0.008)
CountSketch,0.318(0.015),0.547(0.009),0.090(0.008)
SIGN Bidirectional,0.308(0.010),0.542(0.010),0.089(0.010)
Non-Random,0.351(0.014),0.557(0.007),0.082(0.006)
