rep,method_i,method_j,ari
1,Random Projection,CountSketch,0.7519604434863378
1,Random Projection,SIGN Bidirectional,0.7700287480830853
1,Random Projection,Random Sampling (p=0.7),0.772272309781012
1,Random Projection,Random Sampling (p=0.8),0.8117884685192472
1,Random Projection,Non-random,0.6963862165816266
1,CountSketch,SIGN Bidirectional,0.7306653242472041
1,CountSketch,Random Sampling (p=0.7),0.6976606871906121
1,CountSketch,Random Sampling (p=0.8),0.7452247476391708
1,CountSketch,Non-random,0.7131442315874943
1,SIGN Bidirectional,Random Sampling (p=0.7),0.739672895098412
1,SIGN Bidirectional,Random Sampling (p=0.8),0.7314943642379573
1,SIGN Bidirectional,Non-random,0.6952542684446513
1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7757568891906688
1,Random Sampling (p=0.7),Non-random,0.6792643582541126
1,Random Sampling (p=0.8),Non-random,0.6902329158168098
2,Random Projection,CountSketch,0.8124275164018532
2,Random Projection,SIGN Bidirectional,0.8462357611425985
2,Random Projection,Random Sampling (p=0.7),0.7444756430572871
2,Random Projection,Random Sampling (p=0.8),0.7477595170763752
2,Random Projection,Non-random,0.7381618064740842
2,CountSketch,SIGN Bidirectional,0.8550139162329007
2,CountSketch,Random Sampling (p=0.7),0.7774209662611322
2,CountSketch,Random Sampling (p=0.8),0.762475776724868
2,CountSketch,Non-random,0.7563095650929162
2,SIGN Bidirectional,Random Sampling (p=0.7),0.7663198362151454
2,SIGN Bidirectional,Random Sampling (p=0.8),0.7607606761295934
2,SIGN Bidirectional,Non-random,0.7462922246542437
2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7483159150360962
2,Random Sampling (p=0.7),Non-random,0.7576319923849136
2,Random Sampling (p=0.8),Non-random,0.7928490520963763
3,Random Projection,CountSketch,0.8262717049482581
3,Random Projection,SIGN Bidirectional,0.7759705925201927
3,Random Projection,Random Sampling (p=0.7),0.8205042020160618
3,Random Projection,Random Sampling (p=0.8),0.803227180962803
3,Random Projection,Non-random,0.7874128612442396
3,CountSketch,SIGN Bidirectional,0.7276514314465843
3,CountSketch,Random Sampling (p=0.7),0.7679993965049207
3,CountSketch,Random Sampling (p=0.8),0.7658578643408711
3,CountSketch,Non-random,0.7539671887201803
3,SIGN Bidirectional,Random Sampling (p=0.7),0.6934690176667517
3,SIGN Bidirectional,Random Sampling (p=0.8),0.6912279334139878
3,SIGN Bidirectional,Non-random,0.7063845211485089
3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7868043426350394
3,Random Sampling (p=0.7),Non-random,0.7615413333282633
3,Random Sampling (p=0.8),Non-random,0.7805942249159759
4,Random Projection,CountSketch,0.7827901168450743
4,Random Projection,SIGN Bidirectional,0.7856765598783395
4,Random Projection,Random Sampling (p=0.7),0.7157738670088635
4,Random Projection,Random Sampling (p=0.8),0.7946610138538475
4,Random Projection,Non-random,0.7808206175035498
4,CountSketch,SIGN Bidirectional,0.7390134642184332
4,CountSketch,Random Sampling (p=0.7),0.7376842609275734
4,CountSketch,Random Sampling (p=0.8),0.8030458468548394
4,CountSketch,Non-random,0.7611288631331934
4,SIGN Bidirectional,Random Sampling (p=0.7),0.6595367624416258
4,SIGN Bidirectional,Random Sampling (p=0.8),0.7433880567360861
4,SIGN Bidirectional,Non-random,0.7376543652010427
4,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7393440283097366
4,Random Sampling (p=0.7),Non-random,0.6859972338805831
4,Random Sampling (p=0.8),Non-random,0.7952635178193649
5,Random Projection,CountSketch,0.8403930606960422
