,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),CountSketch,SIGN Bidirectional,Non-random
Random Projection,1.0,0.7442110703069466,0.7566510397636367,0.7957563957232964,0.8096009614103336,0.7570167427751312
Random Sampling (p=0.7),0.7442110703069466,1.0,0.7484519505354656,0.7432971414388697,0.7388766335854652,0.7361820221649906
Random Sampling (p=0.8),0.7566510397636367,0.7484519505354656,1.0,0.7542971252718137,0.7505598991824864,0.7754964263752164
CountSketch,0.7957563957232964,0.7432971414388697,0.7542971252718137,1.0,0.7954756871069463,0.7589272524849657
SIGN Bidirectional,0.8096009614103336,0.7388766335854652,0.7505598991824864,0.7954756871069463,1.0,0.748297629581182
Non-random,0.7570167427751312,0.7361820221649906,0.7754964263752164,0.7589272524849657,0.748297629581182,1.0
