dataset,alpha,tau_label,tau_value,group,group_n,method,rep,r,ell,k,q,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,eigen_decomposition_wall_sec,ARI_true,NMI_true,F1_macro_true,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
lastfm-stratum-smoke,0.5,0,0.0,all,136,Gaussian RP,1,0,10,10,1,0.00033510000503156334,2.1309882999921683,2.1313233999972,1.820000761654228e-05,4.739999712910503e-05,0.0001247000036528334,3.609999839682132e-05,8.629998774267733e-05,1.1800002539530396e-05,0.00032449999707750976,0.3812197345929139,0.5273268171620444,0.18559425206402042,,,,,,,,,,,
lastfm-stratum-smoke,0.5,0,0.0,low_deg_1_2,63,Gaussian RP,1,0,10,10,1,0.00033510000503156334,2.1309882999921683,2.1313233999972,1.820000761654228e-05,4.739999712910503e-05,0.0001247000036528334,3.609999839682132e-05,8.629998774267733e-05,1.1800002539530396e-05,0.00032449999707750976,0.218852877651359,0.5372168683921965,0.21421911421911422,,,,,,,,,,,
lastfm-stratum-smoke,0.5,0,0.0,mid_deg_3_8,51,Gaussian RP,1,0,10,10,1,0.00033510000503156334,2.1309882999921683,2.1313233999972,1.820000761654228e-05,4.739999712910503e-05,0.0001247000036528334,3.609999839682132e-05,8.629998774267733e-05,1.1800002539530396e-05,0.00032449999707750976,0.44979947934989095,0.7000874257985227,0.2368131868131868,,,,,,,,,,,
lastfm-stratum-smoke,0.5,0,0.0,high_deg_9_plus,22,Gaussian RP,1,0,10,10,1,0.00033510000503156334,2.1309882999921683,2.1313233999972,1.820000761654228e-05,4.739999712910503e-05,0.0001247000036528334,3.609999839682132e-05,8.629998774267733e-05,1.1800002539530396e-05,0.00032449999707750976,0.6783408582640618,0.7158231024322881,0.24404761904761904,,,,,,,,,,,
lastfm-stratum-smoke,0.5,0,0.0,all,136,Degree-stratified RP,1,0,10,10,1,0.0008950000046752393,0.03916659999231342,0.04006159999698866,,,,,,,0.0008458000083919615,0.43622931771058016,0.5949977577139967,0.19531042868027865,0.000112900001113303,0.00044729998626280576,0.0001264000020455569,4.730001091957092e-05,3.340000694151968e-05,5.5900003644637764e-05,2.2599997464567423e-05,5.0,2.0,2.0,"[1,2):n=34,ell=2;[2,4):n=53,ell=2;[4,8):n=22,ell=2;[8,16):n=24,ell=2;[16,32):n=3,ell=2"
lastfm-stratum-smoke,0.5,0,0.0,low_deg_1_2,63,Degree-stratified RP,1,0,10,10,1,0.0008950000046752393,0.03916659999231342,0.04006159999698866,,,,,,,0.0008458000083919615,0.2499231254654151,0.5874861497024781,0.23513402662009472,0.000112900001113303,0.00044729998626280576,0.0001264000020455569,4.730001091957092e-05,3.340000694151968e-05,5.5900003644637764e-05,2.2599997464567423e-05,5.0,2.0,2.0,"[1,2):n=34,ell=2;[2,4):n=53,ell=2;[4,8):n=22,ell=2;[8,16):n=24,ell=2;[16,32):n=3,ell=2"
lastfm-stratum-smoke,0.5,0,0.0,mid_deg_3_8,51,Degree-stratified RP,1,0,10,10,1,0.0008950000046752393,0.03916659999231342,0.04006159999698866,,,,,,,0.0008458000083919615,0.4953034698905152,0.6927527270758138,0.21428571428571427,0.000112900001113303,0.00044729998626280576,0.0001264000020455569,4.730001091957092e-05,3.340000694151968e-05,5.5900003644637764e-05,2.2599997464567423e-05,5.0,2.0,2.0,"[1,2):n=34,ell=2;[2,4):n=53,ell=2;[4,8):n=22,ell=2;[8,16):n=24,ell=2;[16,32):n=3,ell=2"
lastfm-stratum-smoke,0.5,0,0.0,high_deg_9_plus,22,Degree-stratified RP,1,0,10,10,1,0.0008950000046752393,0.03916659999231342,0.04006159999698866,,,,,,,0.0008458000083919615,0.9074963959634791,0.8986797444560153,0.196969696969697,0.000112900001113303,0.00044729998626280576,0.0001264000020455569,4.730001091957092e-05,3.340000694151968e-05,5.5900003644637764e-05,2.2599997464567423e-05,5.0,2.0,2.0,"[1,2):n=34,ell=2;[2,4):n=53,ell=2;[4,8):n=22,ell=2;[8,16):n=24,ell=2;[16,32):n=3,ell=2"
lastfm-stratum-smoke,0.5,0,0.0,all,136,Gaussian RP,1,2,12,10,1,0.00022499999613501132,0.03825640000286512,0.03848139999900013,1.920000067912042e-05,3.1099989428184927e-05,7.870000263210386e-05,2.7799993404187262e-05,4.949999856762588e-05,7.499998901039362e-06,0.0002137999836122617,0.4513175125997063,0.548015127054757,0.21452208759901067,,,,,,,,,,,
lastfm-stratum-smoke,0.5,0,0.0,low_deg_1_2,63,Gaussian RP,1,2,12,10,1,0.00022499999613501132,0.03825640000286512,0.03848139999900013,1.920000067912042e-05,3.1099989428184927e-05,7.870000263210386e-05,2.7799993404187262e-05,4.949999856762588e-05,7.499998901039362e-06,0.0002137999836122617,0.2794596406978379,0.5383082112104208,0.30888154078199326,,,,,,,,,,,
lastfm-stratum-smoke,0.5,0,0.0,mid_deg_3_8,51,Gaussian RP,1,2,12,10,1,0.00022499999613501132,0.03825640000286512,0.03848139999900013,1.920000067912042e-05,3.1099989428184927e-05,7.870000263210386e-05,2.7799993404187262e-05,4.949999856762588e-05,7.499998901039362e-06,0.0002137999836122617,0.4114049657574993,0.638986945251548,0.18901098901098903,,,,,,,,,,,
lastfm-stratum-smoke,0.5,0,0.0,high_deg_9_plus,22,Gaussian RP,1,2,12,10,1,0.00022499999613501132,0.03825640000286512,0.03848139999900013,1.920000067912042e-05,3.1099989428184927e-05,7.870000263210386e-05,2.7799993404187262e-05,4.949999856762588e-05,7.499998901039362e-06,0.0002137999836122617,0.9905207435676474,0.971718568938381,0.2857142857142857,,,,,,,,,,,
lastfm-stratum-smoke,0.5,0,0.0,all,136,Degree-stratified RP,1,2,12,10,1,0.0008856000058585778,0.039350800012471154,0.04023640001832973,,,,,,,0.0008400000078836456,0.2890386159591347,0.47701708427549333,0.16840101419048786,0.00013610000314656645,0.0004337999998824671,0.0001112000027205795,4.949999856762588e-05,3.290000313427299e-05,6.6100008552894e-05,1.0399991879239678e-05,5.0,2.0,3.0,"[1,2):n=34,ell=2;[2,4):n=53,ell=3;[4,8):n=22,ell=2;[8,16):n=24,ell=3;[16,32):n=3,ell=2"
lastfm-stratum-smoke,0.5,0,0.0,low_deg_1_2,63,Degree-stratified RP,1,2,12,10,1,0.0008856000058585778,0.039350800012471154,0.04023640001832973,,,,,,,0.0008400000078836456,0.1910232038641054,0.4949982657280708,0.23626373626373626,0.00013610000314656645,0.0004337999998824671,0.0001112000027205795,4.949999856762588e-05,3.290000313427299e-05,6.6100008552894e-05,1.0399991879239678e-05,5.0,2.0,3.0,"[1,2):n=34,ell=2;[2,4):n=53,ell=3;[4,8):n=22,ell=2;[8,16):n=24,ell=3;[16,32):n=3,ell=2"
