,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),Non-random
Random Projection,1.0,0.7394656925516311,0.7421176440143448,0.7655290290312966
Random Sampling (p=0.7),0.7394656925516311,1.0,0.7481813332677107,0.73408255152154
Random Sampling (p=0.8),0.7421176440143448,0.7481813332677107,1.0,0.7516756888995659
Non-random,0.7655290290312966,0.73408255152154,0.7516756888995659,1.0
