method,F1_mean,F1_std,NMI_mean,NMI_std,ARI_mean,ARI_std,time_rand_mean,time_rand_std,time_post_mean,time_post_std,time_total_mean,time_total_std
Non-random,0.35322007169866526,0.01295781282043162,0.5676991842057488,0.004887910365374805,0.09373719614573275,0.009575425517533338,0.0,0.0,0.26917298334999984,0.004614552544424096,0.2691735459499999,0.0046145544471742775
Random Projection,0.3202607384232371,0.012859407483295207,0.5513131485110154,0.008677389620574332,0.09988306071473321,0.011700207149968994,,,,,0.1904499293000002,0.015457495033993308
Random Sampling (p=0.7),0.3080380403147191,0.012532208365096269,0.5310722441987299,0.008346437277804203,0.07743207179302337,0.009277152022301484,0.010624608250000112,0.0003313368823966716,0.27620240409999974,0.0038276216077950316,0.2868358375999994,0.003738331601971603
Random Sampling (p=0.8),0.32698271670952017,0.014339158936939827,0.5426019142903225,0.005401678915331721,0.08289147967583141,0.00703387357191734,0.01108450430000003,0.0010339779794537758,0.27601294360000034,0.005493444581286948,0.2871056999000003,0.0057755548779848944
