Methods,F 1,NMI,ARI
Random Projection,0.576(0.000),0.178(0.000),0.080(0.000)
Random Sampling (p= 0.7),0.572(0.006),0.177(0.006),0.077(0.004)
Random Sampling (p= 0.8),0.572(0.006),0.177(0.005),0.078(0.004)
CountSketch,0.576(0.000),0.178(0.000),0.080(0.000)
SIGN Bidirectional,0.566(0.031),0.170(0.033),0.074(0.019)
Non-Random,0.576(0.000),0.178(0.000),0.080(0.000)
