dataset,method,F1_mean,F1_std,NMI_mean,NMI_std,ARI_mean,ARI_std,time_rand_mean,time_rand_std,time_post_mean,time_post_std,time_total_mean,time_total_std
political_blog,CountSketch,0.4335056572213142,0.0068869941308881254,0.04056021321407917,0.0069181622823377776,0.0020015734340781627,0.0009715303200513315,8.19002000002067e-05,2.0838506615226583e-05,0.09156570404999997,0.009275554224144496,0.09164760425000018,0.009274173158965135
political_blog,Non-random,0.5017159253181369,0.0,0.12688534253729017,0.0,0.03784608281865827,0.0,0.0,0.0,0.12537992275000018,0.025327226000149927,0.1253809207,0.025327283695053243
political_blog,Random Projection,0.4345659274360316,0.0036540812570056693,0.04163307407808191,0.006262890360386948,0.0021195082582088015,0.0006808890146410156,,,,,0.10137285625000006,0.010969254581593322
political_blog,Random Sampling (p=0.7),0.5007270953780476,0.008116178889175353,0.12530450405993473,0.005857383228815823,0.03746847531651089,0.003613088288922676,0.01316458529999991,0.0010353802182308672,0.12648856244999998,0.013017870019037888,0.13966419790000012,0.013095001549698955
political_blog,Random Sampling (p=0.8),0.4991142067914821,0.006579890017563363,0.12486622962709053,0.005121366038477578,0.03676486439388096,0.002830972143953717,0.013453904050000154,0.0018075222894433733,0.11930349785000002,0.012169254085590466,0.13276848125000001,0.012018041021580744
political_blog,SIGN Bidirectional,0.43093236016602143,0.010350740209302893,0.03934033775784378,0.00796483945590822,0.0017511796424540405,0.0011871446379894254,0.000234114749999903,3.623574668294082e-05,0.09276597900000012,0.0123928377291721,0.09300009375000003,0.012388043782797366
statisticians_citation,CountSketch,0.9213482090103673,0.1015527538252955,0.79709139312172,0.22542112587274918,0.848166598723021,0.2201542950949471,0.00010368744999986746,1.6560399071949447e-05,0.11574437090000007,0.025307457088470365,0.11584805834999994,0.025314671466103642
statisticians_citation,Random Projection,0.8983140105058286,0.12386344054802007,0.7520237962151992,0.26718635562810494,0.7939594243428576,0.2666558297466188,,,,,0.12712542904999963,0.038240536850501654
statisticians_citation,Random Sampling (p=0.7),0.8542203110998653,0.11553146133325817,0.6336920357063229,0.21768918983886423,0.7323964458505274,0.23196966352321172,0.02431035200000018,0.0004087626973825264,0.14230119584999948,0.03904030396958049,0.16662224380000018,0.039196267035697986
statisticians_citation,Random Sampling (p=0.8),0.8348100397856337,0.13226855367829224,0.6022753114325337,0.26117182121539906,0.6847607002146151,0.2657611672030672,0.0243268209,0.00019848579664370856,0.1328583999499992,0.0302414540289396,0.15719636470000076,0.030337108205541224
statisticians_citation,SIGN Bidirectional,0.8049879655282574,0.1307698317448523,0.5482196933483948,0.2634786605874161,0.609925640659053,0.2643227358143325,0.0005238000000007403,9.150589729544994e-05,0.12379056464999945,0.03787364431418282,0.12431436465000019,0.037886386910115526
statisticians_coauthor,CountSketch,0.9921555673050145,0.022731123232582712,0.9818846857484651,0.04865790140556735,0.987616559983621,0.03515634518099874,9.430849999993995e-05,1.5344598221316465e-05,0.09843452480000021,0.015163578888851335,0.09852883330000015,0.01516283905340838
statisticians_coauthor,Random Projection,0.9906292175815764,0.023196805496529582,0.9776481271038453,0.05064571236786696,0.9850835015507758,0.03603135385070464,,,,,0.09371177084999989,0.014857340643587917
statisticians_coauthor,Random Sampling (p=0.7),0.8160928605388549,0.24521891211165503,0.7664096987290316,0.15065733449166163,0.8100145058244321,0.17151807377750514,0.01990362909999952,0.00034477882850001004,0.10796783760000092,0.013915174687924314,0.12788184789999998,0.014055844796552199
statisticians_coauthor,Random Sampling (p=0.8),0.7809579390256469,0.2982393657672021,0.7876773832888491,0.20882166696621576,0.8089417241203923,0.22621461035012497,0.01973561439999987,8.652913122646899e-05,0.10408543349999988,0.01441797038055976,0.12383149795000001,0.014439167873367855
statisticians_coauthor,SIGN Bidirectional,0.9936734997375737,0.012023502232492335,0.981660676337375,0.034222480445689735,0.9892908288651769,0.020264438178538662,0.000403227099999981,3.702776084436843e-05,0.11136956055000038,0.010504558616578681,0.11177278765000036,0.010522580045996162
