dataset,rep,method,eval_mode,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
political_blog,1,Random Projection,truth,0.4304534474028865,0.03445076063397412,0.0012924008448091774,,,0.33194416599872056
political_blog,1,Random Sampling (p=0.7),truth,0.5002494579806981,0.12574134864541148,0.03719732305289491,0.0010838339949259534,0.2328867909964174,0.23397591699904297
political_blog,1,Random Sampling (p=0.8),truth,0.503178930512495,0.12802773837174722,0.038500200050829825,0.0010855840082513168,0.5865482489898568,0.5876430409989553
political_blog,1,CountSketch,truth,0.4343881386125384,0.04043925083958943,0.0020220561118948965,4.533299943432212e-05,0.3182859170046868,0.3183312500041211
political_blog,1,SIGN Bidirectional,truth,0.4372614590089232,0.0421682698741963,0.002423887887523519,0.00022841700410936028,0.4674135829845909,0.46764199998870026
political_blog,1,Non-random,truth,0.5017159253181369,0.12688534253729017,0.03784608281865827,0.0,0.42870420799590647,0.42870495800161734
political_blog,2,Random Projection,truth,0.4343881386125384,0.04043925083958943,0.0020220561118948965,,,0.44988158300111536
political_blog,2,Random Sampling (p=0.7),truth,0.503178930512495,0.12802773837174722,0.038500200050829825,0.0008856250060489401,0.25129799998831004,0.25221891701221466
political_blog,2,Random Sampling (p=0.8),truth,0.5060946207823789,0.13030788195714252,0.039824506798618355,0.0009919160074787214,0.6435505839908728,0.6445496250089491
political_blog,2,CountSketch,truth,0.44012196345108423,0.04390265636819743,0.0028471576982487695,3.545900108292699e-05,0.3000437909940956,0.30007924999517854
political_blog,2,SIGN Bidirectional,truth,0.4358264081255771,0.041303058705913706,0.0022202922273671373,7.075000030454248e-05,0.43089629099995364,0.4309670410002582
political_blog,2,Non-random,truth,0.5017159253181369,0.12688534253729017,0.03784608281865827,0.0,0.34111658300389536,0.3411171670013573
political_blog,3,Random Projection,truth,0.43816091954022984,0.04074933105925636,0.0024286829728523748,,,0.41136662499047816
political_blog,3,Random Sampling (p=0.7),truth,0.4987795118047219,0.1245957194939278,0.0365539207826695,0.0009069579973584041,0.34871900000143796,0.3496477079897886
political_blog,3,Random Sampling (p=0.8),truth,0.49286460146188654,0.11999608628829801,0.03403388724492276,0.000984791011433117,0.4328161249868572,0.4338043329917127
political_blog,3,CountSketch,truth,0.44422486663666816,0.058737227705247565,0.00422175213766802,3.325000579934567e-05,0.4287681249988964,0.42880137500469573
political_blog,3,SIGN Bidirectional,truth,0.4361998756293755,0.03775686820382159,0.002031668489784,0.00011729200195986778,0.3468332500051474,0.3469505420071073
political_blog,3,Non-random,truth,0.5017159253181369,0.12688534253729017,0.03784608281865827,0.0,0.612193084001774,0.6121936670097057
political_blog,4,Random Projection,truth,0.4374134768498922,0.04893051540127047,0.0028327233497607565,,,0.2921119999955408
political_blog,4,Random Sampling (p=0.7),truth,0.4973060699996245,0.12344841731942557,0.035915876037259827,0.0016422909975517541,0.3409649170062039,0.3426197919907281
political_blog,4,Random Sampling (p=0.8),truth,0.4868926690314952,0.11536716033453034,0.03159957600464452,0.0010473750007804483,0.31071316699672025,0.31176845901063643
political_blog,4,CountSketch,truth,0.4386933059231659,0.04303482208290657,0.002632843056417028,3.2083000405691564e-05,0.32421441699261777,0.32424649999302346
political_blog,4,SIGN Bidirectional,truth,0.40341415465268676,0.022781767804416667,-0.0009027822547256392,0.00012858299305662513,0.24095620900334325,0.24108479199639987
political_blog,4,Non-random,truth,0.5017159253181369,0.12688534253729017,0.03784608281865827,0.0,0.30497874999127816,0.30497949999698903
political_blog,5,Random Projection,truth,0.43452379510264005,0.0470955179784987,0.0024093923301546807,,,0.6491816250054399
political_blog,5,Random Sampling (p=0.7),truth,0.5002494579806981,0.12574134864541148,0.03719732305289491,0.000949958004639484,0.48689241701504216,0.4878714160004165
political_blog,5,Random Sampling (p=0.8),truth,0.5017159253181369,0.12688534253729017,0.03784608281865827,0.000978209005552344,0.4449537489999784,0.44593866700597573
political_blog,5,CountSketch,truth,0.43544294612082,0.04532664678545289,0.002414242566707237,3.895799454767257e-05,0.24010749999433756,0.24014645798888523
political_blog,5,SIGN Bidirectional,truth,0.4364975340377094,0.05088658498246052,0.002827875147851112,0.00012116700236219913,0.34822454099776223,0.34834570800012443
political_blog,5,Non-random,truth,0.5017159253181369,0.12688534253729017,0.03784608281865827,0.0,0.5549568340065889,0.5549572500021895
political_blog,6,Random Projection,truth,0.4383228298221903,0.047127179810329954,0.0028375531751083467,,,0.44240841700229794
political_blog,6,Random Sampling (p=0.7),truth,0.5104426021083859,0.1337170112542279,0.04185114719862747,0.0016031249979278073,0.6615517089958303,0.6631632080097916
political_blog,6,Random Sampling (p=0.8),truth,0.49286460146188654,0.11999608628829801,0.03403388724492276,0.0017295830039074644,0.4812433330080239,0.4829792910022661
political_blog,6,CountSketch,truth,0.4257756481894035,0.04160580486147188,0.0012680302420629006,3.995800216216594e-05,0.2707464169943705,0.2707863749965327
political_blog,6,SIGN Bidirectional,truth,0.4386933059231659,0.04303482208290657,0.002632843056417028,7.062499935273081e-05,0.2909087919979356,0.29097941699728835
political_blog,6,Non-random,truth,0.5017159253181369,0.12688534253729017,0.03784608281865827,0.0,0.4694825420010602,0.46948291700391565
