rep,method,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
1,Random Projection,0.33010978935674234,0.5558142539878779,0.10448414493613419,,,0.2621166250000002
1,CountSketch,0.28835053012647915,0.5400792273578446,0.08116871902605913,0.0001354579999999217,0.20998325000000007,0.210118708
1,SIGN Bidirectional,0.3358963561508985,0.5543233373574524,0.10476404535340016,0.00047345900000017593,0.23688866600000003,0.2373621250000002
1,Random Sampling (p=0.7),0.31567476585457277,0.5362728009633033,0.08895878676102709,0.010225875000000162,0.33709062399999956,0.34732462500000016
1,Random Sampling (p=0.8),0.3373518821610394,0.541989248233098,0.09061322834081213,0.010279457999999853,0.34343795900000007,0.35372495800000037
1,Non-random,0.3454013631484078,0.5661917157851802,0.08501815156267616,0.0,0.3544597089999999,0.3544603340000001
2,Random Projection,0.31539950205947714,0.5541145622428428,0.08574028665174149,,,0.247708834
2,CountSketch,0.31459604019585036,0.5512718806306713,0.08247431035621826,5.91249999999377e-05,0.22098316699999998,0.22104229199999992
2,SIGN Bidirectional,0.3391712068966407,0.5527034824875757,0.09392277607799819,0.0004652920000003391,0.2723737909999997,0.27283908300000004
2,Random Sampling (p=0.7),0.30745424744592026,0.5372592199164719,0.08545453318898867,0.010064916000000146,0.3766080840000008,0.3866839999999998
2,Random Sampling (p=0.8),0.3219209128784034,0.5384386963966759,0.08744610531786098,0.012697833000000713,0.3719787080000003,0.3846854999999998
2,Non-random,0.37161935816756236,0.5654909139665896,0.08358640824081674,0.0,0.34025495900000013,0.34025529200000015
3,Random Projection,0.3260536459754425,0.5391181568122159,0.10657453816326734,,,0.21382420800000013
3,CountSketch,0.33371808993333957,0.5469302825863878,0.11720211073652667,5.708300000062394e-05,0.23413062499999882,0.23418770799999944
3,SIGN Bidirectional,0.3115597244693503,0.5411522891672955,0.09225448207977832,0.0004509999999999792,0.27465433400000006,0.27510533400000003
3,Random Sampling (p=0.7),0.3121741750765925,0.5422039472379189,0.0775307641371172,0.010162084000000071,0.37590599900000043,0.3860812090000003
3,Random Sampling (p=0.8),0.3201304930818314,0.5414036845151549,0.07316408554605036,0.010175000000000267,0.35612700000000075,0.3663121250000003
3,Non-random,0.3563497392668952,0.5668758789292798,0.09255835916207956,0.0,0.32298545899999986,0.3229858339999998
4,Random Projection,0.3365440950859909,0.5747781232961147,0.11031137702642844,,,0.2196582920000001
4,CountSketch,0.3109343401452222,0.5522432408069975,0.10131914057558965,5.783399999970129e-05,0.21975329100000085,0.21981112500000055
4,SIGN Bidirectional,0.31818125911767475,0.5541590551773624,0.09378684781872419,0.0006691669999998595,0.27369287500000006,0.2743620419999999
4,Random Sampling (p=0.7),0.3260160776312799,0.5194461627090752,0.07058782729068819,0.010062542000000008,0.3655305840000018,0.37560029200000145
4,Random Sampling (p=0.8),0.33618838458551864,0.5508462949379505,0.07926234555258968,0.010112375000000284,0.3437121249999997,0.353831207999999
4,Non-random,0.3398378048017212,0.5715266803302281,0.09508746769980886,0.0,0.3644025419999988,0.36440299999999937
5,Random Projection,0.3367013139912268,0.5500124252414799,0.10446175417058289,,,0.23312158400000094
5,CountSketch,0.3442857305826824,0.5670071152983462,0.11289110901939549,5.7709000000016886e-05,0.2377715829999989,0.23782929199999892
5,SIGN Bidirectional,0.307711855983215,0.5591949588015868,0.10134330517313656,0.00046337500000070975,0.2752289999999995,0.2756923750000002
5,Random Sampling (p=0.7),0.3350984380738118,0.5370070561735633,0.09143023910179857,0.010160791000000557,0.383482291,0.3936520409999993
5,Random Sampling (p=0.8),0.31976242985402037,0.5325492195476024,0.06680945737826711,0.014795166000000748,0.38174016699999846,0.3965451249999994
5,Non-random,0.34439900531483236,0.5660860116048314,0.08427164024214182,0.0,0.36492279100000147,0.36492304100000084
6,Random Projection,0.3012363491914214,0.5377288359926015,0.07393255430449798,,,0.24043320899999898
6,CountSketch,0.3088512133360217,0.5447101302530425,0.10044304643808802,5.979100000175208e-05,0.21981062599999923,0.21987041700000098
6,SIGN Bidirectional,0.3079865171935018,0.5428505678131961,0.08882231797995889,0.00046279200000043375,0.2438094159999995,0.24427220799999994
6,Random Sampling (p=0.7),0.3112764551638086,0.5363548554037251,0.0692215438902836,0.00997774999999912,0.3563127080000008,0.36629875000000034
6,Random Sampling (p=0.8),0.31828101763054173,0.5434618355995169,0.08130100291094763,0.010050166999999277,0.35731987499999995,0.367378875
6,Non-random,0.3564162596657113,0.5677093897194387,0.0903070820036412,0.0,0.338378917,0.33837962499999996
7,Random Projection,0.319556098962969,0.5448079426124888,0.11153314822972667,,,0.2684003750000006
7,CountSketch,0.2826337558610711,0.5302936384083073,0.09936280680115275,9.24999999991627e-05,0.2442168330000012,0.24430933300000035
7,SIGN Bidirectional,0.29125687377620824,0.5273509670220162,0.07457744960719274,0.0004589590000012578,0.2710577499999989,0.27151670900000013
7,Random Sampling (p=0.7),0.29703386558983835,0.5207691695436543,0.0674763449675618,0.010082583999999173,0.4336941250000006,0.44378287500000013
7,Random Sampling (p=0.8),0.3312339883930519,0.5487427430351689,0.0769123631684681,0.010175625000000466,0.3280127919999991,0.3381947080000014
7,Non-random,0.3342311562611016,0.5707510847309344,0.09674474520913805,0.0,0.33384058399999894,0.3338411669999992
8,Random Projection,0.3195750942125408,0.5543369681066915,0.1193631861273284,,,0.22115316600000057
8,CountSketch,0.35146101813090413,0.5523779122182654,0.09748543338599405,5.683300000036695e-05,0.20854833299999953,0.2086051659999999
8,SIGN Bidirectional,0.33675300543871906,0.5370078599574796,0.11000232957811802,0.00044920900000100517,0.24671224899999977,0.24716145800000078
8,Random Sampling (p=0.7),0.2911444957103295,0.5260131809181243,0.06636789572165427,0.010556916999998833,0.3176088330000013,0.3281778339999999
8,Random Sampling (p=0.8),0.31311461664267914,0.5447312640153937,0.08305298848245185,0.010009290999999365,0.3363153340000036,0.34633145799999987
8,Non-random,0.3595208807980839,0.5732895199111318,0.1199567452697174,0.0,0.3139117500000026,0.31391212500000165
9,Random Projection,0.31481910785736283,0.5486407758748455,0.10406654114227062,,,0.21905508300000065
9,CountSketch,0.3173249002937065,0.5600173043931329,0.09419218979235021,5.595800000079976e-05,0.2334606259999994,0.2335165840000002
9,SIGN Bidirectional,0.3266016721005477,0.547778939057887,0.082192721744738,0.00045420800000073314,0.2685779169999982,0.26903212499999896
9,Random Sampling (p=0.7),0.2980261418836842,0.5469457463023906,0.09316026325737455,0.009900042000001719,0.3396167499999976,0.3495295000000027
9,Random Sampling (p=0.8),0.32151905585811225,0.5390729676601108,0.09042262001513567,0.010154291999999288,0.3542121260000002,0.36437320799999995
9,Non-random,0.35154063806735103,0.5657793449052791,0.09326683581633051,0.0,0.33358495799999943,0.3335854999999981
10,Random Projection,0.3519422515977733,0.5638088010826737,0.1120981716237677,,,0.23233112500000175
10,CountSketch,0.32196842215404314,0.5535966048297173,0.08749416507461727,5.958399999883568e-05,0.22267583300000027,0.2227354169999991
10,SIGN Bidirectional,0.30207867501686936,0.541514715913983,0.08882021255294786,0.000450125000000412,0.29848733399999716,0.2989374589999976
10,Random Sampling (p=0.7),0.32655430829142335,0.5299865708435672,0.07380449569687345,0.009979957999998845,0.3572339580000019,0.36722291599999934
10,Random Sampling (p=0.8),0.34311274656313123,0.5507117839628936,0.08270585031025036,0.009990916999999655,0.33718445800000296,0.34718220799999955
10,Non-random,0.33737751571913616,0.5652734008251857,0.08822850371497125,0.0,0.3381389580000018,0.3381392500000011
11,Random Projection,0.30239646402449555,0.5505836730004503,0.09260728592845748,,,0.22743233299999943
11,CountSketch,0.32894006853928354,0.5388042951217076,0.09428043905219247,5.845900000167603e-05,0.22028204099999726,0.22034049999999894
11,SIGN Bidirectional,0.29160530622081277,0.5547002993548527,0.10141117832057396,0.0004570410000006575,0.25568016699999774,0.2561372079999984
11,Random Sampling (p=0.7),0.29673160090249756,0.5260090191231919,0.07316996878146698,0.009940374999999335,0.35545545800000156,0.3654024999999983
11,Random Sampling (p=0.8),0.3218224041850166,0.5431706540657938,0.07852708463576068,0.010035708000000199,0.36102670799999714,0.3710698749999999
11,Non-random,0.3725483340728303,0.5727738410905189,0.08805773675077437,0.0,0.3423395830000011,0.3423400000000001
12,Random Projection,0.3050847021178025,0.5557936496505196,0.0979175102972128,,,0.23344720800000118
