method,F1_mean,F1_std,NMI_mean,NMI_std,ARI_mean,ARI_std,time_rand_mean,time_rand_std,time_post_mean,time_post_std,time_total_mean,time_total_std
CountSketch,0.3213509377199604,0.018341262330316535,0.5483347077406606,0.008963226243831389,0.09693108694915367,0.011628443978548886,3.266239946242422e-05,8.436612220037282e-06,0.7456956668014755,0.24828190936283534,0.7457283292009379,0.24828471482568779
Non-random,0.3532200716986652,0.01295781282043162,0.5676991842057488,0.004887910365374849,0.09373719614573275,0.009575425517533338,0.0,0.0,0.8264027439981874,0.19104886960903572,0.8264029771482455,0.1910488786179556
Random Projection,0.3202607384232371,0.012859407483295199,0.5513131485110154,0.00867738962057432,0.09988306071473321,0.011700207149968994,,,,,0.9092321312018612,0.32404415363695943
Random Sampling (p=0.7),0.30810546761515767,0.012479020963199944,0.5305990004558165,0.007637237481905454,0.07706029399001116,0.008747549623098575,0.0009715522515762132,0.00025859653685468765,0.7723021812016668,0.1613883541865927,0.7732895063476463,0.1614495069792327
Random Sampling (p=0.8),0.3261950282671634,0.014171289361686336,0.5428691977669833,0.005501108596649998,0.08226778699291312,0.006864130332683067,0.0011873436997120734,0.00036163284068121043,0.9663996228504402,0.17356926404883863,0.967607918799331,0.17355451707782396
SIGN Bidirectional,0.31651377281131254,0.018292120244597445,0.547883886649821,0.008236254663335172,0.09467433673259587,0.009449385220322286,0.00018111034805770032,4.806540935929935e-05,1.1158344105504512,0.6814932281183714,1.1160155208985088,0.6815130113188155
