,Random Projection,Random Sampling (p=0.7),Random Sampling (p=0.8),CountSketch,SIGN Bidirectional,Non-random
Random Projection,1.0,0.7385507982712141,0.7428608780852856,0.7816442878718405,0.7888438370742037,0.7655290290312966
Random Sampling (p=0.7),0.7385507982712141,1.0,0.7496083726869237,0.7464285665668027,0.7533901858017851,0.7351561189382512
Random Sampling (p=0.8),0.7428608780852856,0.7496083726869237,1.0,0.7515918635349449,0.7552625475256362,0.7536717070924174
CountSketch,0.7816442878718405,0.7464285665668027,0.7515918635349449,1.0,0.795968012508472,0.767211580064948
SIGN Bidirectional,0.7888438370742037,0.7533901858017851,0.7552625475256362,0.795968012508472,1.0,0.7757547175156445
Non-random,0.7655290290312966,0.7351561189382512,0.7536717070924174,0.767211580064948,0.7757547175156445,1.0
