rho_n,reps,hyperedges_mean,hyperedges_std,degree_mean,degree_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ari_mean,ari_std,nmi_mean,nmi_std,generation_wall_sec_mean,zhou_theta_build_wall_sec_mean,eigen_decomposition_wall_sec_mean,kmeans_wall_sec_mean,spectral_clustering_wall_sec_mean,algorithm_total_wall_sec_mean,cpu_time_sec_mean,wall_clock_sec_mean,peak_traced_memory_mb_mean,rss_delta_mb_mean
0.25,10,3160.4,55.785701075136174,0.94812,0.016735710322540842,0.38959,0.007087461542125704,0.6583300000000001,0.0037363232075278167,0.00024671199314863683,0.00041626939882787614,0.0005885387900964121,0.000677077439442633,0.11206962087890134,0.010342383524402976,0.06633655838668347,0.17947475413093344,0.2460361914942041,0.3684430126217194,2.5837154000000004,0.41990733329439534,5.5049241065979,3.1375
0.5,10,6265.5,92.28849693578634,1.8796499999999998,0.02768654908073592,0.15324,0.005675326715999113,0.6597,0.003819249489973992,0.0001468090000581224,0.0002692174116438074,0.0009311605213773213,0.0007085416149527116,0.19779595847940074,0.01585869159316644,0.025471708388067782,0.21902752091409639,0.24466180830495432,0.458312045969069,3.439183900000002,0.5115961416857318,6.688101291656494,0.54375
1.0,10,12496.9,99.70005015043876,3.7490700000000006,0.0299100150451314,0.02414,0.0018661904154363953,0.6581699999999999,0.005355796444559444,0.00032862725834280283,0.0005339821106105644,0.002736553840197488,0.0013099212860102109,0.425243733485695,0.028652970877010374,0.017722499987576155,0.23541134997503832,0.253278624988161,0.70717111681588,3.765937600000001,0.7827770459116437,8.983787059783936,1.5
2.0,10,25107.6,141.95789673154704,7.53228,0.042587369019463986,0.0006100000000000001,0.00026436506745197805,0.1024,0.0024262453846770437,0.7163734295068223,0.006125366171956629,0.6351820924625319,0.006217422813508345,0.8971746709547006,0.060258733481168746,0.014293233398348093,0.13066190818790346,0.1450772791984491,1.102506816724781,3.3785415000000043,1.2399099040776491,13.845627307891846,1.0703125
4.0,10,50310.0,249.21387512647811,15.093,0.07476416253794338,0.0,0.0,0.01696,0.0013525284963110144,0.9497632982173843,0.00395606913189884,0.9113702781136069,0.005917286574015542,1.7762501457356847,0.10408046238590032,0.01115857510594651,0.08946749570313842,0.10072391248540953,1.9810493872035295,4.523689599999995,2.202800120820757,26.451656532287597,2.93125
8.0,10,100737.5,193.6211937435226,30.221249999999998,0.058086358123056535,0.0,0.0,0.00057,0.0002540778533354601,0.9982907383334971,0.0007616136436659166,0.9955819533704128,0.0018432594881977553,3.3702393958112227,0.2159937291056849,0.01679520816542208,0.08948157478589565,0.10638899188488722,3.6926172285689973,6.416363199999995,4.083765516791027,51.61215763092041,9.503125
16.0,10,201521.9,533.3396770456043,60.45657,0.16000190311368045,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.896710874990094,0.44051300410646943,0.017722420999780296,0.0754570705932565,0.09326810000929982,7.430488720687572,10.6167328,8.159001575002913,101.67042255401611,18.946875
