rho_n,rep,seed,n,K,m,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eigensolver,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_core_eigensolver,cs_lift_sec,cs_hash_seed,cs_sparse_explicit_sketch_sec
2.0,1,220260507,5000,3,3,12385,79147,0.00316588,0.1632680000038817,0.0199398000258952,1,0.0002,7.431,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Non-random,non_random,0.1018,0.7178532670602344,0.6366806377320954,0.0340738999657332,eigsh,0.0103349999990314,0.0001318000722676,0.0620883998926728,0.0725614000111818,1.000000000000001,0.7438616954635352,0.2557629999937489,0.984375,0.1085808000061661,2.766521453857422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1,220260507,5000,3,3,12385,79147,0.00316588,0.1632680000038817,0.0199398000258952,1,0.0002,7.431,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Gaussian random projection,gaussian_random_projection,0.1376,0.6299550169818419,0.5498006253030229,0.0324857000960037,,0.1067496999166905,0.0002856999635696,0.0640609000110998,0.1711060999659821,0.9997230795454972,0.7327277984863029,0.3543040999211371,1.21875,0.2054563999408856,26.20546245574951,,,,0.007685900083743,0.0474813000764697,0.039631100022234,0.0077609999570995,0.0030603000195696,eigsh,0.0003600999480113,,,,,,,,,,,,,,,,,,,,,
2.0,1,220260507,5000,3,3,12385,79147,0.00316588,0.1632680000038817,0.0199398000258952,1,0.0002,7.431,19.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Random sampling,random_sampling,0.2976,0.3163054037783102,0.2715438790735514,0.0322436999995261,,0.0283837000606581,8.519995026290417e-05,0.0945076999487355,0.1229826000053435,1.0829248318237377,0.8823320869689033,0.3061843999894336,1.28125,0.1570575999794528,3.660078048706055,,,,,,,,,,,0.0033048000186681,eigsh,0.02506060001906,42073.0,29614.0,0.7,55659.0,,,,,,,,,,,,,,
2.0,1,220260507,5000,3,3,12385,79147,0.00316588,0.1742262500000038,0.028185792000044785,1,0.0002,7.431,19.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,2.88e-06,3.2e-07,sparse,CountSketch random projection,countsketch_random_projection,0.1462,0.6095293122606676,0.529904067451197,0.019211250000012114,,0.15123591700000816,0.0002240840000240496,0.0930187920000094,0.24448408400002108,0.9997784139377281,0.7296511963658321,0.4468908350000902,2.1556100000000242,0.2651738749999595,20.93106460571289,609.9453125,609.9453125,0.0,,,,,,,,,,,,,,,0.0003731660000312331,163.0,16.0,43.0,0.0,0.0021675419999951373,0.04090175000004592,0.0934280419999709,0.009604333000027054,0.0044377500000223336,eigsh,0.0002721249999808606,3189182342.0,0.0021675419999951373
2.0,2,220260508,5000,3,3,12686,80926,0.00323704,0.1930003999732434,0.0197960999794304,4,0.0008,7.6116,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Non-random,non_random,0.098,0.7274887701318632,0.6465547321063757,0.0344199000392109,eigsh,0.0092925999779254,0.000105099985376,0.0607182000530883,0.0701227000681683,1.0,0.7406933508054796,0.2829123999690637,1.015625,0.1058319999137893,2.819125175476074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2,220260508,5000,3,3,12686,80926,0.00323704,0.1930003999732434,0.0197960999794304,4,0.0008,7.6116,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Gaussian random projection,gaussian_random_projection,0.1342,0.6377626737691671,0.5567966788641787,0.031650900025852,,0.0966944999527186,0.0002922000130638,0.0634871999500319,0.1604820999782532,0.9997508163828588,0.7267588481135333,0.3732703998684883,1.140625,0.1938722999766469,26.22557258605957,,,,0.0076404000865295,0.0428044000873342,0.0352484000613912,0.0065798999276012,0.0033029000042006,eigsh,0.0002821999369189,,,,,,,,,,,,,,,,,,,,,
2.0,2,220260508,5000,3,3,12686,80926,0.00323704,0.1930003999732434,0.0197960999794304,4,0.0008,7.6116,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Random sampling,random_sampling,0.2564,0.3799886859833307,0.3235222189733584,0.0334890999365597,,0.0240671000210568,8.320005144923925e-05,0.0800487000960856,0.1042044999776408,1.0737559049885264,0.8710901955442918,0.3169955001212656,1.234375,0.1394296999787911,3.723897933959961,,,,,,,,,,,0.0034103000070899,eigsh,0.0206409000093117,42961.0,29982.0,0.7,56524.0,,,,,,,,,,,,,,
2.0,2,220260508,5000,3,3,12686,80926,0.00323704,0.18574358300003269,0.02794520900005182,4,0.0008,7.6116,18.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,2.88e-06,3.2e-07,sparse,CountSketch random projection,countsketch_random_projection,0.1386,0.6273231440409257,0.5465376011628232,0.017680291999965903,,0.13863424999999552,0.0002074170000128106,0.09039304199995968,0.22923937499996327,0.999739530920032,0.7284729391662296,0.4429235010000525,2.1445979999999736,0.2484058340000388,20.969406127929688,609.953125,609.953125,0.0,,,,,,,,,,,,,,,0.0003693340000268108,163.0,17.0,45.0,0.0,0.0021470419999900514,0.0367968329999826,0.08655491700000084,0.008424042000001464,0.003964916000029461,eigsh,0.00033537499996327824,1848652628.0,0.0021470419999900514
2.0,3,220260509,5000,3,3,12797,81615,0.0032646,0.1825117999687791,0.0199226000113412,7,0.0014,7.6782,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Non-random,non_random,0.1102,0.6966203361752926,0.6148148414197822,0.0356309000635519,eigsh,0.0125046999892219,0.0001126999268308,0.0622450000373646,0.0748690000036731,1.0000000000000009,0.7378033580706385,0.2772967999335378,1.0,0.1123197999550029,2.842780113220215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,3,220260509,5000,3,3,12797,81615,0.0032646,0.1825117999687791,0.0199226000113412,7,0.0014,7.6782,18.0,12577.9321472,2.5155864294400003,7.54675928832,0.1109777955591118,2.88e-06,3.2e-07,sparse,Gaussian random projection,gaussian_random_projection,0.169,0.5571499269956821,0.4802701935407065,0.0330992999952286,,0.0947272999910637,0.0002415999770164,0.0691540000261738,0.1641301999334246,0.9997822243340176,0.7201694738846081,0.3665572999743745,1.078125,0.1989740999415516,26.2337064743042,,,,0.0071387001080438,0.0415196000831201,0.0349904000759124,0.0068077000323683,0.003343699965626,eigsh,0.0002755000023171,,,,,,,,,,,,,,,,,,,,,
