alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
0.05,1,Random Projection,9.02288384756749,1.2135416666666667,0.0098288610000007,0.3097204170189798,0.0573888329963665,0.1420613749942276,0.0001226250024046,0.0096362079784739,0.0005470420001074,0.0011901670077349,0.0040645829867571,0.0001787089859135,1.3834011042490602e-05,0.2939562920073513,0.3097204170189798,0.3097094599797856,1.095703919418156e-05,0.509170625009574,,,,,,,,,,,,,,,,,,
0.05,1,Random Sampling,13.010919611124184,0.8567708333333333,0.003992944611957,0.3995918330037966,0.0573888329963665,0.5369492500030901,,,,,,,,,0.3995918330037966,0.3995819579577073,9.875046089291573e-06,0.9939299160032532,0.0122099169821012,0.0178644160041585,0.0858537500025704,0.004835166997509,0.0068693329812958,0.2719493749900721,,,,,,,,,,,,
0.05,1,Non-random,12.229043613837428,0.3671874999999999,0.0025103450725487,0.3124588750069961,0.0573888329963665,0.1213019170099869,,,,,,,,,0.3124588750069961,0.3124554170062765,3.4580007195472717e-06,0.4911496250133496,,,,,,,0.239838708017487,0.0715099169756285,0.0011067920131608,,,,,,,,,
0.05,2,Random Projection,9.47579333553126,1.3333333333333337,0.0111771457714661,0.2288426250161137,0.0152102919819299,0.1532260419917293,7.504099630750716e-05,0.002607166999951,0.0002163749886676,0.0004961249942425,0.0044434999872464,0.0001345839991699,2.700000186450779e-05,0.2208365409751422,0.2288426250161137,0.2288363329425919,6.292073521763086e-06,0.3972789589897729,,,,,,,,,,,,,,,,,,
0.05,2,Random Sampling,13.298769349922331,0.7239583333333334,0.0041042599030951,0.2360685830062721,0.0152102919819299,0.1548779590229969,,,,,,,,,0.2360685830062721,0.2360604589630384,8.124043233692646e-06,0.4061568340111989,0.0110247499833349,0.0193063750048168,0.0453404159925412,0.0013505419774446,0.0033922920119948,0.1556460839929059,,,,,,,,,,,,
0.05,2,Non-random,12.290083278522737,0.3333333333333333,0.0017546666666666,0.410510499990778,0.0152102919819299,0.1660409159958362,,,,,,,,,0.410510499990778,0.4105077490094118,2.75098136626184e-06,0.5917617079685442,,,,,,,0.2680231250124052,0.1418000830162782,0.0006845409807283,,,,,,,,,
0.05,3,Random Projection,9.57219407739853,1.5651041666666663,0.0130844689434247,0.110703124984866,0.0172285000153351,0.2207754580012988,0.000127249979414,0.0088450000039301,0.0002773329906631,0.0005535829986911,0.0030305419932119,6.795799708925188e-05,9.333016350865364e-06,0.0977878749836236,0.110703124984866,0.1106988739629741,4.251021891832352e-06,0.3487070830015,,,,,,,,,,,,,,,,,,
0.05,3,Random Sampling,12.567506382948642,0.6901041666666666,0.0023434806497184,0.3149592089757789,0.0172285000153351,0.1741347920033149,,,,,,,,,0.3149592089757789,0.314951001026202,8.20794957689941e-06,0.506322500994429,0.0071944160154089,0.014997874997789,0.0450061250012367,0.0009506669885013,0.0015777090156916,0.2452242090075742,,,,,,,,,,,,
0.05,3,Non-random,12.232541681168444,0.3697916666666667,0.0017600531336795,0.4018450000148732,0.0172285000153351,0.1414859999786131,,,,,,,,,0.4018450000148732,0.4018432489829138,1.7510319594293833e-06,0.5605595000088215,,,,,,,0.3115535409888252,0.0892822080058977,0.0010074999881908,,,,,,,,,
0.05,4,Random Projection,9.26925273083388,1.3020833333333337,0.0135652154028947,0.1220172079920303,0.0266159170132596,0.1134821670129895,7.383298361673951e-05,0.0068480420159175,0.0005597910203505,0.0043526660010684,0.0019221669936086,8.437500218860805e-05,8.99998121894896e-06,0.1081613340065814,0.1220172079920303,0.122011208004551,5.999987479299307e-06,0.2621152920182794,,,,,,,,,,,,,,,,,,
0.05,4,Random Sampling,12.369783487068894,0.6276041666666667,0.005236144087784,0.1765890830138232,0.0266159170132596,0.2567276670015417,,,,,,,,,0.1765890830138232,0.1765825000184122,6.582995411008596e-06,0.4599326670286245,0.0081401250208728,0.0115844999963883,0.0510549169848673,0.0047617079981137,0.001507291017333,0.099533959000837,,,,,,,,,,,,
0.05,4,Non-random,12.161166102392146,0.359375,0.0019715555555555,0.3601988750160672,0.0266159170132596,0.2375071669812314,,,,,,,,,0.3601988750160672,0.3601952080207411,3.666995326057077e-06,0.6243219590105582,,,,,,,0.2535489160218276,0.1019579999847337,0.0046882920141797,,,,,,,,,
