n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std,cs_draw_hash_sec_mean,cs_draw_hash_sec_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_reconstruct_sec_mean,cs_reconstruct_sec_std,cs_small_eig_sec_mean,cs_small_eig_sec_std,cs_lift_sec_mean,cs_lift_sec_std,cs_kmeans_sec_mean,cs_kmeans_sec_std,sign_draw_omega_sec_mean,sign_draw_omega_sec_std,sign_subspace_iter_sec_mean,sign_subspace_iter_sec_std,sign_reconstruct_sec_mean,sign_reconstruct_sec_std,sign_build_core_sec_mean,sign_build_core_sec_std,sign_small_eig_sec_mean,sign_small_eig_sec_std,sign_lift_sec_mean,sign_lift_sec_std,sign_kmeans_sec_mean,sign_kmeans_sec_std
200,CountSketch,0.017672691650000027,0.0041251499333268184,0.0006393189499999785,0.00018126208965800876,0.011155172999999885,0.001570564027970766,,,,,,,,,,,,,,,,,0.017672691650000027,0.0041251499333268184,0.0179581272500001,0.004220666788557371,0.0,0.0,0.02946718359999989,0.005583639415065366,,,,,,,,,,,,,,,,,,,6.354360000004888e-05,3.32704358764911e-05,0.00031117920000007794,0.00018807388536606066,0.00031117920000007794,0.00018807388536606066,0.0003073104500000534,4.743747094804238e-05,0.0002828124999999515,3.8104552298193446e-05,0.00010353759999994771,2.4232988008780395e-05,0.00012056879999988723,6.816326582446081e-05,0.00027154584999997675,4.538380281238711e-05,6.085500000119204e-06,9.71636628072923e-07,0.016180364549999958,0.003908523735253837,,,,,,,,,,,,,,
200,Non-random,0.03394092290000002,0.003338393792454564,0.0006393189499999785,0.00018126208965800876,0.011467187500000042,0.0015704689090026707,,,,,,,,,,,,,,,,,0.03394092290000002,0.003338393792454564,0.03393809994999999,0.0033383656327361034,2.822950000025415e-06,9.236093657819472e-07,0.04604742935000004,0.004984257484715941,,,,,,,,,,,,,0.018521110350000015,0.0018672381641874948,0.01539109584999998,0.0016979387572926858,2.5893749999994497e-05,3.599405334790364e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Random Projection,0.02084430825000012,0.015550147298529795,0.0006393189499999785,0.00018126208965800876,0.01114029774999994,0.0018688424262613302,4.7702050000020256e-05,1.5148379383456802e-05,0.0004226477999999423,0.00015597932430797055,0.00030330624999992396,7.312100059040963e-05,9.732710000014411e-05,3.461434774302192e-05,0.00016028319999996654,0.00013925152205784865,0.00027108534999991106,4.807691923684127e-05,7.752250000003792e-06,4.615798885727713e-06,0.019528854100000003,0.015290919679319835,0.02084430825000012,0.015550147298529795,0.020838958099999916,0.015548233211216733,5.3501500002051115e-06,2.380399972296601e-06,0.032623924950000036,0.01749971183861598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Random Sampling,0.028904551999999993,0.0034428489214239455,0.0006393189499999785,0.00018126208965800876,0.011034487499999935,0.0012759735272686776,,,,,,,,,,,,,,,,,0.028904551999999993,0.0034428489214239455,0.02890091450000005,0.0034423902269174176,3.6374999999422284e-06,1.0460352969398237e-06,0.04057835844999991,0.00459483459645897,0.0002568978999999194,4.427322732620164e-05,0.0002816499500000624,4.2691882436193156e-05,0.012290556300000043,0.0016753633268355658,7.022079999996489e-05,5.640704112305233e-05,7.144370000000677e-05,5.241305979284616e-05,0.015930145850000056,0.0020392380270692462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,SIGN Bidirectional,0.018367533350000076,0.0020723538078018535,0.0006393189499999785,0.00018126208965800876,0.010997866750000052,0.0011026597546394865,,,,,,,,,,,,,,,,,0.018367533350000076,0.0020723538078018535,0.018362399700000153,0.0020719193495882973,5.133649999922163e-06,9.711738029714786e-07,0.030004719050000107,0.002795781053012058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.803320000013045e-05,7.738281507612315e-06,0.0013830355000000517,0.00011074456904702671,0.0003765354999999415,5.161424708199871e-05,9.916245000010093e-05,2.4503227449104885e-05,0.0002651165999999927,4.696586073932866e-05,8.495799999952425e-06,6.506847879431681e-06,0.016182020649999983,0.0019370995415000731
400,CountSketch,0.021304808300000123,0.0016331211952638168,0.0021213584000000286,0.0004155121198167765,0.029373558349999794,0.0007482301119207996,,,,,,,,,,,,,,,,,0.021304808300000123,0.0016331211952638168,0.021711612149999927,0.0016319843736147825,0.0,0.0,0.05279972504999995,0.0020894764391250504,,,,,,,,,,,,,,,,,,,5.800820000003704e-05,4.0225544071869035e-06,0.0004310083499999173,2.3887930560219295e-05,0.0004310083499999173,2.3887930560219295e-05,0.0005586228999999943,4.541123808617795e-05,0.0005031666499999865,4.878156836830019e-05,0.00016560824999989343,1.7751076571898422e-05,0.0002005437000001553,6.918476467482818e-05,0.0002622790500001582,2.8425383894168075e-05,9.843849999979782e-06,5.803910635147317e-06,0.019091522849999886,0.0016295333051657775,,,,,,,,,,,,,,
400,Non-random,0.07566008545000011,0.0020451978403212535,0.0021213584000000286,0.0004155121198167765,0.031019531349999907,0.0007768592412495564,,,,,,,,,,,,,,,,,0.07566008545000011,0.0020451978403212535,0.07565689160000014,0.002044961868027683,3.193849999982845e-06,8.006429179607904e-07,0.10880097520000005,0.0022441227202601886,,,,,,,,,,,,,0.05780182300000001,0.0007627539075562999,0.017782093699999946,0.0015650416718883712,7.297490000017781e-05,9.385786890992427e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Random Projection,0.021415808300000096,0.00288168754207156,0.0021213584000000286,0.0004155121198167765,0.030694445850000075,0.0038867373889669692,8.189365000004223e-05,1.9475915563847068e-06,0.000707456099999959,8.49527605918311e-05,0.0005162917499998531,7.220288529531653e-05,0.00017441264999993323,2.858170240984808e-05,0.00018173760000008698,2.1078512117688385e-05,0.00025496874999979545,3.8980849539573525e-05,9.970900000100258e-06,3.8700026097779284e-06,0.01948417705000014,0.002841378911298482,0.021415808300000096,0.00288168754207156,0.02141090844999991,0.0028812756485636667,4.899850000184003e-06,1.4967639924009941e-06,0.0542316125500002,0.005333501580890572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Random Sampling,0.036323754149999846,0.0032317532523498927,0.0021213584000000286,0.0004155121198167765,0.029072697750000164,0.00042876032596417854,,,,,,,,,,,,,,,,,0.036323754149999846,0.0032317532523498927,0.0363194921499995,0.0032312027289825625,4.262000000343491e-06,1.1257111428945274e-06,0.06751781030000004,0.0036545021889262384,0.000758839700000058,0.00011042914916821072,0.0011093020499998384,0.0002335529304433343,0.013823837399999973,0.0009762074882460857,0.000281227099999759,0.0003510034113478118,0.00022901275000006827,4.124551829398619e-05,0.020117273149999802,0.002475256653380128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,SIGN Bidirectional,0.02539918960000005,0.0038664830861119067,0.0021213584000000286,0.0004155121198167765,0.029471841600000114,0.0007780424793176107,,,,,,,,,,,,,,,,,0.02539918960000005,0.0038664830861119067,0.025394304550000246,0.003866380030830326,4.885049999803215e-06,9.260797664539601e-07,0.05699238960000019,0.0045003915823762786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54584500002975e-05,6.689638173345493e-06,0.002547327149999834,0.00018102463144221441,0.000710041700000108,9.233255870912928e-05,0.0001692812999999127,2.2103198520766986e-05,0.00024893339999980667,2.2758765181049698e-05,8.856250000111033e-06,1.5452409747881093e-06,0.021624406300000176,0.003885988317908287
600,CountSketch,0.02523432705000008,0.0018075657207167356,0.004185643700000341,0.0005092569127355106,0.05551452920000042,0.001251136039647675,,,,,,,,,,,,,,,,,0.02523432705000008,0.0018075657207167356,0.02599642299999818,0.0019236733952559906,0.0,0.0,0.08493449995000084,0.002310144981915336,,,,,,,,,,,,,,,,,,,7.350004999961968e-05,1.6898083479983024e-05,0.000792743699999754,0.00021205646690899385,0.000792743699999754,0.00021205646690899385,0.0010693166499999407,0.0007066028719566464,0.0007860771499997199,0.00013444970496522189,0.0002955104999995406,3.253937882409381e-05,0.0003137001499997183,3.7468573203288356e-05,0.00027292284999980154,2.754685967867921e-05,1.3724949999982527e-05,4.799369053685055e-06,0.02158618330000035,0.0014239274467073395,,,,,,,,,,,,,,
600,Non-random,0.17277068320000016,0.0017622785735103826,0.004185643700000341,0.0005092569127355106,0.05974777919999959,0.0021519401920974085,,,,,,,,,,,,,,,,,0.17277068320000016,0.0017622785735103826,0.17276698105000055,0.0017618604511291836,3.702149999629256e-06,8.382770095100724e-07,0.2367041061000001,0.0032980927937821054,,,,,,,,,,,,,0.14977481035000056,0.0018717692576971615,0.02286848325000008,0.0012789712996420296,0.00012368744999990966,4.737264021680834e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
