n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,1,Random Projection,0.08657708299999989,0.0013917919999997252,0.018456540999999937,5.654199999982623e-05,0.0010441250000003954,0.00041112499999984564,0.00011349999999987759,0.0004179999999998074,0.00030079099999991143,9.041999999848116e-06,0.08421079099999984,0.08657708299999989,0.08656391599999935,1.3167000000535722e-05,0.10642541599999955,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1,Random Sampling,0.03992279200000004,0.0013917919999997252,0.015964750000000194,,,,,,,,,0.03992279200000004,0.0399186660000006,4.125999999438079e-06,0.05727933399999996,0.00039841699999998426,0.0003939160000001607,0.016232917000000402,5.783300000006264e-05,6.0833000000037885e-05,0.022774749999999955,,,,,,,,,,,,,,,,,,,,
200,1,Non-random,0.04635199999999973,0.0013917919999997252,0.017805958999999927,,,,,,,,,0.04635199999999973,0.04634937399999961,2.6260000001165906e-06,0.06554975099999938,,,,,,,0.025475541000000046,0.0207643329999998,0.00010949999999976257,,,,,,,,,,,,,,,,,
200,1,CountSketch,0.02556704200000004,0.0013917919999997252,0.016890291999999807,,,,,,,,,0.02556704200000004,0.02662029200000049,0.0,0.04384912599999957,,,,,,,,,,0.00018512500000023024,0.0011058330000000005,0.0011058330000000005,0.00046191599999989563,0.0002949170000001722,0.00016583400000014237,0.00040366700000005196,0.00041441700000000026,6.500000000020378e-06,0.022476249999999975,,,,,,,
200,1,SIGN Bidirectional,0.020937500000000053,0.0013917919999997252,0.015323709000000019,,,,,,,,,0.020937500000000053,0.02093258300000045,4.916999999604599e-06,0.0376530009999998,,,,,,,,,,,,,,,,,,,,5.4040999999838135e-05,0.0014695420000001569,0.000537875000000021,0.00011916700000025315,0.0003809170000002027,5.50000000032469e-06,0.018365540999999652
200,2,Random Projection,0.021175874999999955,0.0006860839999998092,0.01350829099999995,4.4874999999944265e-05,0.0005332909999999913,0.00026916700000034766,0.00023366600000018778,0.0005838750000002335,0.00043758300000007466,6.29200000012986e-06,0.01905970800000034,0.021175874999999955,0.02116845700000125,7.4179999987045164e-06,0.035370249999999714,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2,Random Sampling,0.030824000000000407,0.0006860839999998092,0.011262875000000339,,,,,,,,,0.030824000000000407,0.03082091700000067,3.082999999737268e-06,0.042772959000000554,0.00030495800000007733,0.00040437500000001236,0.012636167000000142,4.966700000030855e-05,5.1125000000151744e-05,0.017374624999999977,,,,,,,,,,,,,,,,,,,,
200,2,Non-random,0.03563441600000017,0.0006860839999998092,0.011669041999999852,,,,,,,,,0.03563441600000017,0.03563241599999989,2.000000000279556e-06,0.04798954199999983,,,,,,,0.01956237500000002,0.016055916000000003,1.412499999986494e-05,,,,,,,,,,,,,,,,,
200,2,CountSketch,0.0309015829999999,0.0006860839999998092,0.013764083999999954,,,,,,,,,0.0309015829999999,0.03119966600000046,0.0,0.04535175099999966,,,,,,,,,,4.708300000011434e-05,0.00032020800000021055,0.00032020800000021055,0.0003368750000003473,0.0003002500000000019,0.000124082999999775,0.00011204200000003439,0.00030274999999990726,5.707999999771118e-06,0.029330459000000086,,,,,,,
200,2,SIGN Bidirectional,0.02010758300000015,0.0006860839999998092,0.01206633299999993,,,,,,,,,0.02010758300000015,0.020101333000000388,6.249999999763389e-06,0.03285999999999989,,,,,,,,,,,,,,,,,,,,4.687500000022382e-05,0.0013649170000000765,0.00035345800000019523,9.479200000006571e-05,0.00027758299999991465,6.54199999994276e-06,0.01795716599999997
