n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
200,CountSketch,8.19221667748442,0.2987390465783732,0.9418815015829942,0.31149495127496285,0.032739655163056054,0.010044752220038202,0.017672691650000027,0.0041251499333268184
200,Non-random,9.3994694984809,0.14945168034427422,0.5739936680235187,0.1596106987986799,0.02368843850890716,0.01105189229660241,0.03394092290000002,0.003338393792454564
200,Random Projection,8.087043483485346,0.26524842144988303,1.025203527815468,0.32582814768996354,0.03352721811189631,0.012266849931493679,0.02084430825000012,0.015550147298529795
200,Random Sampling,10.86636872244245,0.4563128743676747,1.1098710990502034,0.276863859715445,0.034434091021304826,0.012676392896792399,0.028904551999999993,0.0034428489214239455
200,SIGN Bidirectional,8.030138957696234,0.2641397555983723,1.0841813658977837,0.3011802290371225,0.03388457215961392,0.010052265053970713,0.018367533350000076,0.0020723538078018535
400,CountSketch,10.167155015638155,0.45464459229413456,0.3134356413421614,0.07998477755990065,0.025542991732824316,0.0068754375194198265,0.021304808300000123,0.0016331211952638168
400,Non-random,13.391588108262706,0.12608132306538436,0.11363202783077095,0.02636276403570335,0.007878764012936522,0.0024050599363096945,0.07566008545000011,0.0020451978403212535
400,Random Projection,10.347853361592348,0.6413165110598998,0.3375294579732914,0.1666916997944851,0.025665143943451207,0.010793707392270356,0.021415808300000096,0.00288168754207156
400,Random Sampling,13.158859607883567,0.42551019783123484,0.36376108180900013,0.0841550087593111,0.013937372202886655,0.005640726118625982,0.036323754149999846,0.0032317532523498927
400,SIGN Bidirectional,10.359524605715865,0.32504317197609334,0.5451576702951408,0.22547430159505408,0.03085125363094286,0.011431154539359506,0.02539918960000005,0.0038664830861119067
600,CountSketch,11.628363135375299,0.39447179562425727,0.08275,0.03469699668483381,0.016201579736759703,0.005103542458619705,0.02523432705000008,0.0018075657207167356
600,Non-random,16.383204178191853,0.12243167673618273,0.023,0.007504384683215819,0.004244759571566732,0.0017707181037129396,0.17277068320000016,0.0017622785735103826
600,Random Projection,11.526359982435498,0.5557463993328176,0.0745,0.02517831146882278,0.013491314168144336,0.003863486728650787,0.023808256199999534,0.0011927540772657323
600,Random Sampling,14.66261533798264,0.32029312404773097,0.1155,0.02389120075852636,0.009557204079749216,0.003680714348144198,0.0538516916499999,0.002693225218547767
600,SIGN Bidirectional,11.873779097360826,0.6257827564737569,0.233,0.1115135111002014,0.021355691065466188,0.007059546404059219,0.030742339600000168,0.002307797094778032
800,CountSketch,12.808082966076977,0.31403646808570773,0.01875686407028808,0.011737830601753556,0.008882995815082869,0.00291505300795267,0.029944247950000325,0.002623417596668547
800,Non-random,18.961617674069203,0.10325270731753863,0.0063747852778012455,0.004881033249623998,0.0036006929485655446,0.001246164030555143,0.2694209604499999,0.006825502661051809
800,Random Projection,12.821907469368341,0.33599162780016717,0.017065838754188843,0.011120045698808334,0.00870615434748504,0.0031886859524263723,0.027768556100000195,0.002792665885982132
800,Random Sampling,16.279322610867606,0.4086285689474768,0.04799850750471685,0.020271609060541627,0.0059419741392363525,0.0028083073548590388,0.06672327920000072,0.005212312287738391
800,SIGN Bidirectional,13.122495718583291,0.4771067219380717,0.07668680127284504,0.031171926089298748,0.012599465871052023,0.0031860528674993505,0.0371322854999999,0.003005793899806257
1000,CountSketch,13.758694291857264,0.4788318416210226,0.0037510564456672236,0.0034929228912720517,0.006730320123024665,0.002102537037857642,0.03215141050000057,0.004351519116999066
1000,Non-random,21.253255762274442,0.11922746431206781,0.0016489543435651219,0.0018133398500453433,0.0027401912824279546,0.0012561458891774122,0.3385053292000002,0.009738021090765282
1000,Random Projection,13.585312128945574,0.22745417153928357,0.0033001564438690186,0.0030645090854114175,0.0053661882213258275,0.001799720844790606,0.030438987449999642,0.0021244031356698967
1000,Random Sampling,17.234117885382297,0.3456661156963788,0.01380257503011994,0.006414819105055351,0.004268267138307956,0.0020508382142706465,0.07056052709999996,0.0038771929607436975
1000,SIGN Bidirectional,14.072188852108425,0.42090542068335285,0.022799446152739565,0.015796663936845555,0.00905911354615525,0.0030636466644989855,0.03976584174999971,0.0023008072911595663
1200,CountSketch,14.678398466462777,0.3029532759057683,0.0015,0.002051956704170308,0.0044125064393986686,0.0012111224649184985,0.0335936814500009,0.002652280846039869
1200,Non-random,23.252216798231963,0.09356072430891739,0.00075,0.001175405864954068,0.0023379032175192154,0.0007086651061022532,0.47684563110000083,0.012800116695187646
1200,Random Projection,14.661355463505881,0.2564744381386352,0.00125,0.0017206180040292133,0.004109023677941425,0.0011338969432296735,0.03025165839999886,0.0021848043344942936
1200,Random Sampling,18.43879497618294,0.3858827602597332,0.006625000000000001,0.004313000543033877,0.003443240492160181,0.0011427798303805547,0.0765565290500028,0.006057603286848266
1200,SIGN Bidirectional,15.357587193629987,0.5477956642735052,0.010125,0.008048986533131132,0.007037310356009812,0.00229553962903127,0.0404330813499989,0.00218210254140922
