experiment,n,rep,seed,K,m,rho_n,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,method_wall_sec,algorithm_total_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
n_scaling_reference_signal,3000,1,2326050707,6,3,16.0,36.0,4.0,32.0,6.4e-05,7.111111111111111e-06,39223,234688,0.026076444444444444,0.2367667080834508,0.040896750055253506,sparse,0,0.0,39.223,68.0,39036.508444444444,13.01216948148148,39.03650844444444,0.027638966157498352,Non-random eigsh,non_random,0.11399999999999999,0.7450072506321777,0.7032972837081684,0.0026210839860141277,0.01200233306735754,5.020899698138237e-05,0.0697129579493776,0.0817667079390958,1.0000000000000002,0.5013950195799606,0.08399354200810194,0.3594289581524208,,,,,,,,,,,,,,,,,,,,,
n_scaling_reference_signal,3000,1,2326050707,6,3,16.0,36.0,4.0,32.0,6.4e-05,7.111111111111111e-06,39223,234688,0.026076444444444444,0.2367667080834508,0.040896750055253506,sparse,0,0.0,39.223,68.0,39036.508444444444,13.01216948148148,39.03650844444444,0.027638966157498352,Gaussian RP,gaussian_random_projection,0.7853333333333333,0.009028340818390643,0.015159420391904,0.003178332932293415,0.01875837508123368,7.637508679181337e-05,0.36840041703544557,0.3872362499823794,0.9168575521384486,0.42191224594061266,0.3899809999857098,0.6648986253421754,0.0006583749782294035,0.008722333004698157,0.005902375094592571,0.002332541043870151,0.0010412080446258187,7.90000194683671e-05,,,,,,,,,,,,,,,
n_scaling_reference_signal,3000,1,2326050707,6,3,16.0,36.0,4.0,32.0,6.4e-05,7.111111111111111e-06,39223,234688,0.026076444444444444,0.2367667080834508,0.040896750055253506,sparse,0,0.0,39.223,68.0,39036.508444444444,13.01216948148148,39.03650844444444,0.027638966157498352,Random sampling,random_sampling,0.786,0.00472735211875056,0.008619188576175735,0.0023971250047907233,0.03595158306416124,0.00012362503912299871,0.24756216700188816,0.28364058304578066,1.4446646473263787,1.2777713362260765,0.2856226669391617,0.5613008332438767,,,,,,,0.0057215000269934535,118844.0,35643.0,0.3,,,,,,,,,,,
n_scaling_reference_signal,3000,1,2326050707,6,3,16.0,36.0,4.0,32.0,6.4e-05,7.111111111111111e-06,39223,234688,0.026076444444444444,0.2367667080834508,0.040896750055253506,sparse,0,0.0,39.223,68.0,39036.508444444444,13.01216948148148,39.03650844444444,0.027638966157498352,CountSketch RP,countsketch_random_projection,0.7846666666666666,0.007567128913248883,0.012849568862497024,0.0019518340704962611,0.015272582997567952,0.0003415420651435852,0.42471887508872896,0.44033700006548315,0.899676809133868,0.4202262436355585,0.44329654099419713,0.7179964582901448,,,,,,,,,,,0.00012162502389401197,36.0,66.0,94.0,0.0,0.0020413330057635903,0.00661925005260855,0.003579250071197748,0.002324083005078137,0.0004351249663159251,7.008400280028582e-05
n_scaling_reference_signal,3000,2,2326050708,6,3,16.0,36.0,4.0,32.0,6.4e-05,7.111111111111111e-06,38830,232458,0.025828666666666666,0.2409508329583332,0.04155508300755173,sparse,0,0.0,38.83,63.0,39036.508444444444,13.01216948148148,39.03650844444444,0.027638966157498352,Non-random eigsh,non_random,0.133,0.7063839505724215,0.6669693935041244,0.002302333014085889,0.013813583995215595,5.216698627918959e-05,0.09618883300572634,0.11005591694265604,1.0000000000000004,0.5009934856355297,0.11184316698927432,0.39256049995310605,,,,,,,,,,,,,,,,,,,,,
n_scaling_reference_signal,3000,2,2326050708,6,3,16.0,36.0,4.0,32.0,6.4e-05,7.111111111111111e-06,38830,232458,0.025828666666666666,0.2409508329583332,0.04155508300755173,sparse,0,0.0,38.83,63.0,39036.508444444444,13.01216948148148,39.03650844444444,0.027638966157498352,Gaussian RP,gaussian_random_projection,0.7733333333333333,0.00954869732803596,0.015450941619145096,0.0018647500546649098,0.016198165947571397,0.0008944999426603317,0.39632349996827543,0.4134181250119582,0.9068860688342835,0.42092178856024337,0.41491787508130074,0.6959220818243921,0.000680584111250937,0.006949124974198639,0.002696041949093342,0.0032446670811623335,0.0005273750284686685,0.0020854169270023704,,,,,,,,,,,,,,,
n_scaling_reference_signal,3000,2,2326050708,6,3,16.0,36.0,4.0,32.0,6.4e-05,7.111111111111111e-06,38830,232458,0.025828666666666666,0.2409508329583332,0.04155508300755173,sparse,0,0.0,38.83,63.0,39036.508444444444,13.01216948148148,39.03650844444444,0.027638966157498352,Random sampling,random_sampling,0.7863333333333333,0.007176373722893208,0.012879412406002471,0.001854750094935298,0.02701150008942932,0.00014424999244511127,0.1765242920955643,0.20368216698989272,1.4341459691080403,1.2744925152423903,0.20543774997349828,0.48618595814332366,,,,,,,0.0041567920707166195,117729.0,35292.0,0.3,,,,,,,,,,,
n_scaling_reference_signal,3000,2,2326050708,6,3,16.0,36.0,4.0,32.0,6.4e-05,7.111111111111111e-06,38830,232458,0.025828666666666666,0.2409508329583332,0.04155508300755173,sparse,0,0.0,38.83,63.0,39036.508444444444,13.01216948148148,39.03650844444444,0.027638966157498352,CountSketch RP,countsketch_random_projection,0.7763333333333333,0.007924026462545792,0.013096558230738355,0.002467541955411434,0.01884912501554936,0.00016858289018273354,0.3723855830030516,0.3914048749720678,0.9133194687127191,0.4206155300984364,0.39263899996876717,0.6739092068746686,,,,,,,,,,,9.770900942385197e-05,36.0,69.0,105.0,0.0,0.0019674169598147273,0.005615333910100162,0.003478500060737133,0.005902583012357354,0.001043083961121738,0.000730917090550065
n_scaling_reference_signal,3000,3,2326050709,6,3,16.0,36.0,4.0,32.0,6.4e-05,7.111111111111111e-06,39247,234804,0.026089333333333332,0.24262195907067508,0.03755716700106859,sparse,0,0.0,39.247,69.0,39036.508444444444,13.01216948148148,39.03650844444444,0.027638966157498352,Non-random eigsh,non_random,0.11499999999999999,0.7428830508229447,0.7009778531385291,0.002649333910085261,0.01357225002720952,5.179201252758503e-05,0.05193979199975729,0.06556516606360674,0.9999999999999999,0.503841910097359,0.06706158397719264,0.34574296011123806,,,,,,,,,,,,,,,,,,,,,
n_scaling_reference_signal,3000,3,2326050709,6,3,16.0,36.0,4.0,32.0,6.4e-05,7.111111111111111e-06,39247,234804,0.026089333333333332,0.24262195907067508,0.03755716700106859,sparse,0,0.0,39.247,69.0,39036.508444444444,13.01216948148148,39.03650844444444,0.027638966157498352,Gaussian RP,gaussian_random_projection,0.769,0.010272528246556856,0.016535804396654866,0.0017882089596241713,0.011591374990530312,0.0001990830060094595,0.36456658295355737,0.3763579169753939,0.889026502171635,0.42057999320580225,0.377791165956296,0.6565361670218408,0.000506791053339839,0.006011416087858379,0.002174749970436096,0.0020935829961672425,0.0005468749441206455,4.800001624971628e-05,,,,,,,,,,,,,,,
