group,r,method,runs,alpha_mean,alpha_std,tau_value_mean,tau_value_std,group_n_mean,group_n_std,ell_mean,ell_std,k_mean,k_std,q_mean,q_std,embedding_wall_sec_mean,embedding_wall_sec_std,clustering_wall_sec_mean,clustering_wall_sec_std,total_method_wall_sec_mean,total_method_wall_sec_std,exact_eigsh_sec_mean,exact_eigsh_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,ARI_true_mean,ARI_true_std,NMI_true_mean,NMI_true_std,F1_macro_true_mean,F1_macro_true_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_test_matrix_entry_std_mean,rp_test_matrix_entry_std_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eigh_sec_mean,rp_small_eigh_sec_std,rp_lift_sec_mean,rp_lift_sec_std,ds_bucket_build_sec_mean,ds_bucket_build_sec_std,ds_draw_and_initial_multiply_sec_mean,ds_draw_and_initial_multiply_sec_std,ds_power_iter_sec_mean,ds_power_iter_sec_std,ds_qr_sec_mean,ds_qr_sec_std,ds_build_core_sec_mean,ds_build_core_sec_std,ds_small_eigh_sec_mean,ds_small_eigh_sec_std,ds_lift_sec_mean,ds_lift_sec_std,ds_num_buckets_mean,ds_num_buckets_std,ds_min_bucket_dim_mean,ds_min_bucket_dim_std,ds_max_bucket_dim_mean,ds_max_bucket_dim_std
all,0,Degree-stratified RP,10,0.5,0.0,0.0,0.0,1222.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0016622899915091694,0.0002519088222892708,0.01948376998770982,0.006738816446626482,0.02114605997921899,0.006894692924937583,,,0.0016231000190600753,0.00024858883310104307,0.34256558754314603,0.2566807719317711,0.28978311348878266,0.2113865346619724,0.7414132424449439,0.1683769841528294,,,,,,,,,,,,,,,0.00031882000621408224,0.00018908999641256818,0.0007000100100412965,7.438594870717068e-05,0.00035548999439924953,2.3349565987663115e-05,4.557000938802958e-05,5.958936853437902e-06,0.00014828998828306795,8.426078191490025e-06,4.42699994891882e-05,6.053506723447333e-06,1.0650011245161294e-05,1.120753698038867e-06,2.0,0.0,1.0,0.0,1.0,0.0
all,0,Exact spectral,10,0.5,0.0,0.0,0.0,1222.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.006799299968406558,0.0,0.02228516001487151,0.034093420009963724,0.029084459983278067,0.034093420009963724,0.006799299968406558,0.0,0.006799299968406558,0.0,-0.00024081082708013297,0.0,0.0005978453430448398,0.0,0.33031488031643624,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,0,Gaussian RP,10,0.5,0.0,0.0,0.0,1222.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0007994700223207474,0.00011621989206331733,0.022346140001900494,0.006582383546895951,0.02314561002422124,0.006623115492629792,,,0.0007844199775718152,0.00011259621373884417,0.3981269733708463,0.17521223423859075,0.33144244555204855,0.13647371080376258,0.8002957981179556,0.0912114021336125,3.722000401467085e-05,4.662798160452141e-06,0.7071067811865475,0.0,0.0004198899958282709,4.573650158710129e-05,0.0001104900031350553,4.129251710709772e-05,0.00014796998584643006,1.3306450962370927e-05,5.6639988906681536e-05,2.181745097275694e-05,1.2209999840706588e-05,3.124625994725579e-06,,,,,,,,,,,,,,,,,,,,
all,2,Degree-stratified RP,10,0.5,0.0,0.0,0.0,1222.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0021138499723747373,0.00022718470693310056,0.017385299992747606,0.007024870485588839,0.019499149965122343,0.007114304030053778,,,0.0020694400765933095,0.00022292530728936543,0.6047305546072902,0.1281186635566012,0.5070417036581742,0.12522606628009536,0.8865242797994373,0.04171107513558389,,,,,,,,,,,,,,,0.0002611200208775699,4.1006381243490235e-05,0.0011286199907772243,0.0001554129252020618,0.0003959000343456864,3.5169429560503746e-05,6.291002500802279e-05,1.0030882047882432e-05,0.00015728999860584736,1.0951059531991523e-05,4.955999320372939e-05,7.74714636742244e-06,1.4040013775229454e-05,4.77612965993459e-06,4.0,0.0,1.0,0.0,1.0,0.0
all,2,Exact spectral,10,0.5,0.0,0.0,0.0,1222.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.006799299968406558,0.0,0.013116330013144762,0.005323982239660631,0.01991562998155132,0.005323982239660631,0.006799299968406558,0.0,0.006799299968406558,0.0,-0.00024081082708013297,0.0,0.0005978453430448398,0.0,0.33031488031643624,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,2,Gaussian RP,10,0.5,0.0,0.0,0.0,1222.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0009548099944368005,0.0004407955245208001,0.02382723999908194,0.015197238981580987,0.02478204999351874,0.01514070723234995,,,0.0009410500293597579,0.0004391391956527199,0.4098450252200327,0.19870040982140563,0.35023532291456044,0.16341722984570428,0.8050753602645644,0.09482835565648771,5.544001469388604e-05,5.310598083401632e-06,0.5,0.0,0.0005429700016975403,0.0003992050043392647,0.00010400998871773481,2.310753430820086e-05,0.0001647600205615163,1.813376275998956e-05,6.011998048052192e-05,1.6379747376844793e-05,1.375002320855856e-05,3.916112182745943e-06,,,,,,,,,,,,,,,,,,,,
all,5,Degree-stratified RP,10,0.5,0.0,0.0,0.0,1222.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0035939799970947208,0.0010358770679381088,0.028684760013129564,0.012964216853509946,0.03227874001022428,0.013018057246695615,,,0.0035199699806980787,0.0010159599343105825,0.671949159831703,0.11910437997494772,0.5708379177492953,0.11953074190963633,0.9081486273380263,0.0380795761127787,,,,,,,,,,,,,,,0.0005545599968172609,0.0006649340411431318,0.0020212700008414687,0.0004755069881114863,0.0005082299932837487,5.5288439868191435e-05,0.00011199996806681156,1.3595027701150963e-05,0.0002331400290131569,7.013283248961927e-05,7.062999065965414e-05,9.196870473152372e-06,2.0140002015978097e-05,1.1925788640986612e-05,7.0,0.0,1.0,0.0,1.0,0.0
all,5,Exact spectral,10,0.5,0.0,0.0,0.0,1222.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.006799299968406558,0.0,0.019471770024392755,0.015390014623716442,0.026271069992799313,0.015390014623716442,0.006799299968406558,0.0,0.006799299968406558,0.0,-0.00024081082708013297,0.0,0.0005978453430448398,0.0,0.33031488031643624,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,5,Gaussian RP,10,0.5,0.0,0.0,0.0,1222.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0012365299975499512,0.0002720940640707297,0.03489430001936853,0.025151848737463445,0.03613083001691848,0.025378133073249123,,,0.001220679993275553,0.00027073832437574374,0.47045687132383984,0.2046231627888362,0.3943198234763108,0.17226567617668462,0.8185579743794804,0.12895965682235908,0.00010173000628128648,1.811279081531646e-05,0.3779644730092272,0.0,0.0006391699891537428,0.00024032748575551844,0.00018533001421019434,5.6902062044914005e-05,0.00020718995947390794,1.7345750366878185e-05,7.103001698851585e-05,9.379307237326232e-06,1.623000716790557e-05,1.935075415733913e-06,,,,,,,,,,,,,,,,,,,,
all,10,Degree-stratified RP,10,0.5,0.0,0.0,0.0,1222.0,0.0,12.0,0.0,2.0,0.0,1.0,0.0,0.004387359984684735,0.0009528284210008708,0.01431684996932745,0.004834529670185826,0.018704209954012185,0.005117608765082671,,,0.0043086500139907,0.0009540146844724068,0.7310533894214796,0.059676173941284716,0.6304439156879778,0.06405171417695366,0.9269618366700229,0.0176084125672936,,,,,,,,,,,,,,,0.0002973800059407949,0.0002015894099388366,0.002050089999102056,0.0003961753127816792,0.0010844800039194525,0.00021793433277373988,0.0004915199824608862,0.00043144573286576365,0.0002895599929615855,5.354495028167189e-05,7.580001838505268e-05,1.8009827896646942e-05,1.9820011220872403e-05,7.311166140828582e-06,9.0,0.0,1.0,0.0,2.0,0.0
