group,r,metric,diff_mean_ds_minus_gaussian,diff_std,diff_se,n_pairs
all,0,ARI_true,-0.055561385827700246,0.3226363279659453,0.10202656522854674,10
all,0,NMI_true,-0.04165933206326587,0.26644017338495707,0.08425578080666393,10
all,0,F1_macro_true,-0.05888255567301167,0.19751876713740257,0.06246091847826084,10
all,0,total_method_wall_sec,-0.001999550045002252,0.007918554199633157,0.002504066704633243,10
all,2,ARI_true,0.1948855293872575,0.2088307404108265,0.06603807851575785,10
all,2,NMI_true,0.1568063807436139,0.17952818595745845,0.05677179718238254,10
all,2,F1_macro_true,0.08144891953487285,0.09540203371708326,0.030168771995816288,10
all,2,total_method_wall_sec,-0.005282900028396398,0.009145494282781554,0.002892059226163774,10
all,5,ARI_true,0.20149228850786322,0.2815695650491775,0.08904011453383413,10
all,5,NMI_true,0.17651809427298445,0.2519140930510467,0.07966223087369032,10
all,5,F1_macro_true,0.08959065295854575,0.14681702027386836,0.04642761833445419,10
all,5,total_method_wall_sec,-0.0038520900066941976,0.023081681159877528,0.007299068469101007,10
all,10,ARI_true,0.34164067062984604,0.30883490889579523,0.09766217330813098,10
all,10,NMI_true,0.29558605948664757,0.25719738049955837,0.08133295306075798,10
all,10,F1_macro_true,0.17938601517654804,0.20417662814264348,0.06456631899039879,10
all,10,total_method_wall_sec,-0.001575130014680326,0.008282414209280973,0.002619129342627037,10
all,20,ARI_true,0.2995434650692424,0.26194294212461877,0.08283363141194607,10
all,20,NMI_true,0.2802614726385138,0.222232011171652,0.07027593243024048,10
all,20,F1_macro_true,0.14411760809181123,0.18616524376384083,0.05887061914541945,10
all,20,total_method_wall_sec,-0.005038799997419119,0.011564677016896324,0.003657071977759394,10
all,40,ARI_true,0.6016732516293375,0.27305859607247035,0.08634870982769141,10
all,40,NMI_true,0.5429589677571476,0.22557086020242045,0.07133176920030787,10
all,40,F1_macro_true,0.37252004877775774,0.2385864177438666,0.075447649885103,10
all,40,total_method_wall_sec,-0.010700909956358372,0.01381696494442468,0.004369307957508379,10
high_deg_9_plus,0,ARI_true,-0.1029067557583613,0.3974269708233983,0.12567744313832227,10
high_deg_9_plus,0,NMI_true,-0.08735338569104541,0.34952384051102,0.1105291432544254,10
high_deg_9_plus,0,F1_macro_true,-0.08149787792840171,0.2678753520935697,0.08470962416352344,10
high_deg_9_plus,0,total_method_wall_sec,-0.001999550045002252,0.007918554199633157,0.002504066704633243,10
high_deg_9_plus,2,ARI_true,0.23916754384509256,0.276616270314938,0.08747374520560261,10
high_deg_9_plus,2,NMI_true,0.20139787918661917,0.22731261302460898,0.07188255980422208,10
high_deg_9_plus,2,F1_macro_true,0.09005465891479889,0.11703781861275944,0.03701060791939681,10
high_deg_9_plus,2,total_method_wall_sec,-0.005282900028396398,0.009145494282781554,0.002892059226163774,10
high_deg_9_plus,5,ARI_true,0.18530179436608857,0.2956842097938069,0.09350355710954958,10
high_deg_9_plus,5,NMI_true,0.1848578662774733,0.282857439713696,0.0894473762619045,10
high_deg_9_plus,5,F1_macro_true,0.08771775275832594,0.18047674017718568,0.05707175636423272,10
high_deg_9_plus,5,total_method_wall_sec,-0.0038520900066941976,0.023081681159877528,0.007299068469101007,10
high_deg_9_plus,10,ARI_true,0.35032770394484014,0.38022832153390085,0.12023875269499741,10
high_deg_9_plus,10,NMI_true,0.3321835995066718,0.3354887278284662,0.10609085092502683,10
high_deg_9_plus,10,F1_macro_true,0.19781505715330844,0.26212036300406544,0.08288973682029822,10
high_deg_9_plus,10,total_method_wall_sec,-0.001575130014680326,0.008282414209280973,0.002619129342627037,10
high_deg_9_plus,20,ARI_true,0.2591993974770607,0.3354264690859588,0.1060711629819687,10
high_deg_9_plus,20,NMI_true,0.2580921530096207,0.2980390490742611,0.09424822267453631,10
high_deg_9_plus,20,F1_macro_true,0.1372907520018019,0.22809909256186958,0.07213126647130795,10
high_deg_9_plus,20,total_method_wall_sec,-0.005038799997419119,0.011564677016896324,0.003657071977759394,10
high_deg_9_plus,40,ARI_true,0.5955489048094192,0.37794295851137044,0.11951605745184513,10
high_deg_9_plus,40,NMI_true,0.5607279569072618,0.32856218051667635,0.10390048434240959,10
high_deg_9_plus,40,F1_macro_true,0.3805962873428449,0.28774993328760656,0.09099451857503396,10
high_deg_9_plus,40,total_method_wall_sec,-0.010700909956358372,0.01381696494442468,0.004369307957508379,10
low_deg_1_2,0,ARI_true,0.006986389561886625,0.20715390995521338,0.06550781816679033,10
low_deg_1_2,0,NMI_true,0.012304050690802199,0.16129912529054682,0.051007262051099664,10
low_deg_1_2,0,F1_macro_true,-0.006679629128650433,0.15844094998194497,0.05010342765837601,10
low_deg_1_2,0,total_method_wall_sec,-0.001999550045002252,0.007918554199633157,0.002504066704633243,10
low_deg_1_2,2,ARI_true,0.10366994589721146,0.14214611986857062,0.044950549933999745,10
