dataset,alpha,tau_label,tau_value,group,group_n,method,rep,r,ell,k,q,test_matrix_scaling,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,exact_eigsh_sec,eigen_decomposition_wall_sec,ARI_true,NMI_true,F1_macro_true,rp_draw_omega_sec,rp_test_matrix_entry_std,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
polblogs,0.5,0,0.0,low_deg_1_2,242,Degree-stratified RP,7,2,4,2,1,by_dim,0.002314699930138886,0.01924050005618483,0.021555199986323714,,0.002272200188599527,0.2265513542680225,0.18653219532376678,0.739664976179499,,,,,,,,0.00022850011009722948,0.0013609000016003847,0.00039790000300854445,6.10999995842576e-05,0.0001561000244691968,5.2600051276385784e-05,1.5099998563528061e-05,4.0,1.0,1.0,"[1,32):n=871,ell=1;[32,64):n=184,ell=1;[64,128):n=134,ell=1;[128,512):n=33,ell=1"
polblogs,0.5,0,0.0,mid_deg_3_8,271,Degree-stratified RP,7,2,4,2,1,by_dim,0.002314699930138886,0.01924050005618483,0.021555199986323714,,0.002272200188599527,0.3162240113002505,0.2543429092648621,0.7822403813415049,,,,,,,,0.00022850011009722948,0.0013609000016003847,0.00039790000300854445,6.10999995842576e-05,0.0001561000244691968,5.2600051276385784e-05,1.5099998563528061e-05,4.0,1.0,1.0,"[1,32):n=871,ell=1;[32,64):n=184,ell=1;[64,128):n=134,ell=1;[128,512):n=33,ell=1"
polblogs,0.5,0,0.0,high_deg_9_plus,709,Degree-stratified RP,7,2,4,2,1,by_dim,0.002314699930138886,0.01924050005618483,0.021555199986323714,,0.002272200188599527,0.751978206770002,0.6483897087227691,0.9323084361040633,,,,,,,,0.00022850011009722948,0.0013609000016003847,0.00039790000300854445,6.10999995842576e-05,0.0001561000244691968,5.2600051276385784e-05,1.5099998563528061e-05,4.0,1.0,1.0,"[1,32):n=871,ell=1;[32,64):n=184,ell=1;[64,128):n=134,ell=1;[128,512):n=33,ell=1"
polblogs,0.5,0,0.0,all,1222,Exact spectral,8,2,2,2,1,by_dim,0.006799299968406558,0.011099499999545515,0.017898799967952073,0.006799299968406558,0.006799299968406558,-0.00024081082708013297,0.0005978453430448398,0.33031488031643624,,,,,,,,,,,,,,,,,,
polblogs,0.5,0,0.0,low_deg_1_2,242,Exact spectral,8,2,2,2,1,by_dim,0.006799299968406558,0.011099499999545515,0.017898799967952073,0.006799299968406558,0.006799299968406558,0.0034424824275672895,0.017798216811149955,0.3726958525345622,,,,,,,,,,,,,,,,,,
polblogs,0.5,0,0.0,mid_deg_3_8,271,Exact spectral,8,2,2,2,1,by_dim,0.006799299968406558,0.011099499999545515,0.017898799967952073,0.006799299968406558,0.006799299968406558,0.0008465349010664863,0.002279836505596332,0.36076595902750697,,,,,,,,,,,,,,,,,,
polblogs,0.5,0,0.0,high_deg_9_plus,709,Exact spectral,8,2,2,2,1,by_dim,0.006799299968406558,0.011099499999545515,0.017898799967952073,0.006799299968406558,0.006799299968406558,0.0007890575452106661,0.0033422915763340476,0.36306046274400705,,,,,,,,,,,,,,,,,,
polblogs,0.5,0,0.0,all,1222,Gaussian RP,8,2,4,2,1,by_dim,0.0007819999009370804,0.015734200016595423,0.016516199917532504,,0.0007688000332564116,0.4410400843108946,0.3999128980001724,0.8272862968695598,5.340005736798048e-05,0.5,0.0004094999749213457,9.740004315972328e-05,0.00014929997269064188,4.7900015488266945e-05,1.1299969628453255e-05,,,,,,,,,,,
polblogs,0.5,0,0.0,low_deg_1_2,242,Gaussian RP,8,2,4,2,1,by_dim,0.0007819999009370804,0.015734200016595423,0.016516199917532504,,0.0007688000332564116,0.23442410165323133,0.22541513484710649,0.7423763736263735,5.340005736798048e-05,0.5,0.0004094999749213457,9.740004315972328e-05,0.00014929997269064188,4.7900015488266945e-05,1.1299969628453255e-05,,,,,,,,,,,
polblogs,0.5,0,0.0,mid_deg_3_8,271,Gaussian RP,8,2,4,2,1,by_dim,0.0007819999009370804,0.015734200016595423,0.016516199917532504,,0.0007688000332564116,0.3418235920460461,0.30814247002970657,0.7921095890410959,5.340005736798048e-05,0.5,0.0004094999749213457,9.740004315972328e-05,0.00014929997269064188,4.7900015488266945e-05,1.1299969628453255e-05,,,,,,,,,,,
