n,method,reps,n_mean,n_std,K_mean,K_std,rho_n_mean,rho_n_std,a_in_mean,a_in_std,b_out_mean,b_out_std,signal_gap_mean,signal_gap_std,p_in_mean,p_in_std,p_out_mean,p_out_std,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_sampled_upper_nnz_mean,rs_sampled_upper_nnz_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std,non_random_spectral_sec_mean,spectral_speedup_vs_non_random
3000,Non-random eigsh,5,3000.0,0.0,6.0,0.0,32.0,0.0,11.414213562373096,0.0,8.585786437626904,0.0,2.8284271247461916,0.0,4.058387044399323e-05,0.0,3.052724066711788e-05,0.0,138721.0,388.4919561586841,797890.0,2517.2004290481123,0.0886544444444444,0.000279688936560915,138.721,0.3884919561586824,186.8,3.6331804249169894,138.48478725267566,0.0,0.0276389661574983,0.0,0.0,0.0,0.812,0.005005552472560375,0.00011288260254010002,0.0006201013169199514,0.00248171032102406,0.000863629892860593,0.9255030417814851,0.04464681253267857,0.1658939917804673,0.013207174043022997,0.10962255802005524,0.007241113337721087,0.00012420001439748788,0.0001075046877758666,0.3443029501941055,0.02157593132029403,0.45405114179011435,0.023187487688252875,0.0021434499882161,0.00019015422035991298,1.5454467417905107,0.04855358051663743,,,,,,,,,,,,,,,,,,,,,0.9999999999999997,6.977643512971218e-16,0.41363391046017206,0.00024086419227115866,0.45405114179011435,1.0
3000,Gaussian RP,5,3000.0,0.0,6.0,0.0,32.0,0.0,11.414213562373096,0.0,8.585786437626904,0.0,2.8284271247461916,0.0,4.058387044399323e-05,0.0,3.052724066711788e-05,0.0,138721.0,388.4919561586841,797890.0,2517.2004290481123,0.0886544444444444,0.000279688936560915,138.721,0.3884919561586824,186.8,3.6331804249169894,138.48478725267566,0.0,0.0276389661574983,0.0,0.0,0.0,0.8143333333333332,0.002538591035287956,-0.00017077012291041643,0.00032923872227540456,0.0020739720472184,0.00046162931890226876,0.9255030417814851,0.04464681253267857,0.1658939917804673,0.013207174043022997,0.033971607987768895,0.0045393042483883655,0.00017591703217472143,8.924379569215779e-05,0.38768396638333796,0.011933539033176845,0.4218327664071694,0.01099396903813365,0.00217366679571564,0.0003762711075499694,1.5132285249652342,0.0659087480412079,0.01766483334358774,0.0006317479063097883,0.00525984161067748,0.003979393168608841,0.00945925842970606,0.0015337327020042983,,,,,,,,,,,,,,,0.9238691287867044,0.009314866925704043,0.3647351495925866,0.00021750276796602647,0.45405114179011435,1.0763771284467896
3000,Random sampling,5,3000.0,0.0,6.0,0.0,32.0,0.0,11.414213562373096,0.0,8.585786437626904,0.0,2.8284271247461916,0.0,4.058387044399323e-05,0.0,3.052724066711788e-05,0.0,138721.0,388.4919561586841,797890.0,2517.2004290481123,0.0886544444444444,0.000279688936560915,138.721,0.3884919561586824,186.8,3.6331804249169894,138.48478725267566,0.0,0.0276389661574983,0.0,0.0,0.0,0.8166,0.0021525179054617542,0.00018561275921496936,0.0002452244047958192,0.00365380108978082,0.0010407934583637761,0.9255030417814851,0.04464681253267857,0.1658939917804673,0.013207174043022997,0.06718333298340437,0.007423117664586541,6.70250039547659e-05,2.279255869143521e-05,0.2856231167912483,0.0457865499340265,0.352875208389014,0.0391297942171737,0.0022435333812608803,0.0005636851624065105,1.4442705083405598,0.08775678514022975,,,,,,,0.01385607481934124,0.0014421779070436158,120180.4,450.8606214785217,,,,,,,,,,,1.420040964285606,0.00556070362113843,1.1953740688240635,0.0014998099287570328,0.45405114179011435,1.286718735110353
3000,CountSketch RP,5,3000.0,0.0,6.0,0.0,32.0,0.0,11.414213562373096,0.0,8.585786437626904,0.0,2.8284271247461916,0.0,4.058387044399323e-05,0.0,3.052724066711788e-05,0.0,138721.0,388.4919561586841,797890.0,2517.2004290481123,0.0886544444444444,0.000279688936560915,138.721,0.3884919561586824,186.8,3.6331804249169894,138.48478725267566,0.0,0.0276389661574983,0.0,0.0,0.0,0.8143333333333332,0.003153481321404079,-4.4577011596439985e-05,0.0005284538740020009,0.00224128286979096,0.0007711237306616191,0.9255030417814851,0.04464681253267857,0.1658939917804673,0.013207174043022997,0.035273041785694605,0.0055301365733615455,0.00020260820165272645,9.607906144083931e-05,0.3378149332012981,0.01742035817005099,0.37329183362890034,0.013248252906681066,0.00234245841857042,0.00029914600454599663,1.464687616750598,0.06533612227850254,,,,,,,,,,,0.00372495800256722,0.00027749447275642405,0.01251237541437146,0.0019139879987548727,0.00665028337389226,0.0030603959630414036,0.011499233637005061,0.003407060356139267,36.0,0.0,0.9193106939379154,0.021437763528988546,0.36453350270865054,0.0003042146862645064,0.45405114179011435,1.2163436241723387
6000,Non-random eigsh,5,6000.0,0.0,6.0,0.0,32.0,0.0,11.414213562373096,0.0,8.585786437626904,0.0,2.8284271247461916,0.0,1.0145967610998308e-05,0.0,7.63181016677947e-06,0.0,277086.4,692.4318016960168,1630790.0,3828.012800396586,0.045299722222222186,0.00010633368889990603,138.5432,0.3462159008480013,184.0,4.47213595499958,138.55721434244012,0.0,0.0277083526369655,0.0,0.0,0.0,0.8173666666666666,0.0035126754602281263,9.242821534737261e-05,0.0002798884301017292,0.00128698356564166,0.00038525398535461816,1.9204751665936783,0.1324568660950165,0.37921445840038354,0.019638993183925084,0.32805164163000883,0.029620446256062145,8.690000977366434e-05,1.798109266789466e-05,0.4041211747797206,0.030312987005401762,0.7322612915653736,0.04673330424336157,0.0036710495827719,0.0005536108633943563,3.031949341413565,0.17910384814302385,,,,,,,,,,,,,,,,,,,,,1.0000000000000002,1.1696925375895549e-15,0.4143329930747665,0.00015306401624854877,0.7322612915653736,1.0
6000,Gaussian RP,5,6000.0,0.0,6.0,0.0,32.0,0.0,11.414213562373096,0.0,8.585786437626904,0.0,2.8284271247461916,0.0,1.0145967610998308e-05,0.0,7.63181016677947e-06,0.0,277086.4,692.4318016960168,1630790.0,3828.012800396586,0.045299722222222186,0.00010633368889990603,138.5432,0.3462159008480013,184.0,4.47213595499958,138.55721434244012,0.0,0.0277083526369655,0.0,0.0,0.0,0.8198000000000001,0.0019804601036683828,-2.661056760048243e-05,0.00025912091856306665,0.00112606180770848,0.00036065531450106704,1.9204751665936783,0.1324568660950165,0.37921445840038354,0.019638993183925084,0.08089561699889598,0.03937136924748163,0.00173558362293986,0.0027818693539563917,0.47759113342035564,0.010244222752708166,0.5602244165958836,0.04342477330253912,0.0038351167924701402,0.0008208698814172117,2.8599119590362534,0.14214907739321267,0.04093778319656844,0.010797197142977317,0.01668280041776592,0.02377566424418935,0.02052037501707668,0.005104451626505965,,,,,,,,,,,,,,,0.8678899101862185,0.02079127392866246,0.3631293191828021,0.00021792734895878461,0.7322612915653736,1.3070856425980952
6000,Random sampling,5,6000.0,0.0,6.0,0.0,32.0,0.0,11.414213562373096,0.0,8.585786437626904,0.0,2.8284271247461916,0.0,1.0145967610998308e-05,0.0,7.63181016677947e-06,0.0,277086.4,692.4318016960168,1630790.0,3828.012800396586,0.045299722222222186,0.00010633368889990603,138.5432,0.3462159008480013,184.0,4.47213595499958,138.55721434244012,0.0,0.0277083526369655,0.0,0.0,0.0,0.8232333333333333,0.001283441553878543,-4.051945314433478e-05,3.1300763636301866e-05,0.00118084327153146,0.00012760779699767943,1.9204751665936783,0.1324568660950165,0.37921445840038354,0.019638993183925084,0.15885010017082093,0.01478279352238347,0.00010510820429771295,4.8558696929713286e-05,0.3677970916032791,0.033374990770406794,0.5267543165944517,0.03621062031128813,0.00380722538102414,0.0003044330739761886,2.8264419249724595,0.12036839904477473,,,,,,,0.028442333196289783,0.0010399171173626203,245518.6,638.2979711702042,,,,,,,,,,,1.4198983649297607,0.003029631797479666,1.195661770520943,0.0004490048059831941,0.7322612915653736,1.390138188709219
6000,CountSketch RP,5,6000.0,0.0,6.0,0.0,32.0,0.0,11.414213562373096,0.0,8.585786437626904,0.0,2.8284271247461916,0.0,1.0145967610998308e-05,0.0,7.63181016677947e-06,0.0,277086.4,692.4318016960168,1630790.0,3828.012800396586,0.045299722222222186,0.00010633368889990603,138.5432,0.3462159008480013,184.0,4.47213595499958,138.55721434244012,0.0,0.0277083526369655,0.0,0.0,0.0,0.8198333333333334,0.0009501461875825927,-4.8573935554839433e-05,7.936070915558877e-05,0.00108384459700634,0.00011225906871366839,1.9204751665936783,0.1324568660950165,0.37921445840038354,0.019638993183925084,0.06570988320745522,0.01519978504461649,0.00039335002657019997,0.00022145693095464345,0.3741463917773217,0.024648610348139692,0.4402512835804373,0.03600352243853012,0.0042464163852855,0.001296203605731333,2.739939250005409,0.14591876642907428,,,,,,,,,,,0.00783030001912258,0.0007483299938572213,0.025333824800327382,0.003764716454465744,0.01070699139963828,0.002872760749924408,0.02013610857538874,0.008045989815356201,36.0,0.0,0.8444873707413889,0.02828450138618465,0.3633228838991391,0.00026861471347625174,0.7322612915653736,1.6632803103039306
9000,Non-random eigsh,5,9000.0,0.0,6.0,0.0,32.0,0.0,11.414213562373096,0.0,8.585786437626904,0.0,2.8284271247461916,0.0,4.50931893822147e-06,0.0,3.3919156296797646e-06,0.0,416267.4,401.6563207519635,2468476.8,2429.2795639859664,0.030475022222222158,2.9991105728209995e-05,138.7558,0.1338854402506416,182.0,2.915475947422649,138.58136121501394,0.0,0.0277314900588717,0.0,0.0,0.0,0.8190222222222221,0.0029010428095283636,0.0002645144158334547,0.0002701071392805378,0.00114303187094598,0.00037014711940948553,2.8839933670125903,0.05828637979166136,0.5862725334009156,0.021316954331818266,0.5490653917659074,0.09278204103038738,0.0001702002016827135,0.000146563135024714,0.469221799983643,0.059653382562055705,1.0184590333839878,0.12954213451746815,0.00546610024757678,0.000735994722491682,4.488723292364739,0.17640511476881554,,,,,,,,,,,,,,,,,,,,,1.0,3.6821932062951477e-16,0.41468665775513064,0.0001342186864587981,1.0184590333839878,1.0
9000,Gaussian RP,5,9000.0,0.0,6.0,0.0,32.0,0.0,11.414213562373096,0.0,8.585786437626904,0.0,2.8284271247461916,0.0,4.50931893822147e-06,0.0,3.3919156296797646e-06,0.0,416267.4,401.6563207519635,2468476.8,2429.2795639859664,0.030475022222222158,2.9991105728209995e-05,138.7558,0.1338854402506416,182.0,2.915475947422649,138.58136121501394,0.0,0.0277314900588717,0.0,0.0,0.0,0.8220666666666666,0.0024889880932610717,7.866885999023011e-05,0.00014730481979465117,0.0008895673040617801,0.00020191033333445,2.8839933670125903,0.05828637979166136,0.5862725334009156,0.021316954331818266,0.11259975819848474,0.010453202312307695,0.00051308337133374,0.0005064688011114411,0.5023464584490285,0.03445557103946248,0.6154607083881274,0.042513723491022136,0.0057733667781576,0.000817159210261695,4.0857252004323525,0.08179045794622339,0.05916028341744088,0.005031062174434984,0.015122041827999023,0.003493411513827162,0.03533771659713232,0.007253398739862008,,,,,,,,,,,,,,,0.8177670713784607,0.027373361908991048,0.36261909896366323,0.0001431728418430657,1.0184590333839878,1.6547913124321139
