experiment,rho_n,rep,seed,n,K,m,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,method_wall_sec,algorithm_total_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
rho_density_signal_control,4.0,1,2426050702,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,25012,155750,0.004326388888888889,0.15949966700281948,0.02758137497585267,sparse,0,0.0,12.506,27.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Non-random eigsh,non_random,0.8220000000000001,-5.2704804555416276e-05,0.0010952517891086424,0.006475624977611005,0.0381763749755919,0.003725375048816204,0.521974292001687,0.5638843340566382,1.0000000000000009,0.6128091034828014,0.5655704999808222,0.7509570840047672,,,,,,,,,,,,,,,,,,,,,
rho_density_signal_control,4.0,1,2426050702,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,25012,155750,0.004326388888888889,0.15949966700281948,0.02758137497585267,sparse,0,0.0,12.506,27.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8168333333333333,0.0003022578105174538,0.0015945141324614838,0.004712875001132488,0.01872891595121473,0.00033258390612900257,0.47114391706418246,0.4902078330051154,0.7696107228723822,0.5237498496190324,0.49153845803812146,0.6772864589001983,0.0010231659980490804,0.005315624992363155,0.008979375008493662,0.0023358329199254513,0.0006031659431755543,0.00026875000912696123,,,,,,,,,,,,,,,
rho_density_signal_control,4.0,1,2426050702,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,25012,155750,0.004326388888888889,0.15949966700281948,0.02758137497585267,sparse,0,0.0,12.506,27.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Random sampling,random_sampling,0.8226666666666667,-0.00013131241485037572,0.0010062166005777966,0.00423541700001806,0.032852458069100976,0.0001580419484525919,0.1533782499609515,0.18639179202727973,1.498920540919269,1.4432131776352772,0.18777454202063382,0.3734697919571772,,,,,,,0.0029729160014539957,80875.0,24200.0,0.3,,,,,,,,,,,
rho_density_signal_control,4.0,1,2426050702,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,25012,155750,0.004326388888888889,0.15949966700281948,0.02758137497585267,sparse,0,0.0,12.506,27.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8193333333333334,0.00043633876678603553,0.0018405212753452916,0.004379749996587634,0.02817233302630484,0.00047812494449317455,0.43277224991470575,0.46142479206901044,0.7254952780161502,0.5236487390948446,0.46274824999272823,0.6485037498641759,,,,,,,,,,,0.0009331669425591826,36.0,145.0,199.0,0.0,0.001739208004437387,0.0034202920505777,0.011029583984054625,0.008952750009484589,0.0005010840250179172,0.0014769589761272073
rho_density_signal_control,4.0,2,2426050703,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24801,154458,0.0042905,0.1942376249935478,0.024790707975625992,sparse,0,0.0,12.4005,28.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Non-random eigsh,non_random,0.8146666666666667,0.0004782438116370906,0.0018328461180907537,0.0038978339871391654,0.03800525004044175,7.358298171311617e-05,0.3831269579241052,0.4212072080699727,0.9999999999999992,0.6144338840191679,0.4223359170136973,0.6402341239154339,,,,,,,,,,,,,,,,,,,,,
rho_density_signal_control,4.0,2,2426050703,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24801,154458,0.0042905,0.1942376249935478,0.024790707975625992,sparse,0,0.0,12.4005,28.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8211666666666666,-5.028259171305547e-05,0.0010861210234571793,0.003062667092308402,0.018174874945543706,0.00013808300718665123,0.4625306670786813,0.4808445420349017,0.8028491859994806,0.525781609719105,0.4821919999085367,0.6998719580005854,0.000966791994869709,0.003547874977812171,0.009723499999381602,0.003312292043119669,0.0004420829936861992,0.00011825002729892731,,,,,,,,,,,,,,,
rho_density_signal_control,4.0,2,2426050703,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24801,154458,0.0042905,0.1942376249935478,0.024790707975625992,sparse,0,0.0,12.4005,28.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Random sampling,random_sampling,0.8136666666666666,0.0004126916581902091,0.001853415087793744,0.005980208050459623,0.031740291975438595,8.341704960912466e-05,0.13701624993700534,0.16884233301971108,1.5019201946807026,1.4427126303820386,0.17000470799393952,0.38786829193122685,,,,,,,0.0024314579786732793,80229.0,24193.0,0.3,,,,,,,,,,,
rho_density_signal_control,4.0,2,2426050703,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24801,154458,0.0042905,0.1942376249935478,0.024790707975625992,sparse,0,0.0,12.4005,28.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8233333333333334,-0.0002111027885159624,0.000895927307473068,0.003908750019036233,0.02812858298420906,0.00034312496427446604,0.5131248749094084,0.5415984169812873,0.7699902292930066,0.5259501152715997,0.5435929580125958,0.7606249158270657,,,,,,,,,,,0.000308374990709126,36.0,147.0,192.0,0.0,0.002392292022705078,0.003105791984125972,0.01638270798139274,0.004899583989754319,0.00041166599839925766,0.0003784169675782323
rho_density_signal_control,4.0,3,2426050704,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24899,155064,0.004307333333333333,0.18924483295995742,0.028042249963618815,sparse,0,0.0,12.4495,27.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Non-random eigsh,non_random,0.8178333333333333,0.0002361937389746895,0.0015021776455732864,0.0030801250832155347,0.042763125034980476,9.38749872148037e-05,0.32596904202364385,0.36882816697470844,1.0000000000000002,0.6131621368469757,0.37018070893827826,0.5861131249694154,,,,,,,,,,,,,,,,,,,,,
rho_density_signal_control,4.0,3,2426050704,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24899,155064,0.004307333333333333,0.18924483295995742,0.028042249963618815,sparse,0,0.0,12.4495,27.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8205,-0.00026405758744567793,0.00078207096349059,0.0031069170217961073,0.02974966703914106,0.00023266603238880634,0.462983459001407,0.4929675000021234,0.7601792094227858,0.5248719424579088,0.49425683298613876,0.7102528749965131,0.0012041250010952353,0.0038112079491838813,0.021009458927437663,0.003041457966901362,0.00042108295019716024,9.779189713299274e-05,,,,,,,,,,,,,,,
