q_over_p,q,theta_degree_hat,theta_size_hat,E_star,E_star_over_E,N_star,N_star_over_N,theory_ratio,linear_E_star_over_E,linear_N_star_over_N,linear_E_slope,linear_E_intercept,linear_N_slope,linear_N_intercept,linear_E_r2,linear_N_r2
0.0,0.0,0.008437,0.0074444444444444445,54.40970436448118,0.2720485218224059,247.7938616292688,0.2477938616292688,0.25,0.2725242044096971,0.2482853935140206,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
0.1,0.003,0.01070805,0.009717767767767768,69.05556890127802,0.3452778445063901,323.4631166317094,0.3234631166317094,0.325,0.3450982415353636,0.3232775294582154,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
0.2,0.006,0.01296565,0.011977627627627628,83.61469519892562,0.4180734759946281,398.6842302547076,0.39868423025470756,0.4,0.4176722786610302,0.39826966540241027,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
0.30000000000000004,0.009000000000000001,0.015223750000000001,0.014237987987987989,98.17704596643006,0.49088522983215027,473.92200340854004,0.47392200340854,0.47500000000000003,0.4902463157866967,0.4732618013466051,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
0.4,0.012,0.0174746,0.01649109109109109,112.69264192101016,0.5634632096050508,548.9182133652752,0.5489182133652751,0.55,0.5628203529123632,0.5482539372907999,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
0.5,0.015,0.01965905,0.018677727727727727,126.78002827860067,0.6339001413930033,621.7020376272163,0.6217020376272163,0.625,0.6353943900380297,0.6232460732349947,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
0.6000000000000001,0.018000000000000002,0.02196115,0.020982132132132132,141.62613239350785,0.7081306619675393,698.4058494944665,0.6984058494944665,0.7000000000000001,0.7079684271636963,0.6982382091791896,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
0.7000000000000001,0.021,0.02424235,0.023265615615615614,156.33745366839875,0.7816872683419938,774.4132929728432,0.7744132929728432,0.775,0.7805424642893628,0.7732303451233843,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
0.8,0.024,0.026393200000000002,0.02541861861861862,170.20815565160896,0.8510407782580448,846.07759676272,0.84607759676272,0.8500000000000001,0.8531165014150293,0.8482224810675791,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
0.9,0.027,0.02868165,0.02770935935935936,184.96623173942416,0.9248311586971207,922.3266034381941,0.9223266034381941,0.925,0.9256905385406959,0.9232146170117739,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
1.0,0.03,0.031012849999999998,0.030042892892892893,200.0,1.0,1000.0,1.0,1.0,0.9982645756663624,0.9982067529559687,0.7257403712566652,0.2725242044096971,0.7499213594419482,0.2482853935140206,0.9999777875343643,0.9999777875343643
