q_over_p,q,strategy,num_graphs,degree_samples,size_samples,degree_theta_hat,degree_tv_distance,degree_kl_divergence,size_theta_hat,size_tv_distance,size_kl_divergence
0.0,0.0,weighted,100,100000,20000,0.0084926,0.002980340182134878,5.932961602163355e-05,0.0075001001001001,0.01058299176151169,0.0006465797778192795
0.3,0.009,weighted,100,100000,20000,0.0152527,0.0021782896168063472,4.3171647650665896e-05,0.014266966966966967,0.012440179811119233,0.0008473580004858617
0.7,0.020999999999999998,weighted,100,100000,20000,0.024194200000000003,0.003820862033110148,7.187284823466714e-05,0.023217417417417417,0.013654837000120695,0.001135569819937838
1.0,0.03,weighted,100,100000,20000,0.031001650000000002,0.0028425189312634644,6.281491155458351e-05,0.030031681681681684,0.013242684552592107,0.0011176032100456135
