model,n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
4,200,1,Random Projection,0.08891433299999996,0.002638999999999836,0.017242165999999948,4.679200000001771e-05,0.0014370839999999774,0.0004889160000001169,0.0001491670000000056,0.0004949169999997061,0.0003053749999999411,8.417000000093822e-06,0.08596395799999978,0.08891433299999996,0.08889462599999964,1.9707000000313002e-05,0.10879549899999974,,,,,,,,,,,,,,,,,,,,,,,,,,
4,200,1,Random Sampling,0.028793583000000122,0.002638999999999836,0.016341791999999966,,,,,,,,,0.028793583000000122,0.028789289000000107,4.294000000015785e-06,0.047774374999999925,0.0004927910000001035,0.0005530000000000257,0.00984304100000033,0.00016983299999973056,0.00017641599999995705,0.01755420799999996,,,,,,,,,,,,,,,,,,,,
4,200,1,Non-random,0.0394410409999999,0.002638999999999836,0.017969207999999792,,,,,,,,,0.0394410409999999,0.03943470900000001,6.3319999998867615e-06,0.06004924899999953,,,,,,,0.02320737500000014,0.01602591699999989,0.00020141699999998153,,,,,,,,,,,,,,,,,
4,200,1,CountSketch,0.023017499999999913,0.002638999999999836,0.016469625000000043,,,,,,,,,0.023017499999999913,0.023990999999998763,0.0,0.04212612499999979,,,,,,,,,,0.00019762499999975702,0.0010388749999998836,0.0010388749999998836,0.0005377079999999701,0.0003538749999996149,0.0001749590000001966,0.00040529199999994603,0.0006912080000001097,3.37079999996881e-05,0.019518874999999714,,,,,,,
4,200,1,SIGN Bidirectional,0.02370133299999999,0.002638999999999836,0.01730916700000007,,,,,,,,,0.02370133299999999,0.02369279099999977,8.542000000222316e-06,0.0436494999999999,,,,,,,,,,,,,,,,,,,,3.812500000011099e-05,0.0015073750000000885,0.0009074159999999942,0.00011049999999990234,0.0005382089999996786,3.924999999993517e-05,0.02055191600000006
4,200,2,Random Projection,0.022610750000000124,0.0010623750000000598,0.017552375000000175,3.6790999999869456e-05,0.0006082080000000545,0.00030533300000001873,0.00014591699999977337,0.00016179100000002222,0.0003999590000001163,7.707999999606585e-06,0.0209400409999998,0.022610750000000124,0.02260574799999926,5.002000000864371e-06,0.04122550000000036,,,,,,,,,,,,,,,,,,,,,,,,,,
4,200,2,Random Sampling,0.028821832999999852,0.0010623750000000598,0.012037916999999787,,,,,,,,,0.028821832999999852,0.028816207999999843,5.625000000009095e-06,0.0419221249999997,0.000666541000000187,0.0003816250000001631,0.01093554199999991,5.5291999999873553e-05,5.408299999976052e-05,0.01672312499999995,,,,,,,,,,,,,,,,,,,,
4,200,2,Non-random,0.03300054199999991,0.0010623750000000598,0.013595542000000016,,,,,,,,,0.03300054199999991,0.032998667000000204,1.8749999997069722e-06,0.047658458999999986,,,,,,,0.017581457999999994,0.01540166700000034,1.5541999999868494e-05,,,,,,,,,,,,,,,,,
4,200,2,CountSketch,0.016771832999999958,0.0010623750000000598,0.011659207999999754,,,,,,,,,0.016771832999999958,0.017022249000000045,0.0,0.029493415999999772,,,,,,,,,,5.5875000000149555e-05,0.00027662500000014134,0.00027662500000014134,0.0004188749999998187,0.00027762499999983703,9.187499999985249e-05,0.00011854099999997203,0.00035041699999993625,2.1375000000212196e-05,0.015134415999999984,,,,,,,
4,200,2,SIGN Bidirectional,0.020369416999999945,0.0010623750000000598,0.012248999999999732,,,,,,,,,0.020369416999999945,0.020360832999999356,8.584000000588787e-06,0.03368079199999974,,,,,,,,,,,,,,,,,,,,3.929199999985755e-05,0.0017747919999999695,0.000635166999999992,0.00011379099999997422,0.000311749999999833,1.3207999999931275e-05,0.0174728329999998
