model,n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std,cs_draw_hash_sec_mean,cs_draw_hash_sec_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_reconstruct_sec_mean,cs_reconstruct_sec_std,cs_small_eig_sec_mean,cs_small_eig_sec_std,cs_lift_sec_mean,cs_lift_sec_std,cs_kmeans_sec_mean,cs_kmeans_sec_std,sign_draw_omega_sec_mean,sign_draw_omega_sec_std,sign_subspace_iter_sec_mean,sign_subspace_iter_sec_std,sign_reconstruct_sec_mean,sign_reconstruct_sec_std,sign_build_core_sec_mean,sign_build_core_sec_std,sign_small_eig_sec_mean,sign_small_eig_sec_std,sign_lift_sec_mean,sign_lift_sec_std,sign_kmeans_sec_mean,sign_kmeans_sec_std
4,200,CountSketch,0.015644993749999992,0.00224303018860605,0.00109014779999983,0.00038451938580763367,0.011117104100000086,0.0013360927917520375,,,,,,,,,,,,,,,,,0.015644993749999992,0.00224303018860605,0.015930291350000503,0.0023691417663506244,0.0,0.0,0.027852245649999906,0.0037779656676433437,,,,,,,,,,,,,,,,,,,6.068945000015091e-05,3.2848007648339184e-05,0.0003129458000000529,0.00017223249548655524,0.0003129458000000529,0.00017223249548655524,0.00034170205000008116,6.961062343486994e-05,0.00030828115000001153,7.44240792360868e-05,0.00010168344999996747,2.3107577846813534e-05,0.0001341707500001066,8.717713451528023e-05,0.000291914550000083,0.00010255582153075046,1.0866649999963229e-05,9.747785391011782e-06,0.014055091700000032,0.0018780088424699998,,,,,,,,,,,,,,
4,200,Non-random,0.03130248960000008,0.0025375725494417743,0.00109014779999983,0.00038451938580763367,0.011752576999999986,0.0016148133783474082,,,,,,,,,,,,,,,,,0.03130248960000008,0.0025375725494417743,0.03129957494999998,0.0025369567193861586,2.914650000107599e-06,1.0449300289650626e-06,0.044145214399999896,0.004258311527389845,,,,,,,,,,,,,0.017276827049999954,0.0015676975740242152,0.01398635210000001,0.001349667939917515,3.639580000001086e-05,5.2641243650950266e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,200,Random Projection,0.018694756349999973,0.016680978841252105,0.00109014779999983,0.00038451938580763367,0.011531997849999965,0.002065910111932945,3.981659999985343e-05,1.5801700279599787e-05,0.0004498458500001634,0.0002395303936027363,0.0003261457500001175,8.6780029663595e-05,0.00010481674999991419,2.5163206167312686e-05,0.00014971864999988594,0.00011287027366997304,0.0002649540499999992,4.1345050032101574e-05,7.322849999935599e-06,2.633833633324956e-06,0.017346381199999872,0.016293455385588008,0.018694756349999973,0.016680978841252105,0.018689001699999742,0.016677688718639207,5.754650000233674e-06,3.580981551321052e-06,0.03131690199999977,0.01861567667306872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,200,Random Sampling,0.02390436245000005,0.003335969860243,0.00109014779999983,0.00038451938580763367,0.011277791699999939,0.0012918781527573866,,,,,,,,,,,,,,,,,0.02390436245000005,0.003335969860243,0.023900201400000175,0.003335813336857534,4.161049999873434e-06,1.9721818662197386e-06,0.03627230194999982,0.004221629435770955,0.00028098945000012423,0.00010907326565181294,0.00029409980000008054,6.821117127880189e-05,0.008859474900000119,0.0015975110653056288,7.532279999999947e-05,5.061427724473934e-05,7.954164999990354e-05,5.145372205478754e-05,0.01431077279999995,0.001988363776611486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,200,SIGN Bidirectional,0.016607418750000068,0.0023357230938120623,0.00109014779999983,0.00038451938580763367,0.011441560449999976,0.0015789661007844283,,,,,,,,,,,,,,,,,0.016607418750000068,0.0023357230938120623,0.016601612650000264,0.00233487001524963,5.806099999805525e-06,1.7734897178925276e-06,0.029139126999999876,0.004022522324617648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.033139999994884e-05,6.395189955605725e-06,0.001435212550000009,0.00013124873880914574,0.000418543700000118,0.00013182191748440262,0.0001058104500000434,3.131895357781911e-05,0.00027852090000000105,6.977109051051952e-05,8.952050000066158e-06,8.663823432579785e-06,0.014314241600000078,0.00210919283408889
4,400,CountSketch,0.019513806149999757,0.0022097105851709084,0.002823114600000043,0.00036718204972657526,0.029349920799999873,0.0007802591995016879,,,,,,,,,,,,,,,,,0.019513806149999757,0.0022097105851709084,0.01995978755000003,0.002220269197882563,0.0,0.0,0.051686841549999675,0.0023193528858823156,,,,,,,,,,,,,,,,,,,6.431455000011077e-05,1.6699103854039684e-05,0.00047404990000003976,0.00011572837360235478,0.00047404990000003976,0.00011572837360235478,0.0005499355000000428,3.286836698985777e-05,0.0005322540999999958,8.128206720305884e-05,0.00017737504999981724,1.9803749537248277e-05,0.0002036459499998866,6.631829323512685e-05,0.00026092904999988067,3.300949924756509e-05,1.0823100000223462e-05,5.2197673356533e-06,0.017212410449999993,0.0022134000724756153,,,,,,,,,,,,,,
4,400,Non-random,0.07220161245000019,0.0019736160258557157,0.002823114600000043,0.00036718204972657526,0.031166300050000116,0.0006338516716193253,,,,,,,,,,,,,,,,,0.07220161245000019,0.0019736160258557157,0.07219803980000013,0.001973544065577055,3.5726500000610173e-06,8.490152980730706e-07,0.10619102710000035,0.002175876567980186,,,,,,,,,,,,,0.05521259395000011,0.0012332048059436082,0.0169006041999999,0.0015509117449193407,8.484165000011146e-05,0.00010085413364043769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,400,Random Projection,0.02017895635000002,0.004214964752412417,0.002823114600000043,0.00036718204972657526,0.030237075050000062,0.001962141295569431,6.649599999994927e-05,1.6469800430771702e-06,0.0007070644999998433,5.217930794089199e-05,0.0005374269999999903,9.046541511256534e-05,0.00017823329999999693,2.4534600500023644e-05,0.00024225434999998187,0.00023764312582573468,0.00026433119999995646,2.7311433550764943e-05,1.1820850000132666e-05,5.9142260717064385e-06,0.01816593545000007,0.004310443566836207,0.02017895635000002,0.004214964752412417,0.02017356264999992,0.004215121906841131,5.39370000010031e-06,1.1742344915990914e-06,0.053239146000000126,0.004875606245439486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,400,Random Sampling,0.030467974950000132,0.0045106858880791904,0.002823114600000043,0.00036718204972657526,0.029619629150000028,0.0011398857047588758,,,,,,,,,,,,,,,,,0.030467974950000132,0.0045106858880791904,0.030463279300000277,0.0045100431562201315,4.695649999852946e-06,1.4477345378383332e-06,0.0629107187000002,0.004923268349301014,0.0007808042500000223,0.00010952495730905431,0.0011567188500001269,0.0002671637933598632,0.01014505199999971,0.002535181370806262,0.0001836041500001162,0.0001115002612767518,0.0002582042000001561,7.324594923057711e-05,0.017938895850000146,0.0021053397708614393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,400,SIGN Bidirectional,0.021062845749999903,0.0019825876117543235,0.002823114600000043,0.00036718204972657526,0.02999502929999993,0.001429571695039268,,,,,,,,,,,,,,,,,0.021062845749999903,0.0019825876117543235,0.021057331350000118,0.001982430814697798,5.514399999784203e-06,1.0197531389506333e-06,0.05388098964999988,0.0026696591880612636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.172510000015286e-05,7.428749642676017e-06,0.002600593750000257,0.00019011178576193086,0.000750518699999958,0.000146475326808952,0.00017351460000005758,1.8873813162691798e-05,0.00024732299999974394,2.234805160230524e-05,9.495850000051931e-06,2.542549803235321e-06,0.017204160349999897,0.0019861685945804165
4,600,CountSketch,0.02738727285000033,0.005665443030265826,0.00578949789999994,0.0006073274618258338,0.055903606149999695,0.0013960899642273858,,,,,,,,,,,,,,,,,0.02738727285000033,0.005665443030265826,0.028167468899998306,0.005706934338533045,0.0,0.0,0.08908037689999997,0.006153267726787942,,,,,,,,,,,,,,,,,,,6.995820000037512e-05,1.3001392361116167e-05,0.0008095375499993729,0.00020080892700560007,0.0008095375499993729,0.00020080892700560007,0.0009520728999997452,0.00011679954262240671,0.0007774353999995931,0.0001430880730648751,0.0004940708999995102,0.000798539044498205,0.00044418334999996034,0.0005196844431309474,0.0002880021500001106,3.676805939841608e-05,1.4402150000414337e-05,5.430264424580067e-06,0.02350826874999985,0.005527090708616174,,,,,,,,,,,,,,
4,600,Non-random,0.17129879794999966,0.0028919796480966955,0.00578949789999994,0.0006073274618258338,0.05928197085000031,0.0019746290073339927,,,,,,,,,,,,,,,,,0.17129879794999966,0.0028919796480966955,0.17129537085000185,0.002891887520000973,3.427099997832528e-06,5.710441864873435e-07,0.23637026669999991,0.004621306288672039,,,,,,,,,,,,,0.1445301126500005,0.002196864911498348,0.026628881150000793,0.0022701487932190456,0.0001363770500005579,0.00013986502739537742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,600,Random Projection,0.024647081249999835,0.002645169724308169,0.00578949789999994,0.0006073274618258338,0.05579951045000033,0.0014395395724751939,9.721660000021615e-05,1.9672850216811767e-06,0.0011749563500000448,0.00010113247095992822,0.0007801937500000022,0.0001202133160262089,0.00029605214999977035,3.929115082223216e-05,0.00033354154999996053,4.354721906367511e-05,0.00028726039999993347,3.915186203487799e-05,1.625420000017641e-05,7.118285013702284e-06,0.021655345899999824,0.0025354930095401115,0.024647081249999835,0.002645169724308169,0.024640820899999926,0.0026440042020803843,6.260349999909209e-06,1.8165615649013246e-06,0.08623608960000011,0.00353780257138977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,600,Random Sampling,0.05288649365000033,0.006203065076883292,0.00578949789999994,0.0006073274618258338,0.07324274179999968,0.0011481177489395021,,,,,,,,,,,,,,,,,0.05288649365000033,0.006203065076883292,0.052880858149998565,0.0062028489731792355,5.635500001766047e-06,1.1449684199387303e-06,0.13191873334999996,0.006427979904645052,0.001584435349999591,0.00019184413025527221,0.0025532354499998356,0.00040987275134904833,0.01653673125000017,0.0030011917069746696,0.0003198873999997076,7.27792428250768e-05,0.0006884041499996662,0.0003416967455231866,0.031198164549999595,0.004148163180366535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,600,SIGN Bidirectional,0.02773623119999975,0.003773139619763488,0.00578949789999994,0.0006073274618258338,0.056235429250000205,0.0014785107061261599,,,,,,,,,,,,,,,,,0.02773623119999975,0.003773139619763488,0.02772963545000042,0.0037730264570614517,6.595749999327438e-06,1.3894058144490743e-06,0.0897611583499999,0.004430532277986309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010885404999987358,1.6505695458584186e-05,0.003950231449999997,0.00024367364514319678,0.0012711750499994957,0.00011871623209340208,0.00029234800000006446,2.7206813670512356e-05,0.00025801240000040694,1.8999533327534888e-05,1.3791750000269332e-05,5.795424954566914e-06,0.021835222750000317,0.003716739853236197
4,800,CountSketch,0.03053423540000022,0.0028915439467958604,0.010296768649999066,0.000873488248347737,0.10164604790000134,0.010495936055595406,,,,,,,,,,,,,,,,,0.03053423540000022,0.0028915439467958604,0.03179565854999815,0.0029736976787168748,0.0,0.0,0.14247705195000063,0.012218626821620365,,,,,,,,,,,,,,,,,,,7.607714999959824e-05,1.5632653172363444e-05,0.0012941479500000242,0.0002508048411565107,0.0012941479500000242,0.0002508048411565107,0.0018695895499993398,0.00035378097672072523,0.0012963709500001031,0.00020150112933580913,0.0006366354000000741,0.00022185024310347835,0.0006249999499994274,0.00016655250237796655,0.0003284458999990747,8.956563273245046e-05,2.0495850000479266e-05,7.513357272313039e-06,0.024354747900000008,0.0022757613706406218,,,,,,,,,,,,,,
4,800,Non-random,0.2548864125499991,0.00634483944049155,0.010296768649999066,0.000873488248347737,0.10830179584999992,0.009890533597375715,,,,,,,,,,,,,,,,,0.2548864125499991,0.00634483944049155,0.25488230209999807,0.006344525339789234,4.110450000993637e-06,7.994100102152252e-07,0.37348497704999806,0.01260467217018872,,,,,,,,,,,,,0.23049476669999985,0.005048069545066725,0.024146843649999104,0.0020685691551618757,0.00024069174999912234,6.669809711071094e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,800,Random Projection,0.028826860550000256,0.0045127269491915725,0.010296768649999066,0.000873488248347737,0.09776039585000067,0.009663226414789079,0.0001292687500002998,3.199392638873704e-06,0.0025869332999997495,0.002402518986940973,0.0012116937499994762,0.0001524341618231098,0.0005331249999992238,0.00013821783030377414,0.0006232812000002141,0.00022748623280685,0.0003527563500007602,0.00018433526096553,1.9395850000236693e-05,5.804503843959188e-06,0.023362281349999847,0.0028879655704732994,0.028826860550000256,0.0045127269491915725,0.028818735549999808,0.004511287729393237,8.125000000447358e-06,1.989563003915819e-06,0.13688402505,0.011874977663836593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,800,Random Sampling,0.06194344789999988,0.005394686338730423,0.010296768649999066,0.000873488248347737,0.12118249794999976,0.01000843427345166,,,,,,,,,,,,,,,,,0.06194344789999988,0.005394686338730423,0.061936754400000814,0.005394238116606154,6.693499999066432e-06,1.3552122200138547e-06,0.1934227144999987,0.01365632374474952,0.0026441354499993964,0.0001604798493210467,0.004586574899999363,0.0006925661915325903,0.022194827050000043,0.0038273871531828577,0.0004781418000005644,9.211748437885255e-05,0.001345914650000246,0.0002590684503427712,0.030687160550001202,0.0024931513806249277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,800,SIGN Bidirectional,0.035009774949999614,0.00389087583389717,0.010296768649999066,0.000873488248347737,0.10059747295000002,0.011283219512840186,,,,,,,,,,,,,,,,,0.035009774949999614,0.00389087583389717,0.03500101460000256,0.0038899279861399345,8.760349997061212e-06,2.068825607098754e-06,0.14590401654999868,0.013279763598990467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001402042500014744,2.1588475175103435e-05,0.006557391550000702,0.0008878673557361614,0.0026944083000000063,0.0005061034193266452,0.0006393814000002606,0.00014568431029566084,0.00031684165000012143,5.9260674407104155e-05,2.0375050000254192e-05,7.021209421120099e-06,0.024632412399999738,0.0031527337309583165
4,1000,CountSketch,0.032673093999999736,0.0028311930319520283,0.01613909784999983,0.0015374610425074686,0.16367236245000072,0.0127603674143616,,,,,,,,,,,,,,,,,0.032673093999999736,0.0028311930319520283,0.034546206349999053,0.0031964723444116807,0.0,0.0,0.2124845543000003,0.01367187125666813,,,,,,,,,,,,,,,,,,,8.941665000001819e-05,2.1105801290663205e-05,0.0019129729499994142,0.0006640804509139078,0.0019129729499994142,0.0006640804509139078,0.0026522271499999305,0.00036401560825638247,0.0017009167500017242,0.000247856364372497,0.0009155666999998147,0.00017973295022751532,0.000924229099999252,0.00019074475627060074,0.000353264549999821,8.494454312376396e-05,2.506660000030081e-05,6.798324045356725e-06,0.024059572949999365,0.002276735185871189,,,,,,,,,,,,,,
4,1000,Non-random,0.3235765123499995,0.008611592021041805,0.01613909784999983,0.0015374610425074686,0.17567174579999972,0.010012169638395513,,,,,,,,,,,,,,,,,0.3235765123499995,0.008611592021041805,0.32357235419999847,0.008611594573992042,4.158150001032368e-06,7.04480270660926e-07,0.5153873559999991,0.014109109118967627,,,,,,,,,,,,,0.29932631259999953,0.009303782312960363,0.023891235299999636,0.002072006404439927,0.0003548062999993107,9.784931987362621e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,Random Projection,0.031538008199999724,0.00453994918083618,0.01613909784999983,0.0015374610425074686,0.1600064979999992,0.015522116207117439,0.0001599292500010563,4.0440487778560996e-06,0.0035198145000009617,0.0007056132769154772,0.0016993000499997634,0.00021327886040691917,0.0008781248999998326,0.0001705774860490583,0.0009336959000005862,0.0001893613582145829,0.00030268959999943943,0.00010576797597259618,2.5695949999970936e-05,8.125741058962114e-06,0.024009237400001028,0.004052202220634714,0.031538008199999724,0.00453994918083618,0.031528487550002635,0.004539488006339303,9.520649997085683e-06,1.5729877363167293e-06,0.20768360404999875,0.01831209365146731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,Random Sampling,0.06940267694999847,0.007044599462658054,0.01613909784999983,0.0015374610425074686,0.1897400897499999,0.01915680859027381,,,,,,,,,,,,,,,,,0.06940267694999847,0.007044599462658054,0.06939445009999971,0.007043497105313019,8.226849998749231e-06,2.42765514503606e-06,0.2752818645499982,0.024470083479066585,0.004030739649999759,0.00017357459224674892,0.00733968764999986,0.001590664067268881,0.024710477000001063,0.004386675231593953,0.0010248354000008675,0.0013352800649216953,0.0017980415999986122,0.00021098010788127787,0.030490668799999555,0.0024300818958238922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
