model,n,rep,method,error_P,error_Theta,error_B,time_sec
4,200,1,Random Projection,5.705166887364337,1.0307553143374037,0.4742105440817815,0.08599545899999983
4,200,1,Random Sampling,7.325118751817353,1.1361374943464497,0.4631791609989311,0.03481074999999967
4,200,1,Non-random,5.957116836857729,1.0608322026232473,0.47279746217538854,0.0475023750000001
4,200,1,CountSketch,5.308681475357501,0.9864314789687924,0.47540864669999444,0.022470000000000212
4,200,2,Random Projection,5.5269998788823695,0.8989145183175034,0.4809792136814762,0.021719000000000044
4,200,2,Random Sampling,6.87391762933584,1.5900045228403437,0.47541696469721706,0.032451291000000104
4,200,2,Non-random,5.7050833717824645,0.9886928991406603,0.46663753351379456,0.03579070799999995
4,200,2,CountSketch,5.378763200536527,1.0506558118498417,0.4796444646203637,0.01696091700000002
4,200,3,Random Projection,6.007723268543426,0.8403437358661239,0.4414229307675386,0.018555458999999885
4,200,3,Random Sampling,6.304386423548505,1.0345997286295794,0.4124417604333699,0.025829290999999976
4,200,3,Non-random,6.329145173368133,0.8403437358661239,0.43465901761792913,0.03461587499999963
4,200,3,CountSketch,6.170747105245741,0.9457259158751696,0.4407490533208102,0.018052459000000187
4,200,4,Random Projection,5.650237154514928,0.5848032564450475,0.4904809386168981,0.015538082999999592
4,200,4,Random Sampling,6.608823441850346,0.7492085029398463,0.4644786888469144,0.0229789170000001
4,200,4,Non-random,6.51574968039553,0.5099502487562189,0.47797393988184633,0.032108165999999994
4,200,4,CountSketch,6.003936873479948,0.5545002261420172,0.47231681833375183,0.01666875000000001
4,200,5,Random Projection,5.749509867040606,1.0660334690185438,0.4665487979413054,0.017499667000000052
4,200,5,Random Sampling,7.174659118376688,1.3082315694255993,0.47892006503124296,0.024737083999999854
4,200,5,Non-random,6.0513550182518046,1.0816372682044324,0.4850428649067137,0.03568270799999995
4,200,5,CountSketch,5.679894822625977,1.0364088647670737,0.45850434110638266,0.017966166999999977
4,200,6,Random Projection,4.6589396106073835,0.479194934418815,0.4442020355653814,0.01698654200000016
4,200,6,Random Sampling,5.502148176798219,0.913613749434645,0.42521407952993356,0.022802125000000117
4,200,6,Non-random,4.8164736963616,0.4941203075531434,0.43929460031040923,0.032368334000000054
4,200,6,CountSketch,4.505231990090659,0.643374038896427,0.4424938024117994,0.01583958299999999
4,200,7,Random Projection,5.9220903751469525,0.9918588873812755,0.5127483121014411,0.015464167000000195
4,200,7,Random Sampling,7.0973325202823005,0.9753505201266396,0.5008743433654789,0.023159957999999925
4,200,7,Non-random,6.114482454026097,0.8263229308005428,0.5032658282293929,0.03272012499999999
4,200,7,CountSketch,6.07198781648867,0.8853459972862958,0.5102315121016796,0.016046749999999665
4,200,8,Random Projection,5.213397310522487,0.6139755766621438,0.5260390754888908,0.016309249999999942
4,200,8,Random Sampling,6.365598365828223,0.7645861601085482,0.5229868205116732,0.0202523750000001
4,200,8,Non-random,5.5886232833675145,0.6592039800995024,0.5247531325090558,0.030227082999999766
4,200,8,CountSketch,5.089446239205656,0.6895070104025327,0.524077643658561,0.014509583999999798
