K,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
2,1,Random Projection,0.09041720899404027,0.028179416025523096,0.1529654999903869,6.324998685158789e-05,0.003685500007122755,0.0015145409852266312,0.0005759590130764991,0.00044779200106859207,7.266699685715139e-05,6.333022611215711e-06,0.08404649997828528,0.09041720899404027,0.09041254199109972,4.6670029405504465e-06,0.27156212500995025,,,,,,,,,
2,1,Random Sampling,0.13458499999251217,0.028179416025523096,0.1224812500004191,,,,,,,,,0.13458499999251217,0.1345783340802882,6.665912223979831e-06,0.28524566601845436,0.007359958020970225,0.01414220902370289,0.02385487500578165,0.0033100000000558794,0.0014652500103693455,0.0844460420194082,,,
2,1,Non-random,0.2628228749963455,0.028179416025523096,0.21399895899230614,,,,,,,,,0.2628228749963455,0.26282029203139246,2.582964953035116e-06,0.5050012500141747,,,,,,,0.22546754201175645,0.03618799999821931,0.001164750021416694
2,2,Random Projection,0.05107337498338893,0.025803124997764826,0.11279137499514036,0.0001224169973284006,0.006696791009744629,0.0005828750145155936,0.0006727919972036034,0.005121875001350418,8.508301107212901e-05,8.417002391070127e-06,0.03777562500908971,0.05107337498338893,0.05106587504269555,7.4999406933784485e-06,0.18966787497629412,,,,,,,,,
2,2,Random Sampling,0.08580112500931136,0.025803124997764826,0.12193508300697431,,,,,,,,,0.08580112500931136,0.08579516701865941,5.95799065195024e-06,0.2335393330140505,0.01521079198573716,0.007541541010141373,0.010417165991384536,0.0017560000123921782,0.0013828340161126107,0.049486834002891555,,,
2,2,Non-random,0.26609145797556266,0.025803124997764826,0.12864866701420397,,,,,,,,,0.26609145797556266,0.2660888750106096,2.582964953035116e-06,0.42054324998753145,,,,,,,0.21536908301641233,0.05008808398270048,0.0006317080114968121
2,3,Random Projection,0.059414666990051046,0.017484792013419792,0.15961162498570047,6.308298907242715e-05,0.005842916027177125,0.000603083026362583,0.0030898750119376928,0.0017234999977517873,0.0001206250162795186,1.550000160932541e-05,0.0479500409855973,0.059414666990051046,0.05940862305578776,6.043934263288975e-06,0.2365110839891713,,,,,,,,,
2,3,Random Sampling,0.07980079099070281,0.017484792013419792,0.107516833988484,,,,,,,,,0.07980079099070281,0.07979662402067333,4.166970029473305e-06,0.2048024169926066,0.014044290990568697,0.010639042011462152,0.014955874998122454,0.0009623330261092633,0.0013894169824197888,0.03780566601199098,,,
2,3,Non-random,0.31777833300293423,0.017484792013419792,0.1573685420153197,,,,,,,,,0.31777833300293423,0.31777604200760834,2.2909953258931637e-06,0.4926316670316737,,,,,,,0.2559767920174636,0.060729249991709366,0.001069999998435378
2,4,Random Projection,0.03625962499063462,0.012891958991531283,0.1399654579872731,6.708299042657018e-05,0.004257958993548527,0.0001791669928934425,0.0004667080065701157,0.0009817910031415522,5.091700586490333e-05,6.332993507385254e-06,0.03024700001697056,0.03625962499063462,0.036256958002923056,2.6669877115637064e-06,0.18911704196943901,,,,,,,,,
2,4,Random Sampling,0.12694879199261777,0.012891958991531283,0.15675900000496767,,,,,,,,,0.12694879199261777,0.12694179304526187,6.9989473558962345e-06,0.29659975098911673,0.009493750025285408,0.015496125008212402,0.012675709003815427,0.003875083988532424,0.003256750002037734,0.08214437501737848,,,
2,4,Non-random,0.38382362501579337,0.012891958991531283,0.14155529098934494,,,,,,,,,0.38382362501579337,0.3838219159806613,1.7090351320803165e-06,0.5382708749966696,,,,,,,0.2715896659938153,0.11159674997907132,0.0006355000077746809
2,5,Random Projection,0.0998699170013424,0.039194041019072756,0.16069704201072454,0.0001211669878102839,0.002529249992221594,0.0002962909929919988,0.0034109579864889383,0.0010031670099124312,5.379098001867533e-05,6.707996362820268e-06,0.09244449998368509,0.0998699170013424,0.09986583192949183,4.085071850568056e-06,0.2997610000311397,,,,,,,,,
2,5,Random Sampling,0.0890555840160232,0.039194041019072756,0.14143499999772757,,,,,,,,,0.0890555840160232,0.08905033400515094,5.250010872259736e-06,0.26968462503282353,0.006597208994207904,0.006962874991586432,0.010124583001015708,0.0009716250060591847,0.004738957999506965,0.05965508401277475,,,
2,5,Non-random,0.2913780419912655,0.039194041019072756,0.11640025000087917,,,,,,,,,0.2913780419912655,0.2913762500102166,1.7919810488820076e-06,0.4469723330112174,,,,,,,0.2556222919956781,0.034621333004906774,0.001132625009631738
2,6,Random Projection,0.07721641601528972,0.0204663329932373,0.232913332991302,6.024999311193824e-05,0.004911458992864937,0.00018699999782256782,0.0005603749887086451,0.002998041018145159,5.5082986364141107e-05,6.457994459196925e-06,0.06843408299027942,0.07721641601528972,0.077212748961756,3.66705353371799e-06,0.33059608199982904,,,,,,,,,
2,6,Random Sampling,0.13492974999826401,0.0204663329932373,0.21624100001645274,,,,,,,,,0.13492974999826401,0.13492504300666042,4.706991603597999e-06,0.37163708300795406,0.010416000004624948,0.007489875017199665,0.05912808401626535,0.002001749991904944,0.001431166980182752,0.05445816699648276,,,
2,6,Non-random,0.31436204200144857,0.0204663329932373,0.14242774999001995,,,,,,,,,0.31436204200144857,0.31435970900929533,2.3329921532422304e-06,0.4772561249847058,,,,,,,0.24795862499740906,0.0651925420097541,0.0012085420021321625
2,7,Random Projection,0.060796958015998825,0.021358291996875778,0.1414053330081515,6.187500548548996e-05,0.0032363749924115837,0.0003951250109821558,0.0005011670000385493,0.0039032920030876994,0.00019116699695587158,1.6125006368383765e-05,0.05248654101160355,0.060796958015998825,0.06079166702693328,5.290989065542817e-06,0.2235605830210261,,,,,,,,,
2,7,Random Sampling,0.08330729199224152,0.021358291996875778,0.11642033400130458,,,,,,,,,0.08330729199224152,0.08330174899310805,5.542999133467674e-06,0.22108591799042188,0.00788874999852851,0.011081624979851767,0.01611233301809989,0.0037981669884175062,0.0022135830076877028,0.04220729100052267,,,
2,7,Non-random,0.2601087499933783,0.021358291996875778,0.13086787500651553,,,,,,,,,0.2601087499933783,0.2601069170050323,1.8329883459955454e-06,0.4123349169967696,,,,,,,0.22588104198803194,0.03304412501165643,0.001181750005343929
2,8,Random Projection,0.09643154201330617,0.01847254199674353,0.14795212500030175,5.9999991208314896e-05,0.006519124988699332,0.00040383299347013235,0.0004607920127455145,0.0062320830184035,0.0001275000104214996,1.712498487904668e-05,0.08260533300926909,0.09643154201330617,0.09642579100909643,5.75100420974195e-06,0.26285620901035145,,,,,,,,,
2,8,Random Sampling,0.09534154200810008,0.01847254199674353,0.1795352500048466,,,,,,,,,0.09534154200810008,0.09533458194346167,6.960064638406038e-06,0.2933493340096902,0.013165832991944626,0.010458249977091327,0.01595708300010301,0.0018016659887507558,0.0021692079899366945,0.051782541995635256,,,
2,8,Non-random,0.26205808398663066,0.01847254199674353,0.12531754199881107,,,,,,,,,0.26205808398663066,0.26205641799606383,1.6659905668348074e-06,0.40584816798218526,,,,,,,0.22560895897913724,0.035375667008338496,0.0010717920085880905
2,9,Random Projection,0.07156787501298822,0.025917582999682054,0.13264079100918025,6.258301436901093e-05,0.007558583019999787,0.0015004159940872341,0.0035061670059803873,0.0066104590077884495,0.0001214170188177377,1.5666999388486147e-05,0.05218699999386445,0.07156787501298822,0.07156229205429554,5.58295869268477e-06,0.23012624902185053,,,,,,,,,
2,9,Random Sampling,0.12759150000056252,0.025917582999682054,0.14083087499602698,,,,,,,,,0.12759150000056252,0.12758500096970238,6.49903086014092e-06,0.29433995799627155,0.008548582991352305,0.013212792022386566,0.018705332971876487,0.0022343340096995234,0.006038124993210658,0.07884583398117684,,,
2,9,Non-random,0.3171720419777557,0.025917582999682054,0.1459990419971291,,,,,,,,,0.3171720419777557,0.31717029298306443,1.748994691297412e-06,0.4890886669745669,,,,,,,0.28039916697889566,0.03576545900432393,0.0010056669998448342
2,10,Random Projection,0.044395291013643146,0.0312890830100514,0.22100195899838582,6.512500112876296e-05,0.0038394999864976853,0.0019055840093642473,0.0034308340109419078,0.0016290829807985574,6.9500005338341e-05,6.999995093792677e-06,0.033443457999965176,0.044395291013643146,0.04439008398912847,5.20702451467514e-06,0.29668633302208036,,,,,,,,,
2,10,Random Sampling,0.09285729099065065,0.0312890830100514,0.18289199998253025,,,,,,,,,0.09285729099065065,0.09285262596677057,4.665023880079389e-06,0.3070383739832323,0.009522874985123053,0.0067233750014565885,0.008955750003224239,0.0012771670008078218,0.006444833998102695,0.05992862497805618,,,
2,10,Non-random,0.3290717500203755,0.0312890830100514,0.15277437499025837,,,,,,,,,0.3290717500203755,0.32906891699531116,2.833025064319372e-06,0.5131352080206852,,,,,,,0.22837937501026317,0.09770916699199006,0.0029803749930579215
2,11,Random Projection,0.0835443339892663,0.029619624983752146,0.20003654199535958,6.425002356991172e-05,0.004626625013770536,0.0003440839936956763,0.00412416597828269,0.0012433750089257956,8.170798537321389e-05,7.417023880407214e-06,0.07304537500021979,0.0835443339892663,0.08353700002771802,7.333961548283696e-06,0.31320050096837804,,,,,,,,,
2,11,Random Sampling,0.07681370800128207,0.029619624983752146,0.12063062499510124,,,,,,,,,0.07681370800128207,0.07680575104313903,7.956958143040538e-06,0.22706395798013546,0.006260959024075419,0.009359207993838936,0.012631042016437277,0.00512962497305125,0.0015432920190505683,0.041881625016685575,,,
2,11,Non-random,0.31873200001427904,0.029619624983752146,0.11818920899531804,,,,,,,,,0.31873200001427904,0.3187302080041263,1.7920101527124643e-06,0.4665408339933492,,,,,,,0.2661329160036985,0.05186591699020937,0.0007313750102184713
2,12,Random Projection,0.07705862500006333,0.028830041992478073,0.15580570901511237,0.0001084169780369848,0.003076791006606072,0.0007314579852391034,0.0010529170103836805,0.0050883749790955335,0.00012445799075067043,1.6583013348281384e-05,0.06685299999662675,0.07705862500006333,0.07705199896008708,6.6260399762541056e-06,0.2616943760076538,,,,,,,,,
2,12,Random Sampling,0.093261915986659,0.028830041992478073,0.13202183300745673,,,,,,,,,0.093261915986659,0.09325583302415907,6.082962499931455e-06,0.2541137909865938,0.007394499989459291,0.01604966601007618,0.013333292008610442,0.0030328750144690275,0.0033635419968049973,0.050081958004739136,,,
2,12,Non-random,0.281483083992498,0.028830041992478073,0.15137887498713098,,,,,,,,,0.281483083992498,0.2814814170124009,1.6669800970703363e-06,0.46169200097210705,,,,,,,0.22136187501018867,0.0593868330179248,0.0007327089842874557
2,13,Random Projection,0.09516941700712778,0.03564833401469514,0.1478278330178,6.212500738911331e-05,0.005343750002793968,0.00033999999868683517,0.000738375005312264,0.002301291999174282,0.0001301660086028278,1.6457983292639256e-05,0.08623174999956973,0.09516941700712778,0.09516391600482166,5.5010023061186075e-06,0.2786455840396229,,,,,,,,,
2,13,Random Sampling,0.10145312501117587,0.03564833401469514,0.11882958302157931,,,,,,,,,0.10145312501117587,0.10144566697999835,7.458031177520752e-06,0.2559310420474503,0.0062300410063471645,0.01741437497548759,0.010576959000900388,0.0018639170157257468,0.003985999996075407,0.061374374985462055,,,
2,13,Non-random,0.3065231250075158,0.03564833401469514,0.1650200419826433,,,,,,,,,0.3065231250075158,0.3065213749650866,1.7500424291938543e-06,0.5071915010048542,,,,,,,0.251109999982873,0.054769957991084084,0.0006414169911295176
