K,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
2,Non-random,23.91301083881215,0.12705704053189748,0.0,0.0,0.0011743164062500047,0.0005048309344877576,0.3168282063998049,0.047837301760248974
2,Random Projection,13.62066051848123,0.24224354757106628,0.0,0.0,0.0012643859765413303,0.0005046837856898172,0.07235168749903095,0.02247882996173181
2,Random Sampling,17.267831450977045,0.43790035390049165,8.680555555555555e-05,0.0003882062460937135,0.0015424206007108962,0.0007820730718444113,0.1044048229494365,0.03361879958850095
3,Non-random,22.832010062185525,0.1521163529823587,0.0009114583333333332,0.0017469281074217104,0.0020694622680477643,0.0008390029490033117,0.3281913105485728,0.06870970539567403
3,Random Projection,14.508762948758463,0.33949156737687397,0.0009114583333333332,0.0019405203655484236,0.004062486344178706,0.0013195962697046821,0.08253590615204302,0.03985778937781294
3,Random Sampling,18.12703152478834,0.42254149418347725,0.009244791666666665,0.005308453803991157,0.0035463125860147856,0.0014006544594438385,0.12608037720056017,0.040914763654756714
4,Non-random,22.25373727479961,0.10938948825949939,0.006076388888888889,0.004344844089169861,0.0031255074100355806,0.001152388856793231,0.33341086434957107,0.03963097374112856
4,Random Projection,16.15271448813835,1.1130378614860816,0.071875,0.028811627031057066,0.02087799071327125,0.004651505730384735,0.11947198539710371,0.05613309883118922
4,Random Sampling,19.21809083852063,0.312915594418311,0.06944444444444445,0.013137573651762739,0.007535876431388716,0.0018105126212550986,0.1441045979518094,0.03846464199628923
5,Non-random,21.796477539692127,0.1197537528069514,0.05815734989648034,0.014581149449886597,0.004753019675992682,0.0012429136566913168,0.37961376460298196,0.07677331814211076
5,Random Projection,18.264498694581413,1.2231490844609323,0.5709777903256164,0.10348380094604531,0.046906927739554946,0.006514212551454769,0.15907519179891097,0.04287501280984616
5,Random Sampling,20.690023199228296,0.31808554855575816,0.2888471673254282,0.04093064098047167,0.013538456615253608,0.00309826339320934,0.20655840005056234,0.07089754460571604
6,Non-random,21.59685478249444,0.11929814124074647,0.19895833333333332,0.03669643428827499,0.006982862465574477,0.0017782822290290897,0.3611287751045893,0.04136066830104598
6,Random Projection,18.02367457140727,0.5046354939130099,1.91953125,0.3481430931115107,0.06339814356601965,0.004410842285996763,0.2654025563489995,0.03520001407951206
6,Random Sampling,22.275679657189986,0.3662577132338827,0.8388020833333334,0.10481534591295466,0.022636544773851172,0.00454650387962424,0.22925243129720912,0.054325753573117745
7,Non-random,21.4289139642409,0.15739140257952955,0.6273373983739837,0.0931479865508493,0.014915451570813745,0.005603832751604481,0.4443240792490542,0.08391267058020772
7,Random Projection,16.430799033766675,0.33465391009369805,3.9165872135994086,0.43309205375334614,0.07105067024476208,0.002971913887750824,0.311239670800569,0.01918123563778877
7,Random Sampling,24.151780177736605,0.5800160337821435,1.9689412416851444,0.16276466330717834,0.033141768856290235,0.0043962274851279725,0.35165897285041864,0.06012885642920095
8,Non-random,21.282205321722348,0.10684406561138658,1.496875,0.2360302041462717,0.024369559766719777,0.007531520242522018,0.48723241465049794,0.04679627844204587
8,Random Projection,15.014930977676446,0.38081984668747115,5.579166666666667,0.3101511793643201,0.07545597083496752,0.003294573299087545,0.30666062705277,0.015539335222165246
8,Random Sampling,25.553841198131387,0.27151062743591436,4.233680555555556,0.5068732175789429,0.03890418654503407,0.004331324259987644,0.42504029385308967,0.03630221084327407
