group,r,metric,diff_mean_ds_minus_gaussian,diff_std,diff_se,n_pairs
all,0,ARI_true,0.01637113018027022,0.018156965850767776,0.005741736748632309,10
all,0,NMI_true,0.03203729263307799,0.018935686656036056,0.00598798988923313,10
all,0,F1_macro_true,-0.00831290931924264,0.02468458245323545,0.007805950364245083,10
all,0,total_method_wall_sec,-0.3080506800004514,0.6462507878144536,0.2043624429171862,10
all,2,ARI_true,0.017015898824486488,0.017391333940380553,0.005499622680019353,10
all,2,NMI_true,0.04523925766116478,0.026133331534766043,0.008264085049816449,10
all,2,F1_macro_true,-0.008499526496433102,0.03182083988080835,0.010062633108287528,10
all,2,total_method_wall_sec,-0.06866706000582781,0.037311898990485336,0.011799058463607088,10
all,5,ARI_true,0.020491551046478124,0.015801559812257254,0.004996891959011557,10
all,5,NMI_true,0.050404171700224154,0.019383384009234235,0.006129564223086641,10
all,5,F1_macro_true,0.008074093134378244,0.020916748317366077,0.006614456592737128,10
all,5,total_method_wall_sec,-0.07383092999953078,0.03127218995586478,0.009889134768197317,10
all,10,ARI_true,0.043827046425037444,0.024515430986826407,0.007752459973904079,10
all,10,NMI_true,0.08355823107793439,0.019734762233558578,0.006240679773991692,10
all,10,F1_macro_true,0.05176025957312959,0.025305869318558532,0.008002418521721805,10
all,10,total_method_wall_sec,-0.049343980000412554,0.02585059785301304,0.00817467680925798,10
all,20,ARI_true,0.05687562566164173,0.016861387147072436,0.005332038789463741,10
all,20,NMI_true,0.10241066753489347,0.024460249826063526,0.0077350101587098175,10
all,20,F1_macro_true,0.06386197990689484,0.0269596663559798,0.008525395064310798,10
all,20,total_method_wall_sec,-0.052673520000826105,0.03163263350377436,0.010003117026127948,10
all,40,ARI_true,0.0976435622307413,0.02112108869557841,0.00667907469404625,10
all,40,NMI_true,0.14633414144574014,0.022567856387931115,0.0071365828093442815,10
all,40,F1_macro_true,0.08457900165314086,0.025647173721277162,0.008110348450525228,10
all,40,total_method_wall_sec,-0.042980879997776354,0.029633030890289062,0.00937078715874406,10
high_deg_9_plus,0,ARI_true,0.06606047427064063,0.06934499168172063,0.021928811803966722,10
high_deg_9_plus,0,NMI_true,0.039964778665986564,0.04308885104916454,0.013625891107509584,10
high_deg_9_plus,0,F1_macro_true,-0.033094902417431224,0.04128416813147442,0.013055200260079688,10
high_deg_9_plus,0,total_method_wall_sec,-0.3080506800004514,0.6462507878144536,0.2043624429171862,10
high_deg_9_plus,2,ARI_true,0.04456573296230957,0.055238843111149266,0.017468055954393328,10
high_deg_9_plus,2,NMI_true,0.051862476893760334,0.04613188638722291,0.014588183374374076,10
high_deg_9_plus,2,F1_macro_true,-0.03682159566114454,0.0537307243470544,0.016991146926735534,10
high_deg_9_plus,2,total_method_wall_sec,-0.06866706000582781,0.037311898990485336,0.011799058463607088,10
high_deg_9_plus,5,ARI_true,0.058405935552516296,0.05115304502277113,0.016176013152509647,10
high_deg_9_plus,5,NMI_true,0.057274827231561784,0.03634712757939911,0.011493970955562378,10
high_deg_9_plus,5,F1_macro_true,-0.022714879975704573,0.049324389858454436,0.015597741615082622,10
high_deg_9_plus,5,total_method_wall_sec,-0.07383092999953078,0.03127218995586478,0.009889134768197317,10
high_deg_9_plus,10,ARI_true,0.1209098164294216,0.0834146727652991,0.026378035621596106,10
high_deg_9_plus,10,NMI_true,0.11269265119669107,0.05342969576915252,0.0168959533320384,10
high_deg_9_plus,10,F1_macro_true,0.041537454996688934,0.061966951994999526,0.019595670796251338,10
high_deg_9_plus,10,total_method_wall_sec,-0.049343980000412554,0.02585059785301304,0.00817467680925798,10
high_deg_9_plus,20,ARI_true,0.1459587990344226,0.04381015552173911,0.013853987609489794,10
high_deg_9_plus,20,NMI_true,0.1420970217194918,0.028684000801766404,0.009070677493967777,10
high_deg_9_plus,20,F1_macro_true,0.05776491640325978,0.04601664877460185,0.014551742041573805,10
high_deg_9_plus,20,total_method_wall_sec,-0.052673520000826105,0.03163263350377436,0.010003117026127948,10
high_deg_9_plus,40,ARI_true,0.1791861823981901,0.05442184184611237,0.017209697469517782,10
high_deg_9_plus,40,NMI_true,0.16717445507319756,0.04143614163359918,0.013103258501150359,10
high_deg_9_plus,40,F1_macro_true,0.05763999541231575,0.04623611722067174,0.014621144057985673,10
high_deg_9_plus,40,total_method_wall_sec,-0.042980879997776354,0.029633030890289062,0.00937078715874406,10
low_deg_1_2,0,ARI_true,-0.003958791373061809,0.005121490502417597,0.0016195575002559697,10
low_deg_1_2,0,NMI_true,0.011715854856405087,0.010847483341938174,0.0034302754241259717,10
low_deg_1_2,0,F1_macro_true,-0.00889560450674597,0.01464688838061633,0.004631752791700283,10
low_deg_1_2,0,total_method_wall_sec,-0.3080506800004514,0.6462507878144536,0.2043624429171862,10
low_deg_1_2,2,ARI_true,-0.0003174807919718702,0.005477543271103411,0.0017321512718815944,10
low_deg_1_2,2,NMI_true,0.02418004096969999,0.014471946906090013,0.004576431440027134,10
low_deg_1_2,2,F1_macro_true,-0.0002521445663368427,0.0240093724405694,0.007592430210347497,10
low_deg_1_2,2,total_method_wall_sec,-0.06866706000582781,0.037311898990485336,0.011799058463607088,10
low_deg_1_2,5,ARI_true,-0.0001656789650654078,0.008502117793303047,0.00268860571618823,10
low_deg_1_2,5,NMI_true,0.024332399649278077,0.012002246237319623,0.003795443514811583,10
low_deg_1_2,5,F1_macro_true,0.009672085180779107,0.01414951807340627,0.004474470490568138,10
low_deg_1_2,5,total_method_wall_sec,-0.07383092999953078,0.03127218995586478,0.009889134768197317,10
low_deg_1_2,10,ARI_true,0.009486594440667663,0.007946736089996893,0.002512978600865099,10
low_deg_1_2,10,NMI_true,0.04363835170195303,0.009856057762675681,0.0031167591280238443,10
