n,rep,seed,K,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eigensolver,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_core_eigensolver,cs_lift_sec,cs_hash_seed,cs_sparse_explicit_sketch_sec
2000,1,220260507,3,3,16.0,39976,231650,0.0579125,0.5707939000567421,0.0657533999765291,0,0.0,59.964,86.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Non-random,non_random,0.0,1.0,0.9999999999999998,0.0180786999408155,eigsh,0.0053565999260172,7.970002479851246e-05,1.012649399926886,1.0180936999386176,0.9999999999999998,0.6575417663172484,1.654632999910973,0.875,1.040100899990648,7.971095085144043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,220260507,3,3,16.0,39976,231650,0.0579125,0.2199055410019355,0.03912920800212305,0,0.0,59.964,86.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.000144,1.6e-05,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.009828832990024239,,0.10329537499637809,0.0003379580011824146,0.09822166699450463,0.20185895799659193,0.9999997771462201,0.657408832344144,0.46088974899612367,1.4337689999999839,0.2135135839926079,13.015948295593262,551.984375,552.171875,0.1875,0.001383082999382168,0.059971875001792796,0.021846999996341765,0.017485915988800116,0.0015106669889064506,eigsh,0.00021279099746607244,,,,,,,,,,,,,,,,,,,,,
2000,1,220260507,3,3,16.0,39976,231650,0.0579125,0.5707939000567421,0.0657533999765291,0,0.0,59.964,86.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0157838000450283,,0.0193880000151693,8.560006972402334e-05,0.0838622999144718,0.1033426000503823,1.0579257714241097,0.7469271733759772,0.7398832000326365,0.859375,0.123856799909845,10.292909622192385,,,,,,,,,,,0.0082125000189989,eigsh,0.0109707999508827,116825.0,81910.0,0.7,162411.0,,,,,,,,,,,,,,
2000,1,220260507,3,3,16.0,39976,231650,0.0579125,0.5614996659999747,0.0880432499999983,0,0.0,59.964,86.0,40179.08736,20.08954368,60.268631039999995,0.1107778889444722,0.000144,1.6e-05,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.0092007499999908,,0.1513727500000072,0.0001299589999916,0.0439705829999752,0.1954785419999893,0.9999997943143868,0.6573875318636688,0.8450162079999473,1.2163440000000492,0.2070683329999951,12.460285186767578,499.2734375,499.28515625,0.01171875,,,,,,,,,,,,,,,0.0003316250000011,163.0,3.0,21.0,0.0,0.0040291250000166,0.0938567089999935,0.0358570829999962,0.0131517080000094,0.0040086250000115,eigsh,9.237499997993837e-05,3189182342.0,0.0040291250000166
2000,2,220260508,3,3,16.0,40302,233498,0.0583745,0.5457397999707609,0.0696551000000909,0,0.0,60.453,87.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Non-random,non_random,0.0,1.0,0.9999999999999998,0.0160217001102864,eigsh,0.0055441999575123,9.330001194030046e-05,0.0835263999179005,0.0891708999406546,0.9999999999999998,0.6548973564130148,0.704558799858205,1.03125,0.1092098000226542,8.034396171569824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2,220260508,3,3,16.0,40302,233498,0.0583745,0.29149025000515394,0.040095749995089136,0,0.0,60.453,87.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.000144,1.6e-05,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,0.9999999999999998,0.01180904200009536,,0.14560479199280962,0.0003332499909447506,0.1060828330082586,0.2520262920006644,0.9999997972226082,0.654746917319825,0.583606874992256,1.867902000000015,0.2657749160134699,13.037394523620605,552.171875,552.171875,0.0,0.001337374997092411,0.05977016700489912,0.05900754100002814,0.018081249989336357,0.004841917005251162,eigsh,0.0002919999969890341,,,,,,,,,,,,,,,,,,,,,
2000,2,220260508,3,3,16.0,40302,233498,0.0583745,0.5457397999707609,0.0696551000000909,0,0.0,60.453,87.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0159748999867588,,0.0201400000369176,8.389994036406279e-05,0.085337100084871,0.1055672999937087,1.0564927528282877,0.7403199335551426,0.7209559000330046,1.1875,0.1268329999875277,10.361124992370604,,,,,,,,,,,0.0082528999773785,eigsh,0.0118086000438779,117749.0,82371.0,0.7,163337.0,,,,,,,,,,,,,,
2000,2,220260508,3,3,16.0,40302,233498,0.0583745,0.5657356249999737,0.1030789580000259,0,0.0,60.453,87.0,40179.08736,20.08954368,60.268631039999995,0.1107778889444722,0.000144,1.6e-05,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.0090558329999907,,0.154982082999993,0.0001421249999964,0.0447102500000085,0.1998394160000032,0.9999997814215408,0.6547482520256424,0.8686490409999976,1.1629239999999754,0.2113557080000134,12.500022888183594,499.28515625,499.2890625,0.00390625,,,,,,,,,,,,,,,0.0003409170000168,163.0,5.0,21.0,0.0,0.0040272920000177,0.0957871669999974,0.0371659159999921,0.0136423339999964,0.0038107089999925,eigsh,0.0001551659999847,1848652628.0,0.0040272920000177
2000,3,220260509,3,3,16.0,40488,234828,0.058707,0.5906621000031009,0.0671358000254258,0,0.0,60.732,89.0,40179.08736,20.08954368,60.26863104,0.1107778889444722,0.000144,1.6e-05,sparse,Non-random,non_random,0.0,1.0,0.9999999999999998,0.0178725000005215,eigsh,0.005149699980393,8.140003774315119e-05,0.0828085000393912,0.088045599986799,1.0,0.6543709293468419,0.7458375000860542,0.78125,0.110040400060825,8.080042839050293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3,220260509,3,3,16.0,40488,234828,0.058707,0.2894596249971073,0.03913291699427646,0,0.0,60.732,89.0,40179.08736,20.08954368,60.268631039999995,0.11077788894447224,0.000144,1.6e-05,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,0.9999999999999998,0.011404125005356036,,0.10329562499828171,0.0008222089963965118,0.08972970899776556,0.19385300000431016,0.9999998024152437,0.6541916947028734,0.5224400849838275,1.3835680000000252,0.20693812500394415,13.052367210388184,552.171875,552.171875,0.0,0.0013867920060874894,0.06034166700555943,0.025713333001476713,0.009721166992676444,0.0030803340050624683,eigsh,0.002226541007985361,,,,,,,,,,,,,,,,,,,,,
