n,method,reps,num_hyperedges_total_mean,num_hyperedges_total_std,theta_nnz_mean,theta_nnz_std,theta_density_mean,theta_density_std,hypergraph_degree_mean_mean,hypergraph_degree_mean_std,hypergraph_degree_max_mean,hypergraph_degree_max_std,expected_degree_mean_mean,expected_degree_mean_std,candidate_within_fraction_mean,candidate_within_fraction_std,isolated_fraction_mean,isolated_fraction_std,misclassification_mean,misclassification_std,ARI_mean,ARI_std,NMI_mean,NMI_std,generation_wall_sec_mean,generation_wall_sec_std,hypergraph_laplacian_build_wall_sec_mean,hypergraph_laplacian_build_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rs_sample_matrix_wall_sec_mean,rs_sample_matrix_wall_sec_std,rs_eig_wall_sec_mean,rs_eig_wall_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_embedding_dim_mean,cs_embedding_dim_std,top_eigenvalue_max_mean,top_eigenvalue_max_std,top_eigenvalue_min_mean,top_eigenvalue_min_std
2000,Non-random,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.00033096492345195173,60.3741,0.3501379728050059,89.7,2.9832867780352585,60.26863104,0.0,0.1107778889444722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,1.0467283057891834e-16,0.5578196700196714,0.016412247975993003,0.06828673997661094,0.0018620506296682677,0.00545379999093707,0.0002418940210147318,8.607999188825488e-05,8.14952645521657e-06,0.1764428799739107,0.2938148322333393,0.18198929999489333,0.29377936250463105,0.0169744800194166,0.0008868286807615138,0.8080891699530184,0.29785605988317154,0.790625,0.18839485536441217,0.2027717999881133,0.2942105029229827,8.027748489379883,0.0454196342847324,,,,,,,,,,,,,,,,,,,0.9999999999999998,2.5639502485114184e-16,0.6558868766560497,0.0018543358803060576
2000,Gaussian random projection,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.00033096492345195173,60.3741,0.3501379728050059,89.7,2.9832867780352585,60.26863103999999,0.0,0.11077788894447224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.1702778228589004e-16,0.28950985409901475,0.026657402902851287,0.04050762489932822,0.0018784553631312506,0.10800034989952109,0.013934488784670837,0.0003947207995224744,0.0001945778211038175,0.10674180010100827,0.01190144368757968,0.21514159999933327,0.018732010326660695,0.01134502920031082,0.00243558136232363,0.5451543497983948,0.037061222617322274,1.568655600000011,0.15997110798599753,0.22843755410140149,0.018896844282145067,13.034992790222168,0.015149697299409615,0.0203125,0.05894857840383713,0.06052109180309344,0.0007276092552116246,,,,,,,,,,,,,,,0.9999997945457709,2.0252804494580708e-08,0.6557221877567074,0.0018725007485397873
2000,Random sampling,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.00033096492345195173,60.3741,0.3501379728050059,89.7,2.9832867780352585,60.26863104,0.0,0.1107778889444722,0.0,0.0,0.0,0.0001,0.00021081851067789194,0.9996998873688205,0.0006326930350303898,0.999317100498207,0.0014396785613680111,0.5578196700196714,0.016412247975993003,0.06828673997661094,0.0018620506296682677,0.01965784999774764,0.0009066454042528848,9.674000320953634e-05,1.3786872099608893e-05,0.08612715000053864,0.003460663983696347,0.10588871999643738,0.003221813657020216,0.01663935000542547,0.001169320595313819,0.7319881499977783,0.015073120134753546,0.975,0.1303540850913388,0.12741478998214,0.004349638235283746,10.353294849395752,0.053061580459140216,,,,,0.00818726997822517,0.00032215158836916194,0.01135536998044694,0.0006957000400183442,,,,,,,,,,,1.054404168010333,0.003440646693924038,0.7408885962269909,0.003727189451501589
2000,CountSketch random projection,10,40249.4,233.4253152033379,233304.6,1323.8596938077956,0.05832615,0.00033096492345195173,60.3741,0.3501379728050059,89.7,2.9832867780352585,60.26863103999999,0.0,0.1107778889444722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5681319832999918,0.007124125829509557,0.09032498330000174,0.004846622121563036,0.15507423729999625,0.003984120449013338,0.00015455420000018,6.679236698489234e-05,0.04476730409999444,0.003948817066051304,0.2000014956000029,0.004099827979168958,0.00952220409999705,0.0012417813511123358,0.8584530621999846,0.009659704833484203,1.1920418000000041,0.03660146646062559,0.21197228349999758,0.004107816247321355,12.487244796752929,0.02398657414761812,0.009765625,0.014054058037059182,,,,,,,0.00408073339999927,0.0001554175663699385,0.09520810009999817,0.001216683633478925,0.03777433720000255,0.0027057250275809006,0.01357644160000003,0.0002866044827624187,163.0,0.0,0.9999998056889104,2.582374453250253e-08,0.655722190186333,0.0018570432541113082
4000,Non-random,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.072249919991009,0.009100838795196969,0.15420420999871562,0.004199601299891148,0.009318399988114779,0.00025847185514032587,0.0001100800116546207,4.303896996524475e-05,0.041856469993945176,0.0009986221210679443,0.05129117998294528,0.0009679023883035692,0.028418239997699813,0.0013324671545693568,1.2777390799834394,0.008858784935346236,0.7140625,0.05707820080332284,0.08735515997977925,0.0017244547590457313,16.407772159576417,0.048819664841547615,,,,,,,,,,,,,,,,,,,1.0,1.9582493486507355e-16,0.6571779978200241,0.0017472231496136344
4000,Gaussian random projection,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.11094447223611806,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5044784247002099,0.022700356830270826,0.08768447070033289,0.004697894544441043,0.21291830849804683,0.010810707332292559,0.00040463720069965347,0.00023086515488588742,0.13159920020407298,0.029769445055473475,0.3449278207976022,0.02410086119295499,0.01885549590078881,0.002725183055661948,0.9370850413033622,0.03688923334034571,2.247189500000002,0.22400976799747097,0.3679527041967958,0.024210273304117284,25.779676055908205,0.01627990470183255,0.0359375,0.1028695278347502,0.12824487079778918,0.002416839226014413,,,,,,,,,,,,,,,0.9999994958054821,5.8272581260735664e-08,0.6567743304418565,0.0017503489555263582
4000,Random sampling,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0001,0.00012909944487358058,0.999699953118013,0.00038735886752143227,0.9992540161956096,0.0009630609506301451,1.072249919991009,0.009100838795196969,0.15420420999871562,0.004199601299891148,0.02783474997850131,0.0015351667085678868,9.288999717681463e-05,4.11347445958134e-05,0.043060820002574426,0.0011881097988549329,0.07099458001321178,0.002143613464516453,0.02852395003428676,0.0016957276078568054,1.2974425899679773,0.009110782175276808,0.9265625,0.048886250126072145,0.10947538997279475,0.002151164520158484,21.110966682434082,0.07733387776238386,,,,,0.0154234400368295,0.0015706811692975226,0.01227871001465242,0.0003295227124364186,,,,,,,,,,,1.055012620702859,0.0019567292190416476,0.7423628964528016,0.0021854638527023648
4000,CountSketch random projection,10,80550.4,254.87173244595095,476946.4,1422.0235347325702,0.02980915,8.887647092078608e-05,60.412800000000004,0.1911537993344613,91.5,1.90029237516523,60.356491104,0.0,0.110944472236118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1541543208999996,0.024416349509748466,0.18812924159999506,0.006873546209291778,0.3204767332000017,0.013259150038712052,0.00022577070000688,6.499630379610311e-05,0.05569392089999777,0.0056093681516917,0.37640241660000123,0.018364610989078874,0.01537483329999528,0.0009118181036900052,1.7186799873000012,0.040589288080796634,1.8941051000000129,0.13533972373126388,0.39654713339999714,0.019104945137404933,24.738411331176756,0.025084608871031235,-0.80546875,3.127145422400203,,,,,,,0.00839453329999453,0.00039544429850054124,0.2040299874000055,0.007176148836305298,0.07413605010000304,0.00495993028763114,0.029046725100005173,0.001986767235739933,163.0,0.0,0.9999994844867208,7.272124884024273e-08,0.656765632821401,0.0017832680303410606
6000,Non-random,10,120756.4,300.67671823553184,720154.8,1858.5648465654601,0.020004299999999982,5.162680129348052e-05,60.37820000000001,0.15033835911776539,91.8,3.259175083088084,60.38579377777778,0.0,0.1109999938302488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.6279872600105592,0.02147677443443927,0.2510723700048402,0.0063184063783097355,0.01345667000859973,0.0004578514295906382,0.00010114001343025003,2.3884199996542036e-05,0.04621097000781441,0.001168129657091141,0.059775470010936214,0.0012069470378106093,0.0393603600095957,0.0018173672124425248,1.9388284100452438,0.02358181118709975,0.8875,0.11019041284673241,0.11044574000407006,0.0024689341974748163,24.772933769226075,0.06380876014362005,,,,,,,,,,,,,,,,,,,1.0,3.916498697301471e-16,0.6575799903977716,0.0006950801418206738
6000,Gaussian random projection,10,120756.4,300.67671823553184,720154.8,1858.5648465654601,0.0200043,5.1626801293485994e-05,60.37820000000001,0.15033835911776539,91.8,3.259175083088084,60.38579377777778,0.0,0.1109999938302488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7239374375014449,0.030228929192166597,0.1393455498982803,0.008139187755264121,0.32478152490075446,0.01563011027146147,0.0006958250000025145,0.0004363053952324516,0.13989436260308138,0.03134070063031792,0.46537769189890243,0.042673438028402344,0.027887258601549548,0.004363544087680931,1.3286546999035636,0.06639512895127081,2.85201629999998,0.3744297537387825,0.49929192079871426,0.04265459459752465,38.51934032440185,0.02134647030797119,3.06875,5.428283816361504,0.1992766164999921,0.006954313357390054,,,,,,,,,,,,,,,0.9999991483351212,1.0746636761849762e-07,0.6569220551623509,0.0006959061502032099
